political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of the General Land Office,DEM,Sandragrace Martinez,34,31,7,27
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of the General Land Office,DEM,Jinny Suh,24,21,3,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of Agriculture,DEM,Ed Ireson,27,24,8,19
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Commissioner of Agriculture,DEM,Susan Hays,95,64,14,81
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,Railroad Commissioner,DEM,Luke Warford,114,83,21,93
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,118,81,21,97
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,116,83,20,96
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,118,85,21,97
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,117,82,21,96
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,119,82,21,98
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,113,81,20,93
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,95,68,18,77
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,"State Senator, District No. 24",DEM,Jeremy Kohlwes,27,21,4,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,207,4886,County Chairman,DEM,Gene Whittle,120,80,21,99
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Governor,DEM,Rich Wakeland,1,0,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Governor,DEM,Inocencio (Inno) Barrientez,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Governor,DEM,Joy Diaz,2,0,0,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Governor,DEM,Beto O'Rourke,36,31,15,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Lieutenant Governor,DEM,Carla Brailey,8,8,2,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Lieutenant Governor,DEM,Mike Collier,22,8,9,13
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Lieutenant Governor,DEM,Michelle Beckley,8,13,4,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Attorney General,DEM,Mike Fields,8,3,5,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Attorney General,DEM,Lee Merritt,6,7,2,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Attorney General,DEM,"S. ""TBone"" Raynor",3,3,1,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Attorney General,DEM,Rochelle Mercedes Garza,7,13,2,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Attorney General,DEM,Joe Jaworski,15,4,5,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Comptroller of Public Accounts,DEM,Tim Mahoney,12,6,7,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,12,3,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Comptroller of Public Accounts,DEM,Janet T. Dudding,18,11,5,13
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of the General Land Office,DEM,Jay Kleberg,17,7,9,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of the General Land Office,DEM,Michael Lange,5,7,2,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of the General Land Office,DEM,Sandragrace Martinez,4,6,0,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of the General Land Office,DEM,Jinny Suh,13,10,4,9
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of Agriculture,DEM,Ed Ireson,13,6,6,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Commissioner of Agriculture,DEM,Susan Hays,26,24,10,16
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,Railroad Commissioner,DEM,Luke Warford,38,25,16,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,37,28,16,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,39,29,16,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,39,29,16,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,39,29,16,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,37,30,16,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,38,28,16,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,31,25,14,17
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,"State Senator, District No. 24",DEM,Jeremy Kohlwes,9,3,2,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,308,4228,County Chairman,DEM,Gene Whittle,39,28,16,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Governor,DEM,Rich Wakeland,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Governor,DEM,Michael Cooper,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Governor,DEM,Beto O'Rourke,2,8,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Lieutenant Governor,DEM,Carla Brailey,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Lieutenant Governor,DEM,Mike Collier,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Lieutenant Governor,DEM,Michelle Beckley,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Attorney General,DEM,Mike Fields,1,1,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Attorney General,DEM,Lee Merritt,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Attorney General,DEM,Rochelle Mercedes Garza,1,6,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Attorney General,DEM,Joe Jaworski,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Comptroller of Public Accounts,DEM,Tim Mahoney,0,3,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Comptroller of Public Accounts,DEM,Janet T. Dudding,2,4,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of the General Land Office,DEM,Jay Kleberg,1,5,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of the General Land Office,DEM,Michael Lange,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of the General Land Office,DEM,Jinny Suh,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of Agriculture,DEM,Ed Ireson,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Commissioner of Agriculture,DEM,Susan Hays,2,7,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,Railroad Commissioner,DEM,Luke Warford,1,8,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,1,7,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,2,6,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,"State Senator, District No. 24",DEM,Jeremy Kohlwes,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,309,686,County Chairman,DEM,Gene Whittle,2,9,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Governor,DEM,Rich Wakeland,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Governor,DEM,Beto O'Rourke,8,8,4,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Lieutenant Governor,DEM,Carla Brailey,4,5,3,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Lieutenant Governor,DEM,Mike Collier,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Lieutenant Governor,DEM,Michelle Beckley,3,4,0,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Attorney General,DEM,Mike Fields,2,0,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Attorney General,DEM,Lee Merritt,0,3,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Attorney General,DEM,"S. ""TBone"" Raynor",0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Attorney General,DEM,Rochelle Mercedes Garza,4,3,2,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Attorney General,DEM,Joe Jaworski,2,2,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Comptroller of Public Accounts,DEM,Tim Mahoney,3,4,1,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Comptroller of Public Accounts,DEM,Angel Luis Vega,4,2,2,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Comptroller of Public Accounts,DEM,Janet T. Dudding,1,3,1,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of the General Land Office,DEM,Jay Kleberg,2,2,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of the General Land Office,DEM,Michael Lange,3,1,2,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of the General Land Office,DEM,Sandragrace Martinez,2,4,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of the General Land Office,DEM,Jinny Suh,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of Agriculture,DEM,Ed Ireson,1,4,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Commissioner of Agriculture,DEM,Susan Hays,7,5,4,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,Railroad Commissioner,DEM,Luke Warford,7,8,3,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,7,7,3,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,7,7,3,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,8,7,4,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,7,8,3,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,7,8,3,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,8,8,4,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,7,6,4,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,"State Senator, District No. 24",DEM,Jeremy Kohlwes,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,310,852,County Chairman,DEM,Gene Whittle,8,8,4,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Governor,DEM,Rich Wakeland,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Governor,DEM,Beto O'Rourke,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Lieutenant Governor,DEM,Carla Brailey,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Lieutenant Governor,DEM,Mike Collier,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Lieutenant Governor,DEM,Michelle Beckley,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Attorney General,DEM,Mike Fields,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Attorney General,DEM,Lee Merritt,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Attorney General,DEM,Rochelle Mercedes Garza,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Attorney General,DEM,Joe Jaworski,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Comptroller of Public Accounts,DEM,Tim Mahoney,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of the General Land Office,DEM,Michael Lange,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of the General Land Office,DEM,Jinny Suh,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of Agriculture,DEM,Ed Ireson,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Commissioner of Agriculture,DEM,Susan Hays,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,Railroad Commissioner,DEM,Luke Warford,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,"State Senator, District No. 24",DEM,Jeremy Kohlwes,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,311,645,County Chairman,DEM,Gene Whittle,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Governor,DEM,Rich Wakeland,2,1,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Governor,DEM,Inocencio (Inno) Barrientez,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Governor,DEM,Joy Diaz,1,5,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Governor,DEM,Michael Cooper,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Governor,DEM,Beto O'Rourke,62,46,18,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Lieutenant Governor,DEM,Carla Brailey,21,15,6,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Lieutenant Governor,DEM,Mike Collier,18,16,6,12
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Lieutenant Governor,DEM,Michelle Beckley,27,20,7,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Attorney General,DEM,Mike Fields,7,6,4,3
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Attorney General,DEM,Lee Merritt,11,14,3,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Attorney General,DEM,"S. ""TBone"" Raynor",6,3,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Attorney General,DEM,Rochelle Mercedes Garza,26,26,7,19
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Attorney General,DEM,Joe Jaworski,16,2,4,12
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Comptroller of Public Accounts,DEM,Tim Mahoney,14,7,8,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Comptroller of Public Accounts,DEM,Angel Luis Vega,20,20,2,18
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Comptroller of Public Accounts,DEM,Janet T. Dudding,31,24,9,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of the General Land Office,DEM,Jay Kleberg,11,3,7,4
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of the General Land Office,DEM,Michael Lange,16,19,6,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of the General Land Office,DEM,Sandragrace Martinez,24,20,4,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of the General Land Office,DEM,Jinny Suh,15,8,2,13
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of Agriculture,DEM,Ed Ireson,8,11,2,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Commissioner of Agriculture,DEM,Susan Hays,57,39,17,40
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,Railroad Commissioner,DEM,Luke Warford,61,47,18,43
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,62,46,18,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,63,46,19,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,63,49,18,45
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,63,48,19,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,63,48,19,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,63,47,19,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,46,39,12,34
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,"State Senator, District No. 24",DEM,Jeremy Kohlwes,18,9,6,12
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,412,3434,County Chairman,DEM,Gene Whittle,63,48,19,44
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Governor,DEM,Rich Wakeland,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Governor,DEM,Joy Diaz,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Governor,DEM,Beto O'Rourke,30,23,10,20
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Lieutenant Governor,DEM,Carla Brailey,7,7,0,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Lieutenant Governor,DEM,Mike Collier,18,12,9,9
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Lieutenant Governor,DEM,Michelle Beckley,6,6,0,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Attorney General,DEM,Mike Fields,6,6,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Attorney General,DEM,Lee Merritt,9,4,3,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Attorney General,DEM,"S. ""TBone"" Raynor",2,0,0,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Attorney General,DEM,Rochelle Mercedes Garza,8,6,0,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Attorney General,DEM,Joe Jaworski,6,9,4,2
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Comptroller of Public Accounts,DEM,Tim Mahoney,13,10,5,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Comptroller of Public Accounts,DEM,Angel Luis Vega,5,7,0,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Comptroller of Public Accounts,DEM,Janet T. Dudding,13,8,3,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of the General Land Office,DEM,Jay Kleberg,10,6,5,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of the General Land Office,DEM,Michael Lange,8,8,2,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of the General Land Office,DEM,Sandragrace Martinez,10,5,3,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of the General Land Office,DEM,Jinny Suh,5,6,0,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of Agriculture,DEM,Ed Ireson,12,10,4,8
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Commissioner of Agriculture,DEM,Susan Hays,19,15,4,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,Railroad Commissioner,DEM,Luke Warford,33,24,10,23
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,32,24,10,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,31,23,10,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,32,23,10,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,32,23,10,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,31,23,10,21
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,32,24,10,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,22,13,7,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,"State Senator, District No. 24",DEM,Jeremy Kohlwes,7,12,1,6
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,413,2614,County Chairman,DEM,Gene Whittle,32,23,10,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Governor,DEM,Rich Wakeland,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Governor,DEM,Beto O'Rourke,0,0,0,0
