COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,"REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28","REP US Representative, District 28",REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Lieutenant Governor,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comptroller of Public Accounts,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Commissioner of Agriculture,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 3","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 5","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Justice, Supreme Court, Pl 9","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 2","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 5","REP Judge, Ct of Crim App, Pl 6","REP Judge, Ct of Crim App, Pl 6","REP Judge, Ct of Crim App, Pl 6","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP State Senator, Dist 24","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 6","REP Justice, 4th Ct of App Dist, Pl 7","REP Justice, 4th Ct of App Dist, Pl 7","REP Justice, 4th Ct of App Dist, Pl 7","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 81st Judicial Dist","REP Dist Judge, 218th Judicial Dist","REP Dist Judge, 218th Judicial Dist","REP Dist Judge, 218th Judicial Dist",REP County Judge,REP County Judge,REP County Judge,REP County Judge,REP County Judge,"REP Judge, County Court at Law","REP Judge, County Court at Law","REP Judge, County Court at Law",REP District Clerk,REP District Clerk,REP District Clerk,REP County Clerk,REP County Clerk,REP County Clerk,REP County Clerk,REP County Treasurer,REP County Treasurer,REP County Treasurer,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 2,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP JOP Pct 1,REP JOP Pct 1,REP JOP Pct 1,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 2,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 3,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP JOP Pct 4,REP County Chair,REP County Chair,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,REP Proposition 10,REP Proposition 10,"DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28","DEM US Representative, District 28",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Justice, Supreme Court, Pl 9","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM Judge, Ct of Crim App, Pl 6","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Senator, Dist 24","DEM State Representative, Dist 80","DEM State Representative, Dist 80","DEM State Representative, Dist 80","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 6","DEM Justice, 4th Ct of App Dist, Pl 7","DEM Justice, 4th Ct of App Dist, Pl 7","DEM Justice, 4th Ct of App Dist, Pl 7",DEM County Judge,DEM County Judge,DEM County Judge,DEM County Commissioner Pct 2,DEM County Commissioner Pct 2,DEM County Commissioner Pct 2,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 1,DEM JOP Pct 3,DEM JOP Pct 3,DEM JOP Pct 3,DEM County Chair,DEM County Chair,DEM County Chair,
ATASC,0003,Precinct 4,0,0,0,0,7,4,3,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,1,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,3,0,0,4,0,0,4,0,0,3,1,0,0,4,0,0,3,1,0,0,4,0,0,0,4,0,0,3,0,1,0,0,0,0,0,4,0,0,4,0,0,0,2,2,0,0,4,0,0,0,2,2,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,3,1,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,1,2,0,1,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,
ATASC,0003,Precinct 4,0,0,0,0,61,41,20,0,0,7,3,14,2,5,5,4,0,1,27,0,0,4,0,6,1,3,0,0,0,0,0,3,37,0,0,1,7,17,12,4,0,1,29,7,0,5,12,8,4,1,0,6,0,5,0,5,9,27,1,0,4,13,8,6,8,0,0,6,32,0,9,31,0,10,20,14,0,7,30,0,11,20,12,0,9,30,0,11,16,18,0,7,31,0,10,0,0,0,0,0,31,0,10,31,0,10,11,16,9,0,5,29,0,12,8,19,9,0,5,30,0,11,30,0,11,14,19,0,8,32,0,9,25,12,0,4,0,0,0,0,0,0,0,15,23,0,3,0,0,0,0,0,0,0,0,0,32,0,9,39,0,0,2,37,4,0,0,33,7,0,1,40,0,0,1,37,2,0,2,37,1,0,3,40,0,0,1,38,2,0,1,39,1,0,1,38,1,0,2,12,0,7,0,1,0,0,19,0,0,0,1,6,8,1,0,5,5,1,9,1,1,0,3,5,3,8,0,4,11,3,1,1,0,4,12,3,0,5,14,0,6,14,0,6,15,0,5,15,0,5,14,0,6,14,0,6,8,4,4,0,4,16,0,4,0,0,0,0,14,0,6,15,0,5,16,0,4,16,0,4,16,0,4,0,0,0,0,0,0,15,0,5,
ATASC,0003,Precinct 4,0,0,0,0,69,48,21,0,0,5,9,11,2,8,8,3,0,2,33,0,4,3,1,3,4,0,0,0,1,4,1,1,38,1,0,2,6,23,9,10,0,0,37,5,0,6,11,5,10,3,1,6,1,5,0,6,16,25,3,0,4,9,4,7,21,4,0,3,35,0,13,37,0,11,25,17,0,6,35,0,13,24,16,0,8,37,0,11,14,27,0,7,38,0,10,0,0,0,0,0,38,0,10,37,0,11,23,13,3,0,9,37,0,11,14,21,8,0,5,38,0,10,37,0,11,18,20,0,10,38,0,10,23,17,0,8,0,0,0,0,0,0,0,13,31,0,4,0,0,0,0,0,0,0,0,0,38,0,10,46,2,0,0,41,7,0,0,43,5,0,0,43,5,0,0,40,7,0,1,39,8,0,1,46,2,0,0,44,4,0,0,43,4,0,1,45,2,0,1,14,1,6,0,0,1,0,20,0,0,0,0,9,4,7,0,1,4,1,14,0,2,0,0,14,0,6,0,1,14,2,2,2,0,1,16,2,0,3,15,0,6,14,0,7,16,0,5,20,0,1,15,0,6,15,0,6,13,2,5,0,1,18,0,3,0,0,0,0,15,0,6,18,0,3,18,0,3,16,0,5,17,0,4,0,0,0,0,0,0,16,0,5,
ATASC,0003,Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATASC,0004,Precinct 5,0,0,0,0,13,5,8,0,0,0,0,2,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,1,2,0,2,0,0,2,2,0,1,0,0,0,1,0,0,1,0,0,3,2,3,0,0,0,0,0,0,2,0,0,3,5,0,0,5,0,0,0,2,0,3,4,0,1,1,2,0,2,5,0,0,0,2,0,3,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,2,2,0,1,5,0,0,0,3,2,0,0,5,0,0,4,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,2,2,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,4,0,4,0,0,0,0,8,0,0,0,0,2,6,0,0,0,1,1,4,1,0,0,1,4,1,3,0,0,3,1,1,1,0,2,7,1,0,0,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,4,0,2,0,2,6,0,2,0,0,0,0,5,0,3,6,0,2,6,0,2,6,0,2,0,0,0,6,0,2,0,0,0,6,0,2,
ATASC,0004,Precinct 5,0,0,0,0,97,67,30,0,1,16,6,10,12,11,8,2,0,2,51,2,1,6,1,2,1,3,0,0,5,0,4,2,51,1,0,4,9,40,8,9,0,1,52,5,0,10,18,5,10,7,1,8,0,7,0,11,17,37,7,0,6,14,8,8,14,9,0,14,53,0,14,53,0,14,30,24,0,13,52,0,15,34,20,0,13,52,0,15,16,36,0,15,53,0,14,0,0,0,0,0,49,0,18,50,0,17,23,18,19,0,7,53,0,14,2,35,27,0,3,55,0,12,53,0,14,14,44,0,9,59,0,8,0,0,0,0,0,0,0,0,53,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,11,62,4,0,1,59,4,0,4,56,11,0,0,60,5,0,2,57,8,0,2,57,8,0,2,64,2,0,1,61,5,0,1,61,6,0,0,65,2,0,0,19,1,9,0,1,0,0,28,1,0,0,1,13,6,9,0,2,5,0,15,2,3,0,5,20,4,4,0,2,21,4,0,1,0,4,20,6,0,4,24,0,6,21,0,9,22,0,8,25,0,5,21,0,9,21,0,9,18,4,6,0,2,24,0,6,0,0,0,0,22,0,8,27,0,3,23,0,7,27,0,3,0,0,0,22,0,8,0,0,0,23,0,7,
ATASC,0004,Precinct 5,0,0,0,0,88,54,34,0,0,11,3,10,7,8,9,2,0,4,40,0,0,3,0,4,3,4,0,0,3,1,1,4,41,1,0,3,6,29,4,15,0,0,39,5,0,10,13,7,2,6,1,3,3,7,0,12,12,31,4,0,7,6,11,2,14,12,0,9,42,0,12,42,0,12,24,19,0,11,39,0,15,30,13,0,11,42,0,12,11,29,0,14,43,0,11,0,0,0,0,0,43,0,11,41,0,13,16,20,10,0,8,44,0,10,18,15,17,0,4,42,0,12,42,0,12,18,25,0,11,42,0,12,0,0,0,0,0,0,0,0,40,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,12,48,5,0,1,46,7,0,1,46,8,0,0,50,2,0,2,48,5,0,1,45,8,0,1,52,1,0,1,50,3,0,1,52,2,0,0,52,1,0,1,23,1,10,0,0,2,0,31,0,0,0,1,11,5,15,0,3,6,1,19,0,6,0,2,19,6,4,0,5,26,0,3,3,0,2,25,5,0,4,26,0,8,27,0,7,27,0,7,30,0,4,26,0,8,26,0,8,17,2,10,0,5,25,0,9,0,0,0,0,27,0,7,28,0,6,29,0,5,28,0,6,0,0,0,30,0,4,0,0,0,28,0,6,
ATASC,0004,Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATASC,0005,Precinct 6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,
ATASC,0005,Precinct 6,0,0,0,0,77,58,19,0,0,12,17,4,7,8,4,1,0,5,40,0,0,5,1,3,5,3,0,1,2,2,5,2,38,1,0,8,4,22,14,11,0,7,34,5,0,19,18,4,1,5,0,5,1,2,0,22,12,23,4,0,19,10,7,3,10,5,0,23,36,0,22,36,0,22,16,18,0,24,36,0,22,23,9,0,26,36,0,22,14,20,0,24,37,0,21,0,0,0,0,0,36,0,22,39,0,19,18,19,11,0,10,38,0,20,8,34,13,0,3,42,0,16,41,0,17,15,36,0,7,41,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,9,0,0,0,0,0,38,0,20,48,2,0,8,45,4,0,9,51,6,0,1,57,1,0,0,51,5,0,2,43,8,0,7,58,0,0,0,53,3,0,2,54,4,0,0,56,2,0,0,16,1,2,0,0,0,0,16,0,0,0,3,5,5,6,0,3,0,1,13,1,1,0,3,6,2,8,0,3,11,3,1,2,0,2,16,1,0,2,17,0,2,17,0,2,17,0,2,15,0,4,14,0,5,14,0,5,9,2,5,0,3,14,0,5,0,0,0,0,14,0,5,15,0,4,15,0,4,16,0,3,0,0,0,0,0,0,16,0,3,15,0,4,
ATASC,0005,Precinct 6,0,0,0,0,30,28,2,0,0,8,3,2,3,0,6,0,0,6,18,0,0,6,0,1,2,1,0,0,2,1,0,2,20,1,0,2,7,10,1,8,0,2,19,2,0,7,5,1,4,4,0,2,2,2,0,8,7,15,2,0,4,7,5,2,2,4,0,8,19,0,9,17,0,11,13,5,0,10,18,0,10,14,4,0,10,18,0,10,9,11,0,8,17,0,11,0,0,0,0,0,18,0,10,17,0,11,15,3,3,0,7,19,0,9,8,15,3,0,2,18,0,10,20,0,8,6,16,0,6,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,6,0,0,0,0,0,19,0,9,26,1,0,1,22,5,0,1,24,4,0,0,26,2,0,0,24,4,0,0,26,2,0,0,28,0,0,0,26,2,0,0,26,2,0,0,26,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,
ATASC,0005,Precinct 6,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,1,1,0,0,2,0,0,1,1,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATASC,0006,Precinct 7,0,0,0,0,11,6,5,0,0,2,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,2,1,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,2,3,3,0,0,0,2,0,0,2,0,0,2,6,0,0,6,0,0,2,3,0,1,6,0,0,5,0,0,1,5,0,1,4,2,0,0,5,0,1,0,0,0,0,0,5,0,1,5,0,1,0,0,6,0,0,6,0,0,3,3,0,0,0,5,0,1,5,0,1,0,5,0,1,5,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,1,0,0,3,3,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,4,0,1,0,0,2,1,2,0,0,0,0,2,1,2,0,0,1,2,2,0,0,0,3,2,0,0,4,0,1,4,0,1,4,0,1,4,0,1,4,0,1,4,0,1,1,4,0,0,0,4,0,1,0,0,0,0,4,0,1,4,0,1,4,0,1,3,0,2,0,0,0,3,0,2,0,0,0,4,0,1,
ATASC,0006,Precinct 7,0,0,0,0,89,69,20,0,0,16,8,12,8,9,8,2,0,6,52,1,0,10,0,3,1,1,0,1,1,0,1,6,58,0,0,3,9,42,6,10,0,2,57,7,0,5,30,2,8,6,0,7,0,6,0,10,20,43,2,0,4,18,6,3,28,3,0,11,54,0,15,56,0,13,40,17,0,12,51,0,18,45,13,0,11,52,0,17,13,44,0,12,53,0,16,0,0,0,0,0,53,0,16,53,0,16,29,6,27,0,7,54,0,15,7,37,23,0,2,56,0,13,56,0,13,20,41,0,8,58,0,11,0,0,0,0,0,0,0,0,55,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,15,65,1,0,3,53,13,0,3,58,9,0,2,60,5,0,4,57,7,0,5,56,8,0,5,67,0,0,2,65,2,0,2,65,3,0,1,62,6,0,1,16,1,3,0,0,2,0,15,1,0,0,2,7,5,3,0,5,4,2,12,0,1,0,1,9,2,6,0,3,10,2,3,3,0,2,17,2,0,1,17,0,3,19,0,1,19,0,1,18,0,2,16,0,4,16,0,4,11,4,4,0,1,17,0,3,0,0,0,0,17,0,3,19,0,1,17,0,3,18,0,2,0,0,0,17,0,3,0,0,0,18,0,2,
ATASC,0006,Precinct 7,0,0,0,0,155,121,34,0,0,36,11,32,9,4,15,4,0,10,80,0,0,10,2,15,9,2,0,3,9,6,5,3,82,7,0,9,19,49,11,39,0,3,84,13,0,24,43,8,10,7,1,17,3,9,0,23,31,69,7,0,14,24,11,18,41,5,0,22,94,0,27,96,0,25,62,35,0,24,90,0,31,69,27,0,25,92,0,29,45,47,0,29,93,0,28,0,0,0,0,0,95,0,26,93,0,28,47,28,29,0,17,93,0,28,28,40,51,0,2,99,0,22,95,0,26,27,78,0,16,102,0,19,0,0,0,0,0,0,0,0,101,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,21,110,7,0,4,100,14,0,7,107,12,0,2,103,11,0,7,105,9,0,7,100,14,0,7,111,2,0,8,108,7,0,6,110,9,0,2,111,6,0,4,24,2,8,0,0,1,0,31,0,2,0,0,15,4,10,0,5,2,1,22,2,2,0,5,16,6,7,0,5,17,4,5,4,0,4,26,4,0,4,24,0,10,23,0,11,25,0,9,27,0,7,23,0,11,23,0,11,19,4,7,0,4,26,0,8,0,0,0,0,24,0,10,24,0,10,26,0,8,26,0,8,0,0,0,24,0,10,0,0,0,24,0,10,
ATASC,0006,Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
