political_subdivision,election_date,election_name,total provisional ballots,total provisonal ballots counted,precinct_number,reg_voters,race_name,candidate_name,early_votes,election_name
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",AJ Louderback,12,6
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Eric Mireles,16,10
Bee County,3/1/2022,Primary,,,1,2192,"United States Representative, District No. 27",Andrew Alvarez,5,5
Bee County,3/1/2022,Primary,,,1,2192,Governor,Rick Perry,12,6
Bee County,3/1/2022,Primary,,,1,2192,Governor,Chad Prather,6,2
Bee County,3/1/2022,Primary,,,1,2192,Governor,Danny Harrison,0,0
Bee County,3/1/2022,Primary,,,1,2192,Governor,Greg Abbott,131,79
Bee County,3/1/2022,Primary,,,1,2192,Governor,Kandy Kaye Horn,2,0
Bee County,3/1/2022,Primary,,,1,2192,Governor,Don Huffines,5,5
Bee County,3/1/2022,Primary,,,1,2192,Governor,Paul Belew,1,1
Bee County,3/1/2022,Primary,,,1,2192,Governor,Allen B. West,4,12
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Zach Vance,6,6
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Daniel Miller,7,3
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Aaron Sorrells,4,4
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Dan Patrick,126,76
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Trayce Bradford,2,4
Bee County,3/1/2022,Primary,,,1,2192,Lieutenant Governor,Todd M. Bullis,7,1
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Louie Gohmert,14,16
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,George P. Bush,56,28
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Eva Guzman,30,10
Bee County,3/1/2022,Primary,,,1,2192,Attorney General,Ken Paxton,64,48
Bee County,3/1/2022,Primary,,,1,2192,Comptroller of Public Accounts,Mark V. Goloby,23,17
Bee County,3/1/2022,Primary,,,1,2192,Comptroller of Public Accounts,Glenn Hegar,123,79
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Jon Spiers,31,18
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Weston Martinez,11,5
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Don W. Minton,7,5
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Victor Avila,12,10
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Dawn Buckingham,59,27
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Rufus Lopez,3,8
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Ben Armenta,2,2
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of the General Land Office,Tim Westley,14,12
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of Agriculture,James White,50,28
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of Agriculture,Carey A. Counsil,8,5
Bee County,3/1/2022,Primary,,,1,2192,Commissioner of Agriculture,Sid Miller,92,59
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,Sarah Stogner,34,21
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,Wayne Christian,55,36
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,Dawayne Tipton,12,9
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,"Marvin ""Sarge"" Summers",16,11
Bee County,3/1/2022,Primary,,,1,2192,Railroad Commissioner,Tom Slocum Jr,18,9
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 3",Debra Lehrmann,134,86
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 5",Rebeca Huddle,131,86
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 9",David J. Schenck,62,42
Bee County,3/1/2022,Primary,,,1,2192,"Justice, Supreme Court, Place 9",Evan Young,69,45
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,131,87
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,86,58
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,40,31
Bee County,3/1/2022,Primary,,,1,2192,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",131,87
Bee County,3/1/2022,Primary,,,1,2192,"Member, State Board of Education, District No. 3",Lana Jean Holland,62,44
Bee County,3/1/2022,Primary,,,1,2192,"Member, State Board of Education, District No. 3",Ken Morrow,72,46
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Isreal Salinas,21,11
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Adam Hinojosa,92,59
Bee County,3/1/2022,Primary,,,1,2192,"State Senator, District No. 27",Raul Torres,34,21
Bee County,3/1/2022,Primary,,,1,2192,"State Representative,  District No. 43",J.M. Lozano,143,92
Bee County,3/1/2022,Primary,,,1,2192,"Justice, 13th Court of Appeals District, Place No. 3",Ysmael Fonseca,47,35
Bee County,3/1/2022,Primary,,,1,2192,"Justice, 13th Court of Appeals District, Place No. 3",Aaron Peña,80,50
Bee County,3/1/2022,Primary,,,1,2192,"District Judge, 36th Judicial District",Starr Bauer,148,91
Bee County,3/1/2022,Primary,,,1,2192,"District Judge, 156th Judicial District",Patrick L. Flanigan,138,86
Bee County,3/1/2022,Primary,,,1,2192,County Judge,George Poe Trace Morrill III,149,94
Bee County,3/1/2022,Primary,,,1,2192,District Clerk,Zenaida Silva,149,90
Bee County,3/1/2022,Primary,,,1,2192,County Clerk,Nickelle Clark Gonzales,64,42
Bee County,3/1/2022,Primary,,,1,2192,County Clerk,Michele Bridge,99,63
Bee County,3/1/2022,Primary,,,1,2192,"Justice of the Peace, Precinct No. 3",Dennis Phipps,133,79
Bee County,3/1/2022,Primary,,,1,2192,County Chairman,Patty Johnson,141,85
Bee County,3/1/2022,Primary,,,1,2192,Proposition 1,YES,152,96
Bee County,3/1/2022,Primary,,,1,2192,Proposition 1,NO,7,6
Bee County,3/1/2022,Primary,,,1,2192,Proposition 2,YES,137,85
Bee County,3/1/2022,Primary,,,1,2192,Proposition 2,NO,24,16
Bee County,3/1/2022,Primary,,,1,2192,Proposition 3,YES,143,94
Bee County,3/1/2022,Primary,,,1,2192,Proposition 3,NO,18,7
Bee County,3/1/2022,Primary,,,1,2192,Proposition 4,YES,151,94
Bee County,3/1/2022,Primary,,,1,2192,Proposition 4,NO,7,7
Bee County,3/1/2022,Primary,,,1,2192,Proposition 5,YES,136,87
Bee County,3/1/2022,Primary,,,1,2192,Proposition 5,NO,24,12
Bee County,3/1/2022,Primary,,,1,2192,Proposition 6,YES,132,85
Bee County,3/1/2022,Primary,,,1,2192,Proposition 6,NO,24,12
Bee County,3/1/2022,Primary,,,1,2192,Proposition 7,YES,155,100
Bee County,3/1/2022,Primary,,,1,2192,Proposition 7,NO,3,1
Bee County,3/1/2022,Primary,,,1,2192,Proposition 8,YES,149,90
Bee County,3/1/2022,Primary,,,1,2192,Proposition 8,NO,8,10
Bee County,3/1/2022,Primary,,,1,2192,Proposition 9,YES,147,98
Bee County,3/1/2022,Primary,,,1,2192,Proposition 9,NO,17,4
Bee County,3/1/2022,Primary,,,1,2192,Proposition 10,YES,157,96
Bee County,3/1/2022,Primary,,,1,2192,Proposition 10,NO,4,4
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Anthony J Tristan,2,0
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Victor Melgoza,0,1
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Maclovio Perez Jr,5,2
Bee County,3/1/2022,Primary,,,2,533,Governor,Rich Wakeland,0,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Joy Diaz,0,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Inocencio (Inno) Barrientez,0,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Michael Cooper,0,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Beto O'Rourke,7,3
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Michelle Beckley,2,0
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Carla Brailey,3,2
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Mike Collier,2,1
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Joe Jaworski,1,0
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Rochelle Mercedes Garza,5,3
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Mike Fields,1,0
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Lee Merritt,0,0
Bee County,3/1/2022,Primary,,,2,533,Attorney General,"S. ""TBone"" Raynor",0,0
Bee County,3/1/2022,Primary,,,2,533,Comptroller of Public Accounts,Janet T. Dudding,1,1
Bee County,3/1/2022,Primary,,,2,533,Comptroller of Public Accounts,Tim Mahoney,1,0
Bee County,3/1/2022,Primary,,,2,533,Comptroller of Public Accounts,Angel Luis Vega,5,2
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Jinny Suh,0,0
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Sandragrace Martinez,2,2
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Jay Kleberg,5,0
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Michael Lange,0,1
Bee County,3/1/2022,Primary,,,2,533,Commissioner of Agriculture,Susan Hays,4,3
Bee County,3/1/2022,Primary,,,2,533,Commissioner of Agriculture,Ed Ireson,3,0
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,Luke Warford,7,3
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 3",Erin A Nowell,7,3
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 5",Amanda Reichek,6,3
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 9",Julia Maldonado,6,3
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,6,3
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,6,3
Bee County,3/1/2022,Primary,,,2,533,"Member, State Board of Education, District No. 3",Marisa B. Perez-Diaz,6,3
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Morgan Lamantia,0,0
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Alex Dominguez,3,2
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Sara Stapleton-Barrera,4,0
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Salomon Torres,0,1
Bee County,3/1/2022,Primary,,,2,533,"Justice, 13th Court of Appeals District, Place No. 3",Leticia Hinojosa,5,2
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Michael Cloud,41,39
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Chris Mapp,3,3
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",AJ Louderback,3,4
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Eric Mireles,2,6
Bee County,3/1/2022,Primary,,,2,533,"United States Representative, District No. 27",Andrew Alvarez,2,2
Bee County,3/1/2022,Primary,,,2,533,Governor,Rick Perry,1,2
Bee County,3/1/2022,Primary,,,2,533,Governor,Chad Prather,0,1
Bee County,3/1/2022,Primary,,,2,533,Governor,Danny Harrison,0,1
Bee County,3/1/2022,Primary,,,2,533,Governor,Greg Abbott,47,49
Bee County,3/1/2022,Primary,,,2,533,Governor,Kandy Kaye Horn,1,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Don Huffines,3,4
Bee County,3/1/2022,Primary,,,2,533,Governor,Paul Belew,0,0
Bee County,3/1/2022,Primary,,,2,533,Governor,Allen B. West,3,8
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Zach Vance,3,6
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Daniel Miller,4,2
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Aaron Sorrells,1,2
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Dan Patrick,44,48
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Trayce Bradford,2,1
Bee County,3/1/2022,Primary,,,2,533,Lieutenant Governor,Todd M. Bullis,0,0
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Louie Gohmert,7,8
Bee County,3/1/2022,Primary,,,2,533,Attorney General,George P. Bush,14,19
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Eva Guzman,11,3
Bee County,3/1/2022,Primary,,,2,533,Attorney General,Ken Paxton,23,32
Bee County,3/1/2022,Primary,,,2,533,Comptroller of Public Accounts,Mark V. Goloby,10,14
Bee County,3/1/2022,Primary,,,2,533,Comptroller of Public Accounts,Glenn Hegar,41,42
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Jon Spiers,11,18
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Weston Martinez,2,7
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Don W. Minton,6,6
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Victor Avila,4,1
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Dawn Buckingham,23,13
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Rufus Lopez,0,0
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Ben Armenta,0,0
Bee County,3/1/2022,Primary,,,2,533,Commissioner of the General Land Office,Tim Westley,3,6
Bee County,3/1/2022,Primary,,,2,533,Commissioner of Agriculture,James White,15,16
Bee County,3/1/2022,Primary,,,2,533,Commissioner of Agriculture,Carey A. Counsil,3,2
Bee County,3/1/2022,Primary,,,2,533,Commissioner of Agriculture,Sid Miller,34,36
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,Sarah Stogner,11,7
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,Wayne Christian,18,20
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,Dawayne Tipton,6,6
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,"Marvin ""Sarge"" Summers",3,14
Bee County,3/1/2022,Primary,,,2,533,Railroad Commissioner,Tom Slocum Jr,9,3
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 3",Debra Lehrmann,48,53
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 5",Rebeca Huddle,47,52
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 9",David J. Schenck,26,26
Bee County,3/1/2022,Primary,,,2,533,"Justice, Supreme Court, Place 9",Evan Young,19,25
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,47,51
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,31,46
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,13,9
Bee County,3/1/2022,Primary,,,2,533,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",46,51
Bee County,3/1/2022,Primary,,,2,533,"Member, State Board of Education, District No. 3",Lana Jean Holland,27,22
Bee County,3/1/2022,Primary,,,2,533,"Member, State Board of Education, District No. 3",Ken Morrow,19,32
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Isreal Salinas,7,11
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Adam Hinojosa,29,30
Bee County,3/1/2022,Primary,,,2,533,"State Senator, District No. 27",Raul Torres,11,14
Bee County,3/1/2022,Primary,,,2,533,"State Representative,  District No. 43",J.M. Lozano,46,54
Bee County,3/1/2022,Primary,,,2,533,"Justice, 13th Court of Appeals District, Place No. 3",Ysmael Fonseca,12,20
Bee County,3/1/2022,Primary,,,2,533,"Justice, 13th Court of Appeals District, Place No. 3",Aaron Peña,33,32
Bee County,3/1/2022,Primary,,,2,533,"District Judge, 36th Judicial District",Starr Bauer,47,52
Bee County,3/1/2022,Primary,,,2,533,"District Judge, 156th Judicial District",Patrick L. Flanigan,47,52
Bee County,3/1/2022,Primary,,,2,533,County Judge,George Poe Trace Morrill III,47,54
Bee County,3/1/2022,Primary,,,2,533,District Clerk,Zenaida Silva,47,54
Bee County,3/1/2022,Primary,,,2,533,County Clerk,Nickelle Clark Gonzales,16,11
Bee County,3/1/2022,Primary,,,2,533,County Clerk,Michele Bridge,33,49
Bee County,3/1/2022,Primary,,,2,533,"County Commissioner, Precinct No. 2",Mike Willow,19,32
Bee County,3/1/2022,Primary,,,2,533,"County Commissioner, Precinct No. 2",Dennis DeWitt,32,27
Bee County,3/1/2022,Primary,,,2,533,"Justice of the Peace, Precinct No. 2",Mike Showalter,48,53
Bee County,3/1/2022,Primary,,,2,533,County Chairman,Patty Johnson,49,52
Bee County,3/1/2022,Primary,,,2,533,Proposition 1,YES,53,63
Bee County,3/1/2022,Primary,,,2,533,Proposition 1,NO,2,0
Bee County,3/1/2022,Primary,,,2,533,Proposition 2,YES,40,48
Bee County,3/1/2022,Primary,,,2,533,Proposition 2,NO,12,11
Bee County,3/1/2022,Primary,,,2,533,Proposition 3,YES,50,56
Bee County,3/1/2022,Primary,,,2,533,Proposition 3,NO,5,7
Bee County,3/1/2022,Primary,,,2,533,Proposition 4,YES,51,56
Bee County,3/1/2022,Primary,,,2,533,Proposition 4,NO,4,6
Bee County,3/1/2022,Primary,,,2,533,Proposition 5,YES,44,58
Bee County,3/1/2022,Primary,,,2,533,Proposition 5,NO,10,5
Bee County,3/1/2022,Primary,,,2,533,Proposition 6,YES,38,58
Bee County,3/1/2022,Primary,,,2,533,Proposition 6,NO,13,2
Bee County,3/1/2022,Primary,,,2,533,Proposition 7,YES,53,62
Bee County,3/1/2022,Primary,,,2,533,Proposition 7,NO,2,2
Bee County,3/1/2022,Primary,,,2,533,Proposition 8,YES,51,62
Bee County,3/1/2022,Primary,,,2,533,Proposition 8,NO,3,2
Bee County,3/1/2022,Primary,,,2,533,Proposition 9,YES,44,51
Bee County,3/1/2022,Primary,,,2,533,Proposition 9,NO,11,12
Bee County,3/1/2022,Primary,,,2,533,Proposition 10,YES,49,60
Bee County,3/1/2022,Primary,,,2,533,Proposition 10,NO,4,2
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Anthony J Tristan,12,8
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Victor Melgoza,1,3
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Maclovio Perez Jr,16,13
Bee County,3/1/2022,Primary,,,3,1789,Governor,Rich Wakeland,2,2
Bee County,3/1/2022,Primary,,,3,1789,Governor,Joy Diaz,1,1
Bee County,3/1/2022,Primary,,,3,1789,Governor,Inocencio (Inno) Barrientez,0,1
Bee County,3/1/2022,Primary,,,3,1789,Governor,Michael Cooper,0,3
Bee County,3/1/2022,Primary,,,3,1789,Governor,Beto O'Rourke,27,18
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Michelle Beckley,12,7
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Carla Brailey,9,7
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Mike Collier,9,9
Bee County,3/1/2022,Primary,,,3,1789,Attorney General,Joe Jaworski,4,3
Bee County,3/1/2022,Primary,,,3,1789,Attorney General,Rochelle Mercedes Garza,18,14
Bee County,3/1/2022,Primary,,,3,1789,Attorney General,Mike Fields,7,2
Bee County,3/1/2022,Primary,,,3,1789,Attorney General,Lee Merritt,2,3
Bee County,3/1/2022,Primary,,,3,1789,Attorney General,"S. ""TBone"" Raynor",0,2
Bee County,3/1/2022,Primary,,,3,1789,Comptroller of Public Accounts,Janet T. Dudding,7,5
Bee County,3/1/2022,Primary,,,3,1789,Comptroller of Public Accounts,Tim Mahoney,6,8
Bee County,3/1/2022,Primary,,,3,1789,Comptroller of Public Accounts,Angel Luis Vega,18,11
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of the General Land Office,Jinny Suh,3,2
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of the General Land Office,Sandragrace Martinez,18,14
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of the General Land Office,Jay Kleberg,7,4
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of the General Land Office,Michael Lange,1,5
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of Agriculture,Susan Hays,21,20
Bee County,3/1/2022,Primary,,,3,1789,Commissioner of Agriculture,Ed Ireson,8,5
Bee County,3/1/2022,Primary,,,3,1789,Railroad Commissioner,Luke Warford,25,22
Bee County,3/1/2022,Primary,,,3,1789,"Justice, Supreme Court, Place 3",Erin A Nowell,26,21
Bee County,3/1/2022,Primary,,,3,1789,"Justice, Supreme Court, Place 5",Amanda Reichek,27,21
Bee County,3/1/2022,Primary,,,3,1789,"Justice, Supreme Court, Place 9",Julia Maldonado,28,23
Bee County,3/1/2022,Primary,,,3,1789,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,26,21
Bee County,3/1/2022,Primary,,,3,1789,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,27,21
Bee County,3/1/2022,Primary,,,3,1789,"Member, State Board of Education, District No. 3",Marisa B. Perez-Diaz,29,23
Bee County,3/1/2022,Primary,,,3,1789,"State Senator, District No. 27",Morgan Lamantia,4,3
Bee County,3/1/2022,Primary,,,3,1789,"State Senator, District No. 27",Alex Dominguez,13,6
Bee County,3/1/2022,Primary,,,3,1789,"State Senator, District No. 27",Sara Stapleton-Barrera,7,9
Bee County,3/1/2022,Primary,,,3,1789,"State Senator, District No. 27",Salomon Torres,7,7
Bee County,3/1/2022,Primary,,,3,1789,"Justice, 13th Court of Appeals District, Place No. 3",Leticia Hinojosa,28,22
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Michael Cloud,83,38
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Chris Mapp,6,7
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",AJ Louderback,9,3
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Eric Mireles,19,8
Bee County,3/1/2022,Primary,,,3,1789,"United States Representative, District No. 27",Andrew Alvarez,13,5
Bee County,3/1/2022,Primary,,,3,1789,Governor,Rick Perry,12,6
Bee County,3/1/2022,Primary,,,3,1789,Governor,Chad Prather,3,5
Bee County,3/1/2022,Primary,,,3,1789,Governor,Danny Harrison,2,1
Bee County,3/1/2022,Primary,,,3,1789,Governor,Greg Abbott,103,55
Bee County,3/1/2022,Primary,,,3,1789,Governor,Kandy Kaye Horn,1,0
Bee County,3/1/2022,Primary,,,3,1789,Governor,Don Huffines,8,2
Bee County,3/1/2022,Primary,,,3,1789,Governor,Paul Belew,0,0
Bee County,3/1/2022,Primary,,,3,1789,Governor,Allen B. West,6,4
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Zach Vance,11,5
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Daniel Miller,16,6
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Aaron Sorrells,2,1
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Dan Patrick,80,42
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Trayce Bradford,8,4
Bee County,3/1/2022,Primary,,,3,1789,Lieutenant Governor,Todd M. Bullis,6,3
