political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Comptroller of Public Accounts,REP,Mark V. Goloby,84,67
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Comptroller of Public Accounts,REP,Glenn Hegar,219,166
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Don W. Minton,36,36
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Ben Armenta,5,3
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Rufus Lopez,11,11
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Tim Westley,24,27
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Jon Spiers,18,14
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Victor Avila,11,16
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Dawn Buckingham,185,120
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of the General Land Office,REP,Weston Martinez,11,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of Agriculture,REP,James White,69,59
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of Agriculture,REP,Carey A. Counsil,30,20
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Commissioner of Agriculture,REP,Sid Miller,213,162
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,REP,Tom Slocum Jr,55,51
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,REP,Dawayne Tipton,35,33
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,REP,Wayne Christian,91,72
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,REP,Sarah Stogner,50,31
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Railroad Commissioner,REP,"Marvin ""Sarge"" Summers",60,37
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 3",REP,Debra Lehrmann,286,219
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 5",REP,Rebeca Huddle,280,214
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 9",REP,Evan Young,170,116
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, Supreme Court, Place 9",REP,David J. Schenck,122,96
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 2",REP,Mary Lou Keel,282,215
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 5",REP,Clint Morgan,91,72
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 5",REP,Scott Walker,200,140
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, Court of Criminal Appeals, Place 6",REP,"Jesse F. McClure, III",280,212
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Member, State Board of Education, District No. 14",REP,Sue Melton-Malone,145,102
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Member, State Board of Education, District No. 14",REP,Evelyn Brooks,139,115
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"State Senator, District No. 24",REP,Raul Reyes,98,91
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"State Senator, District No. 24",REP,Pete Flores,163,122
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"State Senator, District No. 24",REP,Lamar Lewis,46,28
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"State Representative,  District No. 59",REP,Shelby Slawson,285,218
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice, 10th Court of Appeals District, Place No. 3",REP,Steve Smith,282,209
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"District Judge, 440th Judicial District",REP,Grant Kinsey,279,210
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Judge,REP,Joey Acfalle,33,24
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Judge,REP,Jack Barcroft,45,51
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Judge,REP,Celia J. Sellers,37,37
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Judge,REP,Roger A Miller,186,121
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Judge, County Court-at-Law",REP,John Lee,279,210
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,District Clerk,REP,Becky Moore,279,211
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Clerk,REP,Jennifer Newton,281,211
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,County Treasurer,REP,Randi McFarlin,278,209
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,"Justice of the Peace, Precinct No. 1",REP,John Guinn,282,213
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 1,REP,YES,315,239
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 1,REP,NO,14,14
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 2,REP,YES,236,196
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 2,REP,NO,85,54
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 3,REP,YES,289,233
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 3,REP,NO,37,25
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 4,REP,YES,300,241
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 4,REP,NO,27,15
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 5,REP,YES,265,206
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 5,REP,NO,51,47
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 6,REP,YES,259,207
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 6,REP,NO,57,46
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 7,REP,YES,321,254
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 7,REP,NO,7,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 8,REP,YES,311,241
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 8,REP,NO,14,13
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 9,REP,YES,298,237
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 9,REP,NO,28,20
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 10,REP,YES,309,240
Coryell County Republican Party,3/1/2022,Primary Election,0,0,101,5882,Proposition 10,REP,NO,16,17
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"United States Representative, District No. 31",REP,Mike Williams,27,27
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"United States Representative, District No. 31",REP,Abhiram Garapati,25,17
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"United States Representative, District No. 31",REP,John Carter,148,120
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Chad Prather,8,12
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Danny Harrison,0,0
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Rick Perry,6,3
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Don Huffines,11,19
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Greg Abbott,149,110
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Kandy Kaye Horn,5,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Allen B. West,30,33
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Governor,REP,Paul Belew,0,0
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Dan Patrick,162,136
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Aaron Sorrells,6,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Daniel Miller,22,11
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Trayce Bradford,9,10
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Zach Vance,2,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Lieutenant Governor,REP,Todd M. Bullis,0,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,REP,Louie Gohmert,23,35
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,REP,George P. Bush,43,27
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,REP,Ken Paxton,108,86
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Attorney General,REP,Eva Guzman,30,21
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Comptroller of Public Accounts,REP,Mark V. Goloby,42,28
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Comptroller of Public Accounts,REP,Glenn Hegar,136,119
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Don W. Minton,23,21
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Ben Armenta,2,4
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Rufus Lopez,0,4
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Tim Westley,14,13
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Jon Spiers,7,12
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Victor Avila,7,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Dawn Buckingham,132,83
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of the General Land Office,REP,Weston Martinez,6,3
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of Agriculture,REP,James White,40,39
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of Agriculture,REP,Carey A. Counsil,12,18
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Commissioner of Agriculture,REP,Sid Miller,147,111
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,REP,Tom Slocum Jr,46,35
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,REP,Dawayne Tipton,13,25
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,REP,Wayne Christian,52,36
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,REP,Sarah Stogner,30,22
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Railroad Commissioner,REP,"Marvin ""Sarge"" Summers",22,20
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 3",REP,Debra Lehrmann,168,145
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 5",REP,Rebeca Huddle,162,141
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 9",REP,Evan Young,109,83
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, Supreme Court, Place 9",REP,David J. Schenck,50,50
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 2",REP,Mary Lou Keel,162,138
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 5",REP,Clint Morgan,54,48
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 5",REP,Scott Walker,108,87
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, Court of Criminal Appeals, Place 6",REP,"Jesse F. McClure, III",159,137
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Member, State Board of Education, District No. 14",REP,Sue Melton-Malone,84,63
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Member, State Board of Education, District No. 14",REP,Evelyn Brooks,75,66
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"State Senator, District No. 24",REP,Raul Reyes,56,38
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"State Senator, District No. 24",REP,Pete Flores,110,92
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"State Senator, District No. 24",REP,Lamar Lewis,27,24
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"State Representative,  District No. 59",REP,Shelby Slawson,179,142
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice, 10th Court of Appeals District, Place No. 3",REP,Steve Smith,158,140
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"District Judge, 440th Judicial District",REP,Grant Kinsey,177,149
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Judge,REP,Joey Acfalle,5,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Judge,REP,Jack Barcroft,42,43
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Judge,REP,Celia J. Sellers,38,25
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Judge,REP,Roger A Miller,112,90
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Judge, County Court-at-Law",REP,John Lee,179,148
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,District Clerk,REP,Becky Moore,182,153
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Clerk,REP,Jennifer Newton,168,148
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,County Treasurer,REP,Randi McFarlin,179,150
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,"Justice of the Peace, Precinct No. 4",REP,Coy Latham,188,149
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 1,REP,YES,196,171
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 1,REP,NO,11,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 2,REP,YES,150,138
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 2,REP,NO,47,34
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 3,REP,YES,181,162
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 3,REP,NO,25,14
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 4,REP,YES,194,168
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 4,REP,NO,12,7
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 5,REP,YES,172,148
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 5,REP,NO,32,24
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 6,REP,YES,169,151
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 6,REP,NO,36,23
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 7,REP,YES,200,171
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 7,REP,NO,8,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 8,REP,YES,195,167
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 8,REP,NO,10,8
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 9,REP,YES,179,157
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 9,REP,NO,26,15
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 10,REP,YES,189,167
Coryell County Republican Party,3/1/2022,Primary Election,0,0,102,1434,Proposition 10,REP,NO,17,8
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"United States Representative, District No. 31",REP,Mike Williams,6,12
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"United States Representative, District No. 31",REP,Abhiram Garapati,2,15
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"United States Representative, District No. 31",REP,John Carter,19,49
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Chad Prather,0,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Danny Harrison,0,0
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Rick Perry,0,4
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Don Huffines,5,8
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Greg Abbott,16,51
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Kandy Kaye Horn,0,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Allen B. West,7,10
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Governor,REP,Paul Belew,0,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Dan Patrick,24,61
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Aaron Sorrells,2,4
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Daniel Miller,0,7
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Trayce Bradford,0,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Zach Vance,2,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Lieutenant Governor,REP,Todd M. Bullis,0,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,REP,Louie Gohmert,2,17
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,REP,George P. Bush,6,18
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,REP,Ken Paxton,14,36
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Attorney General,REP,Eva Guzman,6,9
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Comptroller of Public Accounts,REP,Mark V. Goloby,1,13
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Comptroller of Public Accounts,REP,Glenn Hegar,24,49
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Don W. Minton,5,9
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Ben Armenta,0,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Rufus Lopez,1,1
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Tim Westley,1,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Jon Spiers,1,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Victor Avila,1,4
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Dawn Buckingham,18,34
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of the General Land Office,REP,Weston Martinez,0,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of Agriculture,REP,James White,6,22
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of Agriculture,REP,Carey A. Counsil,4,3
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Commissioner of Agriculture,REP,Sid Miller,16,51
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,REP,Tom Slocum Jr,8,12
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,REP,Dawayne Tipton,1,11
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,REP,Wayne Christian,5,25
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,REP,Sarah Stogner,3,2
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Railroad Commissioner,REP,"Marvin ""Sarge"" Summers",6,7
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 3",REP,Debra Lehrmann,25,64
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 5",REP,Rebeca Huddle,26,62
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 9",REP,Evan Young,15,38
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice, Supreme Court, Place 9",REP,David J. Schenck,6,17
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 2",REP,Mary Lou Keel,25,60
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 5",REP,Clint Morgan,7,22
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 5",REP,Scott Walker,14,34
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Judge, Court of Criminal Appeals, Place 6",REP,"Jesse F. McClure, III",25,57
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Member, State Board of Education, District No. 14",REP,Sue Melton-Malone,16,28
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Member, State Board of Education, District No. 14",REP,Evelyn Brooks,8,31
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"State Senator, District No. 24",REP,Raul Reyes,9,24
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"State Senator, District No. 24",REP,Pete Flores,13,38
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"State Senator, District No. 24",REP,Lamar Lewis,4,6
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"State Representative,  District No. 59",REP,Shelby Slawson,27,64
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice, 10th Court of Appeals District, Place No. 3",REP,Steve Smith,24,59
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"District Judge, 440th Judicial District",REP,Grant Kinsey,25,61
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Judge,REP,Joey Acfalle,2,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Judge,REP,Jack Barcroft,5,10
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Judge,REP,Celia J. Sellers,4,10
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Judge,REP,Roger A Miller,16,40
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Judge, County Court-at-Law",REP,John Lee,26,64
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,District Clerk,REP,Becky Moore,26,66
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Clerk,REP,Jennifer Newton,26,64
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,County Treasurer,REP,Randi McFarlin,25,63
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,"Justice of the Peace, Precinct No. 4",REP,Coy Latham,25,67
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 1,REP,YES,25,77
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 1,REP,NO,3,0
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 2,REP,YES,20,57
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 2,REP,NO,8,19
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 3,REP,YES,24,74
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 3,REP,NO,4,5
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 4,REP,YES,25,78
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 4,REP,NO,3,0
Coryell County Republican Party,3/1/2022,Primary Election,0,0,103,364,Proposition 5,REP,YES,21,69
