COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,"DEM US Representative, District 27","DEM US Representative, District 27","DEM US Representative, District 27",DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Commissioner of Agriculture,DEM Commissioner of Agriculture,DEM Railroad Commissioner,"DEM Justice, Supreme Court, Pl 3","DEM Justice, Supreme Court, Pl 5","DEM Justice, Supreme Court, Pl 9","DEM Judge, Ct of Crim App, Pl 5","DEM Judge, Ct of Crim App, Pl 6","DEM Member, State BoE, Dist 5","DEM Member, State BoE, Dist 5","DEM Member, State BoE, Dist 5","DEM State Senator, Dist 21","DEM State Representative, Dist 17","DEM Justice, 3rd Ct of App Dist, Pl 4","DEM Justice, 3rd Ct of App Dist, Pl 4","DEM Justice, 3rd Ct of App Dist, Pl 4",DEM Criminal District Attorney,DEM County Judge,"DEM Judge, County Court at Law",DEM County Clerk,DEM County Commissioner Pct 4,DEM County Commissioner Pct 4,DEM JOP Pct 3,DEM JOP Pct 4,
CALDW,0006,Precinct 108,0,71,24,7,10,6,0,24,0,0,0,6,10,7,7,10,2,2,2,7,7,9,6,2,3,10,5,16,20,21,21,21,21,21,2,10,10,21,21,6,7,7,20,22,22,22,0,0,0,0,
CALDW,0006,Precinct 108,0,48,9,5,1,2,2,6,0,0,0,5,2,2,0,5,2,2,0,1,5,2,2,2,3,2,2,7,9,8,8,9,8,8,1,5,3,9,8,0,5,4,8,8,9,9,0,0,0,0,
CALDW,0007,Precinct 111,0,11,8,2,4,0,0,8,0,0,0,2,0,6,5,0,1,2,0,2,3,0,1,4,2,0,2,5,7,7,6,5,7,5,0,6,0,7,6,3,0,3,4,4,6,6,0,0,0,0,
CALDW,0007,Precinct 111,0,117,41,17,15,6,1,36,1,0,1,5,16,20,14,20,4,3,0,9,17,14,7,8,10,14,10,27,36,36,37,37,34,35,3,24,12,37,36,16,9,15,36,37,36,39,0,0,0,0,
CALDW,0007,Precinct 111,0,109,40,14,17,8,2,36,2,0,0,15,12,12,3,23,3,4,6,6,16,16,13,10,4,12,9,30,36,38,38,39,38,37,2,21,16,39,39,10,12,17,38,37,38,38,0,0,0,0,
CALDW,0008,Precinct 201,0,7,6,2,3,0,1,5,0,0,0,3,3,0,1,5,0,0,0,0,1,5,0,1,0,5,0,6,4,4,4,4,4,4,0,2,4,4,4,1,1,4,6,4,4,4,0,0,0,0,
CALDW,0008,Precinct 201,0,142,23,11,4,6,3,19,0,1,0,10,4,7,4,9,3,5,0,6,8,8,6,4,6,6,5,17,21,20,20,21,20,19,2,13,6,21,19,8,9,5,19,20,20,21,0,0,0,0,
CALDW,0008,Precinct 201,0,95,18,6,5,4,1,17,0,0,0,8,6,4,3,12,2,1,0,3,10,5,4,5,4,4,3,15,16,16,17,16,16,16,0,14,4,16,15,6,7,4,14,15,15,15,0,0,0,0,
CALDW,0009,Precinct 202,0,16,4,0,2,0,0,4,0,0,0,2,1,1,0,4,0,0,0,1,1,2,1,1,1,1,1,3,2,3,3,3,3,2,0,2,2,3,3,0,3,1,2,3,3,2,0,0,0,0,
CALDW,0009,Precinct 202,0,154,12,8,2,1,0,11,0,0,0,3,2,5,7,3,0,1,0,3,2,6,2,3,1,5,4,7,11,11,11,11,11,11,0,7,4,12,11,3,5,2,12,11,11,12,0,0,0,0,
CALDW,0009,Precinct 202,0,124,29,15,8,4,1,27,0,1,0,10,9,9,4,11,5,5,2,8,10,10,2,9,5,12,8,19,23,26,26,27,25,25,2,14,12,25,26,6,10,11,27,27,26,27,0,0,0,0,
CALDW,0010,Precinct 203,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
CALDW,0010,Precinct 203,0,231,17,4,11,1,0,13,2,1,0,3,2,11,2,7,3,3,1,3,10,3,4,7,3,2,6,10,16,15,15,16,16,17,2,12,3,16,16,4,8,5,16,15,16,16,0,0,0,0,
CALDW,0010,Precinct 203,0,145,18,6,7,4,1,15,0,2,0,6,7,5,7,8,0,2,1,2,8,8,2,6,2,8,4,12,16,14,15,16,15,14,1,10,6,17,15,4,5,8,15,14,16,15,0,0,0,0,
CALDW,0011,Precinct 204,0,15,12,7,4,0,0,12,0,0,0,2,1,6,5,2,1,3,0,2,7,0,4,2,2,1,3,6,10,11,11,10,10,10,0,9,0,11,11,4,6,1,11,9,10,9,0,0,0,0,
CALDW,0011,Precinct 204,0,203,31,16,8,4,3,24,3,1,0,15,8,7,6,12,6,3,3,7,16,8,8,8,6,9,7,23,25,23,26,26,27,24,3,17,8,26,27,12,11,5,24,26,27,28,0,0,0,0,
CALDW,0011,Precinct 204,0,202,25,12,9,3,0,23,2,0,0,6,8,9,6,9,2,5,1,6,11,7,12,7,3,2,4,19,21,21,21,21,22,22,3,11,9,22,22,9,9,5,22,21,22,23,0,0,0,0,
CALDW,0012,Precinct 205,0,6,4,2,2,0,0,4,0,0,0,1,0,3,2,1,1,0,0,1,1,0,0,3,1,0,0,4,2,2,2,2,2,2,0,2,0,4,2,1,1,0,2,2,2,2,0,0,0,0,
CALDW,0012,Precinct 205,0,84,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,
CALDW,0012,Precinct 205,0,49,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,1,0,2,2,0,0,0,2,2,2,2,0,0,0,0,
CALDW,0013,Precinct 206,0,12,7,3,3,0,0,6,0,0,0,1,3,3,3,1,1,1,0,2,3,1,1,1,2,3,2,4,5,5,5,5,5,5,1,5,0,5,5,2,2,2,5,5,5,5,0,0,0,0,
CALDW,0013,Precinct 206,0,104,26,10,11,4,1,22,0,1,2,11,9,6,4,15,3,2,2,4,15,7,5,8,3,10,3,23,23,24,24,24,24,24,2,15,8,25,23,6,10,7,25,24,25,24,0,0,0,0,
CALDW,0013,Precinct 206,0,102,17,8,4,3,1,14,1,1,0,5,6,5,4,5,6,2,0,6,5,6,2,1,6,6,2,15,13,12,13,12,11,11,2,7,6,14,12,5,3,6,14,11,13,14,0,0,0,0,
CALDW,0014,Precinct 300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CALDW,0014,Precinct 300,0,18,7,2,2,1,0,7,0,0,0,3,2,2,5,2,0,0,0,2,0,3,1,3,1,2,3,2,4,4,5,5,4,4,3,1,1,6,5,1,2,1,4,4,4,5,0,0,5,0,
CALDW,0014,Precinct 300,0,18,7,5,0,0,0,6,0,0,0,2,1,3,1,1,2,2,0,2,4,0,4,0,2,0,1,5,6,5,5,5,5,5,1,3,1,5,5,3,2,0,5,6,5,5,0,0,4,0,
CALDW,0015,Precinct 301,0,15,10,2,3,2,0,10,0,0,0,0,2,6,2,5,0,1,0,1,3,3,3,3,0,1,0,7,7,7,7,7,7,7,1,2,4,8,7,1,1,4,7,7,7,7,0,0,7,0,
CALDW,0015,Precinct 301,0,98,39,17,12,9,0,35,1,1,2,11,8,20,12,22,3,2,0,9,22,7,11,14,3,10,4,34,36,36,36,34,35,35,2,25,12,35,35,15,7,17,33,35,35,35,0,0,34,0,
CALDW,0015,Precinct 301,0,122,52,18,18,11,4,48,0,0,0,14,17,14,8,27,6,5,2,5,26,15,11,12,8,14,16,30,37,40,41,42,39,38,2,26,19,43,39,11,12,20,36,40,40,40,0,0,41,0,
CALDW,0016,Precinct 302,0,7,7,3,2,1,0,7,0,0,0,3,0,3,2,3,2,0,0,1,1,4,0,2,1,3,2,4,6,5,5,6,5,5,1,3,3,6,5,1,3,2,5,7,6,7,0,0,7,0,
CALDW,0016,Precinct 302,0,50,10,7,2,1,0,10,0,0,0,5,2,3,3,4,1,2,0,1,3,6,1,4,3,2,2,8,10,9,10,10,10,10,0,6,4,10,10,3,1,6,10,9,10,9,0,0,10,0,
CALDW,0016,Precinct 302,0,87,27,10,10,3,0,24,2,1,0,5,9,10,6,14,3,2,0,4,9,10,5,8,7,5,2,22,21,22,23,20,19,19,2,10,10,21,20,6,4,10,19,22,20,21,0,0,23,0,
CALDW,0017,Precinct 303,0,7,2,1,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,2,2,2,2,2,2,0,2,0,2,2,1,1,0,2,2,2,2,0,0,2,0,
CALDW,0017,Precinct 303,0,80,22,10,9,2,2,19,0,0,1,6,7,8,3,11,4,4,0,2,10,9,6,4,2,9,5,16,20,19,20,21,20,20,3,12,6,21,20,5,8,8,20,20,21,21,0,0,21,0,
CALDW,0017,Precinct 303,0,76,23,12,9,2,1,22,0,0,0,5,5,10,9,8,3,1,1,5,4,11,2,4,6,9,4,17,20,19,21,22,20,21,1,10,11,22,21,10,5,7,22,22,23,22,0,0,20,0,
CALDW,0018,Precinct 305,0,7,6,1,2,1,0,6,0,0,0,2,2,1,1,4,0,0,0,0,2,2,1,2,0,3,1,5,5,5,5,5,5,5,0,3,2,5,5,0,2,3,5,5,5,5,0,0,5,0,
CALDW,0018,Precinct 305,0,47,6,1,4,1,0,5,1,0,0,1,4,1,0,3,1,2,0,0,4,1,1,4,0,1,1,5,6,6,6,6,6,6,0,4,2,6,6,0,3,1,6,6,6,6,0,0,5,0,
CALDW,0018,Precinct 305,0,57,14,9,4,1,1,11,1,0,1,4,6,4,2,5,4,2,1,2,9,2,1,5,3,4,2,11,12,12,12,12,11,10,2,8,1,11,11,4,6,2,12,12,12,12,0,0,12,0,
CALDW,0019,Precinct 306,0,9,3,1,2,0,0,3,0,0,0,1,0,1,2,1,0,0,0,2,0,1,1,1,0,0,1,1,3,3,3,3,3,3,0,2,1,3,3,0,2,1,3,3,3,3,0,0,3,0,
CALDW,0019,Precinct 306,0,40,11,5,4,1,0,11,0,0,0,2,2,7,5,4,1,1,0,0,4,6,0,6,2,2,2,9,11,11,11,11,11,11,0,7,4,11,11,3,4,4,11,11,11,11,0,0,11,0,
CALDW,0019,Precinct 306,0,27,8,4,1,1,0,8,0,0,0,1,1,5,2,2,2,0,0,2,3,1,2,1,2,1,1,5,6,5,5,6,6,6,1,3,2,6,6,0,3,2,6,6,7,6,0,0,6,0,
CALDW,0020,Precinct 400,0,8,5,3,0,2,0,5,0,0,0,0,2,3,5,0,0,0,0,0,5,0,1,2,2,0,0,5,1,1,1,1,1,1,0,2,3,3,3,4,1,0,3,1,1,1,1,2,0,1,
CALDW,0020,Precinct 400,0,90,26,10,4,9,0,23,1,0,0,7,6,9,4,11,3,2,3,2,12,6,3,3,8,8,4,18,19,19,19,20,19,19,0,16,4,20,18,10,6,5,18,16,20,18,12,12,0,18,
CALDW,0020,Precinct 400,0,53,10,3,2,3,1,8,1,0,0,2,4,4,4,2,1,1,1,3,3,2,2,4,3,1,4,5,7,7,7,7,7,7,3,5,1,9,8,2,5,1,7,7,8,8,6,4,0,6,
CALDW,0021,Precinct 401,0,15,13,2,5,4,1,12,0,0,0,3,1,6,1,8,3,0,0,2,3,7,2,3,1,5,3,7,10,9,10,11,10,10,0,5,5,10,10,0,7,6,11,11,12,13,7,4,0,13,
CALDW,0021,Precinct 401,0,53,26,8,10,3,1,21,1,0,0,4,6,13,4,14,4,0,0,4,3,14,6,5,2,10,5,18,19,20,21,21,21,19,1,7,16,21,20,5,5,13,18,22,21,22,17,7,0,21,
CALDW,0021,Precinct 401,0,61,40,11,13,9,1,37,0,0,0,13,12,10,5,17,6,2,3,6,13,16,7,4,8,13,7,26,29,30,32,29,27,26,2,15,16,30,31,8,8,15,28,26,34,31,32,4,0,29,
CALDW,0022,Precinct 402,0,15,12,8,1,0,0,12,0,0,0,5,1,4,3,3,3,1,0,2,2,7,1,2,2,4,3,7,8,9,10,10,10,10,1,7,3,10,9,4,4,3,10,11,11,11,9,2,0,11,
CALDW,0022,Precinct 402,0,86,47,15,20,7,2,41,1,2,0,13,10,16,7,23,4,4,3,4,14,21,9,6,7,18,5,32,37,37,37,38,39,37,4,27,11,42,37,12,8,19,34,37,39,38,29,15,0,37,
CALDW,0022,Precinct 402,0,118,69,21,27,8,0,64,1,1,2,16,17,25,14,31,6,8,2,15,22,21,15,12,6,29,6,52,49,52,54,55,54,51,2,31,26,59,51,19,17,21,52,55,60,58,44,16,0,56,
CALDW,0023,Precinct 404,0,9,3,1,0,2,0,3,0,0,0,0,3,0,0,2,0,1,0,1,2,0,0,1,1,1,2,1,3,3,3,3,3,3,1,1,1,3,3,1,1,1,3,3,3,3,2,1,0,3,
CALDW,0023,Precinct 404,0,91,28,14,5,6,1,24,2,0,0,15,6,5,4,11,8,2,1,6,10,10,7,6,5,8,6,20,25,25,25,26,25,25,1,18,7,26,26,10,10,6,25,27,25,26,12,16,0,26,
CALDW,0023,Precinct 404,0,101,34,21,5,5,3,30,1,0,0,14,11,7,4,12,8,6,1,11,13,9,15,3,8,7,4,28,28,28,29,31,29,27,6,14,12,29,28,15,7,11,29,29,30,30,12,21,0,30,
CALDW,0024,Precinct 405,0,10,6,0,3,1,0,6,0,0,0,0,2,3,4,1,0,0,0,0,5,0,1,4,0,0,0,5,6,6,6,6,6,6,0,5,0,6,6,1,0,4,6,6,6,6,3,1,0,6,
CALDW,0024,Precinct 405,0,83,18,8,4,5,1,17,0,0,0,5,4,9,5,6,1,5,0,3,11,3,2,3,6,6,6,11,18,17,17,17,18,17,3,11,3,17,17,4,6,7,18,17,17,17,7,10,0,17,
CALDW,0024,Precinct 405,0,75,19,3,5,4,0,17,0,0,0,7,6,2,2,6,2,3,2,3,6,4,6,4,1,4,3,11,15,15,15,11,13,11,4,6,3,14,13,5,4,4,12,11,13,13,11,6,0,11,
CALDW,ZZZ,COUNTY TOTALS,0,5040,1439,554,468,261,53,1305,31,16,12,431,376,522,336,669,162,128,47,271,567,459,312,350,218,437,259,1042,1198,1199,1220,1229,1205,1177,95,759,447,1269,1206,410,385,467,1191,1212,1258,1257,204,121,216,285,
