political_subdivision,election_date,election_name,total provisional ballots ,total provisional ballots counted,#FormatVersion 1,,,,,,,,,
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 3",Erin A Nowell,,6,2,2,4
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 5",Amanda Reichek,,5,2,2,3
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 9",Julia Maldonado,,6,2,2,4
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,7,2,2,5
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,7,2,2,5
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Member, State Board of Education, District No. 12",Alex Cornwallis,,4,1,1,3
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Member, State Board of Education, District No. 12",Roberto Velasco,,3,2,1,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1","Aditya ""A.D."" Atholi",,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Nathaniel Moran,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",Joe McDaniel,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"United States Representative, District No. 1",John Porro,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Don Huffines,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Rick Perry,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Kandy Kaye Horn,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Chad Prather,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Danny Harrison,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Paul Belew,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Allen B. West,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Governor,Greg Abbott,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Trayce Bradford,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Aaron Sorrells,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Todd M. Bullis,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Daniel Miller,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Dan Patrick,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Lieutenant Governor,Zach Vance,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Louie Gohmert,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Ken Paxton,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,Eva Guzman,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Attorney General,George P. Bush,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,Comptroller of Public Accounts,Glenn Hegar,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Comptroller of Public Accounts,Mark V. Goloby,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Victor Avila,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Rufus Lopez,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Dawn Buckingham,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Tim Westley,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Don W. Minton,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Weston Martinez,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Ben Armenta,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of the General Land Office,Jon Spiers,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of Agriculture,James White,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of Agriculture,Sid Miller,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Commissioner of Agriculture,Carey A. Counsil,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,Dawayne Tipton,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,Wayne Christian,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,"Marvin ""Sarge"" Summers",,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,Sarah Stogner,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Railroad Commissioner,Tom Slocum Jr,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 9",Evan Young,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Justice, Supreme Court, Place 9",David J. Schenck,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Member, State Board of Education, District No. 12",Pam Little,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"State Senator, District No. 1",Bryan Hughes,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"State Representative,  District No. 1",George Lavender,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"State Representative,  District No. 1",Gary Vandeaver,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"State Representative,  District No. 1",Ray Null,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,"Chief Justice, 6th Court of Appeals District",Scott E. Stevens,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"District Judge, 102nd Judicial District",Jeff M. Addison,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,County Judge,Robert Bridges,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,County Judge,Carl Hausler,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,District Clerk,Brenna Williams,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,County Clerk,Shawn Weemes,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,County Treasurer,Lorena Delatorre,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,"County Commissioner, Precinct No. 2",David E Hutson Sr,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Justice of the Peace,Shelley Benton,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,County Chairman,Shawn Tully,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 1,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 1,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 2,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 2,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 3,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 3,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 4,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 4,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 5,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 5,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 6,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 6,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 7,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 7,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 8,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 8,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 9,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 9,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 10,YES,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-1,112,0,Proposition 10,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,"United States Representative, District No. 4",Iro Omere,,4,3,1,3
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Beto O'Rourke,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Inocencio (Inno) Barrientez,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Michael Cooper,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Rich Wakeland,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Joy Diaz,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Carla Brailey,,1,0,1,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Michelle Beckley,,2,1,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Mike Collier,,1,2,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Rochelle Mercedes Garza,,3,1,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Lee Merritt,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,"S. ""TBone"" Raynor",,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Joe Jaworski,,0,1,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Mike Fields,,1,1,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Comptroller of Public Accounts,Janet T. Dudding,,2,1,1,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Comptroller of Public Accounts,Tim Mahoney,,2,1,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Comptroller of Public Accounts,Angel Luis Vega,,0,1,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Jinny Suh,,1,0,1,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Jay Kleberg,,1,2,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,1,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Michael Lange,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of Agriculture,Ed Ireson,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of Agriculture,Susan Hays,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,Luke Warford,,4,3,1,3
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 3",Erin A Nowell,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 5",Amanda Reichek,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 9",Julia Maldonado,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,,3,3,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Member, State Board of Education, District No. 12",Alex Cornwallis,,2,2,1,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Member, State Board of Education, District No. 12",Roberto Velasco,,2,1,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,"United States Representative, District No. 4",John E. Harper,,17,4,2,15
Red River,3/1/2022,Primary Election,,,2-4,467,0,"United States Representative, District No. 4",Pat Fallon,,51,35,5,46
Red River,3/1/2022,Primary Election,,,2-4,467,0,"United States Representative, District No. 4",Dan Thomas,,8,8,0,8
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Don Huffines,,9,7,0,9
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Rick Perry,,2,1,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Kandy Kaye Horn,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Chad Prather,,4,4,0,4
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Danny Harrison,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Paul Belew,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Allen B. West,,6,6,0,6
Red River,3/1/2022,Primary Election,,,2-4,467,0,Governor,Greg Abbott,,63,34,7,56
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Trayce Bradford,,1,1,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Aaron Sorrells,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Todd M. Bullis,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Daniel Miller,,9,6,0,9
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Dan Patrick,,64,36,7,57
Red River,3/1/2022,Primary Election,,,2-4,467,0,Lieutenant Governor,Zach Vance,,5,6,0,5
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Louie Gohmert,,11,8,2,9
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Ken Paxton,,42,20,1,41
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,Eva Guzman,,14,4,2,12
Red River,3/1/2022,Primary Election,,,2-4,467,0,Attorney General,George P. Bush,,17,18,2,15
Red River,3/1/2022,Primary Election,,,2-4,467,0,Comptroller of Public Accounts,Glenn Hegar,,60,38,7,53
Red River,3/1/2022,Primary Election,,,2-4,467,0,Comptroller of Public Accounts,Mark V. Goloby,,9,6,0,9
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Victor Avila,,13,4,1,12
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Rufus Lopez,,2,0,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Dawn Buckingham,,26,10,2,24
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Tim Westley,,14,10,1,13
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Don W. Minton,,6,8,1,5
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Weston Martinez,,2,0,1,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Ben Armenta,,1,4,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of the General Land Office,Jon Spiers,,2,2,0,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of Agriculture,James White,,21,18,2,19
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of Agriculture,Sid Miller,,40,25,5,35
Red River,3/1/2022,Primary Election,,,2-4,467,0,Commissioner of Agriculture,Carey A. Counsil,,10,0,0,10
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,Dawayne Tipton,,12,4,2,10
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,Wayne Christian,,32,22,3,29
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,"Marvin ""Sarge"" Summers",,6,11,0,6
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,Sarah Stogner,,9,1,0,9
Red River,3/1/2022,Primary Election,,,2-4,467,0,Railroad Commissioner,Tom Slocum Jr,,6,2,1,5
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,,65,39,7,58
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,,64,39,7,57
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 9",Evan Young,,34,30,3,31
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Justice, Supreme Court, Place 9",David J. Schenck,,25,11,3,22
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,,64,37,7,57
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,,18,15,0,18
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,,38,25,5,33
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",,62,38,7,55
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Member, State Board of Education, District No. 12",Pam Little,,60,35,7,53
Red River,3/1/2022,Primary Election,,,2-4,467,0,"State Senator, District No. 1",Bryan Hughes,,62,40,7,55
Red River,3/1/2022,Primary Election,,,2-4,467,0,"State Representative,  District No. 1",George Lavender,,12,6,0,12
Red River,3/1/2022,Primary Election,,,2-4,467,0,"State Representative,  District No. 1",Gary Vandeaver,,67,43,6,61
Red River,3/1/2022,Primary Election,,,2-4,467,0,"State Representative,  District No. 1",Ray Null,,6,2,1,5
Red River,3/1/2022,Primary Election,,,2-4,467,0,"Chief Justice, 6th Court of Appeals District",Scott E. Stevens,,63,37,7,56
Red River,3/1/2022,Primary Election,,,2-4,467,0,"District Judge, 102nd Judicial District",Jeff M. Addison,,66,36,7,59
Red River,3/1/2022,Primary Election,,,2-4,467,0,County Judge,Robert Bridges,,51,30,3,48
Red River,3/1/2022,Primary Election,,,2-4,467,0,County Judge,Carl Hausler,,35,16,4,31
Red River,3/1/2022,Primary Election,,,2-4,467,0,District Clerk,Brenna Williams,,71,40,7,64
Red River,3/1/2022,Primary Election,,,2-4,467,0,County Clerk,Shawn Weemes,,76,46,7,69
Red River,3/1/2022,Primary Election,,,2-4,467,0,County Treasurer,Lorena Delatorre,,71,40,7,64
Red River,3/1/2022,Primary Election,,,2-4,467,0,"County Commissioner, Precinct No. 2",David E Hutson Sr,,69,44,7,62
Red River,3/1/2022,Primary Election,,,2-4,467,0,Justice of the Peace,Shelley Benton,,73,47,7,66
Red River,3/1/2022,Primary Election,,,2-4,467,0,County Chairman,Shawn Tully,,66,44,7,59
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 1,YES,,78,51,7,71
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 1,NO,,1,0,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 2,YES,,72,46,6,66
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 2,NO,,11,5,1,10
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 3,YES,,73,46,5,68
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 3,NO,,10,6,2,8
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 4,YES,,79,49,6,73
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 4,NO,,3,2,1,2
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 5,YES,,80,45,7,73
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 5,NO,,1,4,0,1
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 6,YES,,78,45,7,71
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 6,NO,,3,6,0,3
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 7,YES,,81,51,7,74
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 7,NO,,0,0,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 8,YES,,80,51,7,73
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 8,NO,,0,1,0,0
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 9,YES,,72,46,7,65
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 9,NO,,8,5,0,8
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 10,YES,,80,50,7,73
Red River,3/1/2022,Primary Election,,,2-4,467,0,Proposition 10,NO,,0,2,0,0
Red River,3/1/2022,Primary Election,,,3-1,1032,0,"United States Representative, District No. 1",Gavin Dass,,6,3,0,6
Red River,3/1/2022,Primary Election,,,3-1,1032,0,"United States Representative, District No. 1",Stephen Kocen,,13,5,2,11
Red River,3/1/2022,Primary Election,,,3-1,1032,0,"United States Representative, District No. 1",Victor D. Dunn,,13,7,0,13
Red River,3/1/2022,Primary Election,,,3-1,1032,0,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,,10,15,0,10
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Governor,Beto O'Rourke,,39,27,2,37
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Governor,Inocencio (Inno) Barrientez,,0,1,0,0
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Governor,Michael Cooper,,5,4,0,5
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Governor,Rich Wakeland,,0,0,0,0
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Governor,Joy Diaz,,1,1,0,1
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Lieutenant Governor,Carla Brailey,,17,7,0,17
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Lieutenant Governor,Michelle Beckley,,15,12,2,13
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Lieutenant Governor,Mike Collier,,10,9,0,10
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Attorney General,Rochelle Mercedes Garza,,12,6,1,11
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Attorney General,Lee Merritt,,16,19,0,16
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Attorney General,"S. ""TBone"" Raynor",,4,4,0,4
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Attorney General,Joe Jaworski,,2,0,0,2
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Attorney General,Mike Fields,,7,3,1,6
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Comptroller of Public Accounts,Janet T. Dudding,,20,11,2,18
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Comptroller of Public Accounts,Tim Mahoney,,16,8,0,16
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Comptroller of Public Accounts,Angel Luis Vega,,7,8,0,7
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Commissioner of the General Land Office,Jinny Suh,,8,3,0,8
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Commissioner of the General Land Office,Jay Kleberg,,9,6,1,8
Red River,3/1/2022,Primary Election,,,3-1,1032,0,Commissioner of the General Land Office,Sandragrace Martinez,,15,11,0,15
