COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 25","US Representative, Dist 25","US Representative, Dist 25",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 14","Member, State BoE, Dist 14","State Senator, Dist 24","State Senator, Dist 24","State Representative, Dist 54","State Representative, Dist 54","Chief Justice, 3rd Ct of App Dist","Chief Justice, 3rd Ct of App Dist","Dist Judge, 27th Judicial Dist",County Attorney,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Constable,"Council Member, Position 6","Council Member, Position 6","Council Member, Position 6","Council Member, Position 6","Council Member, Position 7",Proposition No. 1,Proposition No. 1,Councilperson Place I,Councilperson Place I,Councilperson Place II,Councilperson Place II,Councilperson Place V,Councilperson Place V,Special Election to Adopt City Manager,Special Election to Adopt City Manager,Councilperson Place Three,Councilperson Place Three,Councilperson Place Four,Councilperson Place Five,Councilperson Place Five,Mayor,Mayor,Mayor,Councilmember,Councilmember,Councilmember,Councilmember,Trustees,Trustees,Trustees,School Board Member,School Board Member,
LAMPA,0003,Precinct 3,2225,166,0,135,26,4,0,133,29,2,0,135,24,6,137,24,2,0,137,27,1,137,28,135,27,2,137,25,3,138,26,135,29,136,28,135,29,133,31,137,27,134,28,150,151,156,156,0,155,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,40,122,76,46,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0004,Precinct 4,1383,79,0,40,37,2,0,42,32,2,1,40,36,2,42,31,3,0,42,32,1,43,34,39,35,2,41,34,2,42,33,44,31,41,35,42,35,43,34,44,35,42,34,58,59,65,60,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0004,Precinct 4,1383,768,0,634,118,15,0,646,107,12,1,645,104,16,633,104,18,5,628,110,21,644,112,621,111,27,626,107,23,640,117,642,110,645,110,648,105,659,104,661,101,646,109,708,724,726,727,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0004,Precinct 4,1383,114,0,86,24,4,0,87,21,6,0,85,22,7,84,19,8,3,83,24,6,91,23,85,22,7,86,21,7,86,28,89,25,88,25,94,20,92,21,94,19,90,22,111,109,109,110,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0005,Precinct 5,597,56,0,34,21,1,0,33,23,0,0,33,19,4,35,21,0,0,36,19,0,34,20,33,20,1,33,20,1,35,19,33,20,34,18,35,17,35,18,35,19,34,19,44,46,48,49,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0005,Precinct 5,597,321,0,283,36,1,1,284,37,0,0,282,35,3,286,32,1,0,285,32,2,288,31,284,33,2,285,32,1,285,34,286,33,284,34,285,34,284,36,287,33,286,32,304,304,302,305,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,7,
LAMPA,0005,Precinct 5,597,108,0,101,6,1,0,102,4,0,0,103,4,1,100,5,1,1,100,5,1,103,4,101,5,2,102,3,3,102,6,104,4,102,6,103,5,104,4,105,3,103,4,105,105,105,104,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
LAMPA,0006,Precinct 6,531,39,0,18,21,0,0,19,20,0,0,19,20,0,19,17,0,0,19,18,0,19,18,19,18,0,19,18,0,18,18,18,18,18,18,19,17,19,20,19,20,19,18,24,24,23,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,
LAMPA,0006,Precinct 6,531,314,0,286,24,3,0,285,23,2,1,283,23,4,287,21,2,0,289,22,1,294,18,290,21,1,288,22,4,290,24,292,22,291,23,289,23,290,21,294,19,290,22,291,299,294,299,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,
LAMPA,0006,Precinct 6,531,57,0,45,6,4,1,42,8,7,0,42,7,7,42,8,6,1,42,8,7,47,10,44,7,6,42,8,7,47,10,48,9,46,11,48,9,48,9,49,7,48,9,51,52,52,48,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,
LAMPA,0007,Precinct 7,898,38,0,23,14,1,0,23,13,1,1,24,13,1,23,12,1,1,25,10,2,26,11,24,12,1,25,9,3,23,13,25,12,23,13,24,13,24,13,25,12,25,12,29,31,31,32,0,31,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,4,6,5,5,0,0,0,15,12,
LAMPA,0007,Precinct 7,898,340,0,293,42,5,0,292,39,3,2,292,42,3,297,35,3,1,296,34,5,296,37,294,37,3,294,35,5,295,37,295,37,298,35,294,38,293,40,296,38,298,35,323,329,329,326,0,317,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,19,32,70,35,23,3,2,3,154,131,
LAMPA,0007,Precinct 7,898,207,0,166,31,3,4,161,28,4,7,169,29,6,167,25,6,4,166,32,4,169,32,167,32,3,170,26,6,170,32,172,31,173,27,178,24,175,29,178,27,174,29,189,192,192,192,0,191,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,37,41,85,39,33,1,1,0,102,86,
LAMPA,0008,Precinct 8,2162,114,0,64,48,2,0,67,43,4,0,68,46,0,69,41,1,1,65,46,1,69,43,67,42,3,67,45,0,63,44,64,47,69,43,69,43,70,43,68,44,67,45,82,83,84,83,0,0,0,0,83,0,0,0,0,0,0,0,13,6,13,6,8,11,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0008,Precinct 8,2162,1002,0,755,229,18,0,746,217,26,4,757,214,25,755,201,27,10,751,215,28,776,214,752,211,30,761,201,30,772,219,778,212,776,215,785,203,782,208,781,211,780,210,915,932,931,935,0,0,0,0,931,0,0,0,0,0,0,0,111,57,105,67,101,71,112,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0008,Precinct 8,2162,298,0,237,51,7,2,233,47,12,2,236,42,17,235,40,15,4,228,49,18,246,49,238,44,14,235,42,18,243,52,244,50,246,49,247,48,244,48,248,46,248,45,283,284,283,285,0,0,0,0,285,0,0,0,0,0,0,0,36,20,34,23,34,24,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0009,Precinct 9,1934,100,0,53,45,1,1,55,40,2,1,54,42,2,50,40,5,2,50,45,2,55,43,51,45,2,51,45,2,52,46,52,46,52,45,53,45,55,43,55,43,52,45,74,75,75,77,75,0,0,0,77,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0009,Precinct 9,1934,936,0,717,208,8,1,724,193,15,2,728,191,16,725,172,21,9,717,187,28,742,189,720,186,23,723,183,25,737,191,750,178,737,191,748,181,738,191,757,177,744,185,877,873,886,883,877,0,0,0,879,0,0,0,0,0,0,0,18,15,18,16,18,15,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,0009,Precinct 9,1934,250,0,206,36,6,2,205,35,6,1,212,31,3,205,33,8,1,207,32,8,210,36,206,34,6,207,33,7,209,38,212,35,206,41,211,36,211,37,216,33,211,36,238,236,238,237,241,0,0,0,238,0,0,0,0,0,0,0,9,1,8,3,9,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAMPA,ZZZ,COUNTY TOTALS,15408,10431,0,8086,2144,145,24,8102,1978,189,61,8109,1979,210,8125,1845,225,93,8062,1986,252,8294,1979,8071,1961,247,8131,1888,259,8212,2047,8280,1971,8263,1982,8272,1922,8265,1999,8398,1878,8243,1968,9381,9482,9543,9551,2460,1680,4349,912,4210,112,78,68,46,301,246,112,252,156,260,156,231,187,262,166,1531,968,2420,1310,1156,69,90,62,77,161,79,61,6,3,6,313,309,
