political_subdivison,election_date,election_name,total provisionals ballots,total provisional ballots counted,#FormatVersion 1,,,,,,
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,99,35
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,13,2
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,102,35
Red River,11/3/2020,General,18,6,11,233,"Judge, Court of Criminal Appeals, Place No. 9",Brandon Birmingham,DEM,10,2
Red River,11/3/2020,General,18,6,11,233,"Member State Board of Education, District No. 9",Keven M. Ellis,REP,101,34
Red River,11/3/2020,General,18,6,11,233,"Member State Board of Education, District No. 9",Brenda Davis,DEM,13,3
Red River,11/3/2020,General,18,6,11,233,"State Senator, District No. 1",Bryan Hughes,REP,101,35
Red River,11/3/2020,General,18,6,11,233,"State Senator, District No. 1",Audrey Spanko,DEM,12,2
Red River,11/3/2020,General,18,6,11,233,"State Representative, District No. 1",Gary Vandeaver,REP,103,36
Red River,11/3/2020,General,18,6,11,233,"Justice, 6th Court of Appeals District, Place No. 3",Ralph K. Burgess,REP,103,34
Red River,11/3/2020,General,18,6,11,233,"District Judge, 6th Judicial District",R. Wesley Tidwell,REP,104,35
Red River,11/3/2020,General,18,6,11,233,County Attorney,Val Varley,REP,97,33
Red River,11/3/2020,General,18,6,11,233,Sheriff,Jim Caldwell,REP,105,35
Red River,11/3/2020,General,18,6,11,233,County Tax Assessor-Collector,Tonya R. Martin,REP,105,36
Red River,11/3/2020,General,18,6,11,233,"County Commissioner, Precinct No. 1",Donnie R. Gentry,REP,99,34
Red River,11/3/2020,General,18,6,11,233,Constable,Shawn Roden,REP,102,33
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,Donald J. Trump Michael R. Pence,REP,21,6
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,President and Vice President,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,John Cornyn,REP,22,6
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,"Mary ""MJ"" Hegar",DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,Kerry Douglas McKennon,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,David B. Collins,GRN,0,0
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,United States Senator,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"United States Representative, District No. 4",Pat Fallon,REP,21,6
Red River,11/3/2020,General,18,6,11 - A,46,"United States Representative, District No. 4",Russell Foster,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"United States Representative, District No. 4",Lou Antonelli,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"United States Representative, District No. 4",Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"United States Representative, District No. 4",Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,11 - A,46,Railroad Commissioner,"James ""Jim"" Wright",REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,Railroad Commissioner,Chrysta Castañeda,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,Railroad Commissioner,Matt Sterett,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Chief Justice, Supreme Court",Nathan Hecht,REP,21,6
Red River,11/3/2020,General,18,6,11 - A,46,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Chief Justice, Supreme Court",Mark Ash,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Judge, Court of Criminal Appeals, Place No. 9",Brandon Birmingham,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"Member State Board of Education, District No. 9",Keven M. Ellis,REP,20,6
Red River,11/3/2020,General,18,6,11 - A,46,"Member State Board of Education, District No. 9",Brenda Davis,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"State Senator, District No. 1",Bryan Hughes,REP,21,6
Red River,11/3/2020,General,18,6,11 - A,46,"State Senator, District No. 1",Audrey Spanko,DEM,0,0
Red River,11/3/2020,General,18,6,11 - A,46,"State Representative, District No. 1",Gary Vandeaver,REP,21,5
Red River,11/3/2020,General,18,6,11 - A,46,"Justice, 6th Court of Appeals District, Place No. 3",Ralph K. Burgess,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,"District Judge, 6th Judicial District",R. Wesley Tidwell,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,County Attorney,Val Varley,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,Sheriff,Jim Caldwell,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,County Tax Assessor-Collector,Tonya R. Martin,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,"County Commissioner, Precinct No. 1",Donnie R. Gentry,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,Constable,Shawn Roden,REP,20,5
Red River,11/3/2020,General,18,6,11 - A,46,Detroit Independent School District Board of Trustees,Ginny Minter,,15,5
Red River,11/3/2020,General,18,6,11 - A,46,Detroit Independent School District Board of Trustees,Clint Johnson,,10,1
Red River,11/3/2020,General,18,6,11 - A,46,Detroit Independent School District Board of Trustees,Cheri Yarbrough Eldridge,,5,0
Red River,11/3/2020,General,18,6,11 - A,46,Detroit Independent School District Board of Trustees,Jessie Smith,,3,0
Red River,11/3/2020,General,18,6,11 - A,46,Detroit Independent School District Board of Trustees,Shane Henderson,,13,5
Red River,11/3/2020,General,18,6,2,684,President and Vice President,Donald J. Trump Michael R. Pence,REP,269,36
Red River,11/3/2020,General,18,6,2,684,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,113,29
Red River,11/3/2020,General,18,6,2,684,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,2,0
Red River,11/3/2020,General,18,6,2,684,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
Red River,11/3/2020,General,18,6,2,684,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,2,684,President and Vice President,Unassigned write-ins,,2,0
Red River,11/3/2020,General,18,6,2,684,United States Senator,John Cornyn,REP,269,37
Red River,11/3/2020,General,18,6,2,684,United States Senator,"Mary ""MJ"" Hegar",DEM,111,26
Red River,11/3/2020,General,18,6,2,684,United States Senator,Kerry Douglas McKennon,LIB,2,0
Red River,11/3/2020,General,18,6,2,684,United States Senator,David B. Collins,GRN,1,0
Red River,11/3/2020,General,18,6,2,684,United States Senator,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,2,684,United States Senator,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,2,684,"United States Representative, District No. 4",Pat Fallon,REP,261,34
Red River,11/3/2020,General,18,6,2,684,"United States Representative, District No. 4",Russell Foster,DEM,111,26
Red River,11/3/2020,General,18,6,2,684,"United States Representative, District No. 4",Lou Antonelli,LIB,5,1
Red River,11/3/2020,General,18,6,2,684,"United States Representative, District No. 4",Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,2,684,"United States Representative, District No. 4",Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,2,684,Railroad Commissioner,"James ""Jim"" Wright",REP,267,36
Red River,11/3/2020,General,18,6,2,684,Railroad Commissioner,Chrysta Castañeda,DEM,108,25
Red River,11/3/2020,General,18,6,2,684,Railroad Commissioner,Matt Sterett,LIB,3,1
Red River,11/3/2020,General,18,6,2,684,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,2,0
Red River,11/3/2020,General,18,6,2,684,"Chief Justice, Supreme Court",Nathan Hecht,REP,261,34
Red River,11/3/2020,General,18,6,2,684,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,113,26
Red River,11/3/2020,General,18,6,2,684,"Chief Justice, Supreme Court",Mark Ash,LIB,3,2
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,260,36
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,114,25
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,264,34
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,110,25
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,2,2
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,261,35
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,108,25
Red River,11/3/2020,General,18,6,2,684,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,4,1
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,257,35
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,114,27
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,259,36
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,114,25
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,259,36
Red River,11/3/2020,General,18,6,2,684,"Judge, Court of Criminal Appeals, Place No. 9",Brandon Birmingham,DEM,114,25
Red River,11/3/2020,General,18,6,2,684,"Member State Board of Education, District No. 9",Keven M. Ellis,REP,256,35
Red River,11/3/2020,General,18,6,2,684,"Member State Board of Education, District No. 9",Brenda Davis,DEM,119,26
Red River,11/3/2020,General,18,6,2,684,"State Senator, District No. 1",Bryan Hughes,REP,263,34
Red River,11/3/2020,General,18,6,2,684,"State Senator, District No. 1",Audrey Spanko,DEM,114,27
Red River,11/3/2020,General,18,6,2,684,"State Representative, District No. 1",Gary Vandeaver,REP,298,41
Red River,11/3/2020,General,18,6,2,684,"Justice, 6th Court of Appeals District, Place No. 3",Ralph K. Burgess,REP,281,40
Red River,11/3/2020,General,18,6,2,684,"District Judge, 6th Judicial District",R. Wesley Tidwell,REP,281,41
Red River,11/3/2020,General,18,6,2,684,County Attorney,Val Varley,REP,268,37
Red River,11/3/2020,General,18,6,2,684,Sheriff,Jim Caldwell,REP,299,41
Red River,11/3/2020,General,18,6,2,684,County Tax Assessor-Collector,Tonya R. Martin,REP,301,43
Red River,11/3/2020,General,18,6,2,684,Constable,Shawn Roden,REP,295,41
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,Donald J. Trump Michael R. Pence,REP,342,42
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,288,51
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,4,3
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,Howie Hawkins Angela Walker,GRN,1,0
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,3,1158,President and Vice President,Unassigned write-ins,,1,0
Red River,11/3/2020,General,18,6,3,1158,United States Senator,John Cornyn,REP,344,41
Red River,11/3/2020,General,18,6,3,1158,United States Senator,"Mary ""MJ"" Hegar",DEM,274,47
Red River,11/3/2020,General,18,6,3,1158,United States Senator,Kerry Douglas McKennon,LIB,3,6
Red River,11/3/2020,General,18,6,3,1158,United States Senator,David B. Collins,GRN,2,0
Red River,11/3/2020,General,18,6,3,1158,United States Senator,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,3,1158,United States Senator,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,3,1158,"United States Representative, District No. 4",Pat Fallon,REP,322,39
Red River,11/3/2020,General,18,6,3,1158,"United States Representative, District No. 4",Russell Foster,DEM,269,44
Red River,11/3/2020,General,18,6,3,1158,"United States Representative, District No. 4",Lou Antonelli,LIB,29,12
Red River,11/3/2020,General,18,6,3,1158,"United States Representative, District No. 4",Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,3,1158,"United States Representative, District No. 4",Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,3,1158,Railroad Commissioner,"James ""Jim"" Wright",REP,336,38
Red River,11/3/2020,General,18,6,3,1158,Railroad Commissioner,Chrysta Castañeda,DEM,269,49
Red River,11/3/2020,General,18,6,3,1158,Railroad Commissioner,Matt Sterett,LIB,9,5
Red River,11/3/2020,General,18,6,3,1158,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,2,1
Red River,11/3/2020,General,18,6,3,1158,"Chief Justice, Supreme Court",Nathan Hecht,REP,332,40
Red River,11/3/2020,General,18,6,3,1158,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,274,47
Red River,11/3/2020,General,18,6,3,1158,"Chief Justice, Supreme Court",Mark Ash,LIB,7,6
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,337,45
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,273,48
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,332,38
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,276,48
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,5,6
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,336,37
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,270,50
Red River,11/3/2020,General,18,6,3,1158,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,5,5
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,336,42
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,276,51
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,337,42
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,272,51
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,335,41
Red River,11/3/2020,General,18,6,3,1158,"Judge, Court of Criminal Appeals, Place No. 9",Brandon Birmingham,DEM,271,52
Red River,11/3/2020,General,18,6,3,1158,"Member State Board of Education, District No. 9",Keven M. Ellis,REP,335,43
Red River,11/3/2020,General,18,6,3,1158,"Member State Board of Education, District No. 9",Brenda Davis,DEM,272,50
Red River,11/3/2020,General,18,6,3,1158,"State Senator, District No. 1",Bryan Hughes,REP,338,44
Red River,11/3/2020,General,18,6,3,1158,"State Senator, District No. 1",Audrey Spanko,DEM,267,50
Red River,11/3/2020,General,18,6,3,1158,"State Representative, District No. 1",Gary Vandeaver,REP,427,61
Red River,11/3/2020,General,18,6,3,1158,"Justice, 6th Court of Appeals District, Place No. 3",Ralph K. Burgess,REP,405,57
Red River,11/3/2020,General,18,6,3,1158,"District Judge, 6th Judicial District",R. Wesley Tidwell,REP,404,58
Red River,11/3/2020,General,18,6,3,1158,County Attorney,Val Varley,REP,395,57
Red River,11/3/2020,General,18,6,3,1158,Sheriff,Jim Caldwell,REP,420,58
Red River,11/3/2020,General,18,6,3,1158,County Tax Assessor-Collector,Tonya R. Martin,REP,454,64
Red River,11/3/2020,General,18,6,3,1158,"County Commissioner, Precinct No. 3",Jeff Moore,REP,407,59
Red River,11/3/2020,General,18,6,3,1158,Constable,Shawn Roden,REP,405,60
Red River,11/3/2020,General,18,6,4,946,President and Vice President,Donald J. Trump Michael R. Pence,REP,319,40
Red River,11/3/2020,General,18,6,4,946,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,212,35
Red River,11/3/2020,General,18,6,4,946,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,2,1
Red River,11/3/2020,General,18,6,4,946,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
Red River,11/3/2020,General,18,6,4,946,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,President and Vice President,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,United States Senator,John Cornyn,REP,318,42
Red River,11/3/2020,General,18,6,4,946,United States Senator,"Mary ""MJ"" Hegar",DEM,205,33
Red River,11/3/2020,General,18,6,4,946,United States Senator,Kerry Douglas McKennon,LIB,4,1
Red River,11/3/2020,General,18,6,4,946,United States Senator,David B. Collins,GRN,3,0
Red River,11/3/2020,General,18,6,4,946,United States Senator,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,United States Senator,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,"United States Representative, District No. 4",Pat Fallon,REP,305,40
Red River,11/3/2020,General,18,6,4,946,"United States Representative, District No. 4",Russell Foster,DEM,195,29
Red River,11/3/2020,General,18,6,4,946,"United States Representative, District No. 4",Lou Antonelli,LIB,23,5
Red River,11/3/2020,General,18,6,4,946,"United States Representative, District No. 4",Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,"United States Representative, District No. 4",Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,4,946,Railroad Commissioner,"James ""Jim"" Wright",REP,317,38
Red River,11/3/2020,General,18,6,4,946,Railroad Commissioner,Chrysta Castañeda,DEM,197,33
Red River,11/3/2020,General,18,6,4,946,Railroad Commissioner,Matt Sterett,LIB,3,2
Red River,11/3/2020,General,18,6,4,946,Railroad Commissioner,"Katija ""Kat"" Gruene",GRN,4,1
Red River,11/3/2020,General,18,6,4,946,"Chief Justice, Supreme Court",Nathan Hecht,REP,315,37
Red River,11/3/2020,General,18,6,4,946,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,206,33
Red River,11/3/2020,General,18,6,4,946,"Chief Justice, Supreme Court",Mark Ash,LIB,2,4
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 6 Unexpired Term",Jane Bland,REP,318,41
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 6 Unexpired Term",Kathy Cheng,DEM,205,33
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,317,40
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,200,32
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,2,3
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,309,40
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,204,30
Red River,11/3/2020,General,18,6,4,946,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,4,5
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 3",Bert Richardson,REP,314,40
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 3",Elizabeth Davis Frizell,DEM,201,34
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 4",Kevin Patrick Yeary,REP,315,42
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 4",Tina Clinton,DEM,202,33
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 9",David Newell,REP,317,39
Red River,11/3/2020,General,18,6,4,946,"Judge, Court of Criminal Appeals, Place No. 9",Brandon Birmingham,DEM,202,35
Red River,11/3/2020,General,18,6,4,946,"Member State Board of Education, District No. 9",Keven M. Ellis,REP,308,41
Red River,11/3/2020,General,18,6,4,946,"Member State Board of Education, District No. 9",Brenda Davis,DEM,206,35
Red River,11/3/2020,General,18,6,4,946,"State Senator, District No. 1",Bryan Hughes,REP,317,40
Red River,11/3/2020,General,18,6,4,946,"State Senator, District No. 1",Audrey Spanko,DEM,195,35
Red River,11/3/2020,General,18,6,4,946,"State Representative, District No. 1",Gary Vandeaver,REP,389,64
Red River,11/3/2020,General,18,6,4,946,"Justice, 6th Court of Appeals District, Place No. 3",Ralph K. Burgess,REP,356,58
Red River,11/3/2020,General,18,6,4,946,"District Judge, 6th Judicial District",R. Wesley Tidwell,REP,367,61
Red River,11/3/2020,General,18,6,4,946,County Attorney,Val Varley,REP,362,54
Red River,11/3/2020,General,18,6,4,946,Sheriff,Jim Caldwell,REP,381,61
Red River,11/3/2020,General,18,6,4,946,County Tax Assessor-Collector,Tonya R. Martin,REP,409,65
Red River,11/3/2020,General,18,6,4,946,Constable,Shawn Roden,REP,372,57
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,Donald J. Trump Michael R. Pence,REP,369,263
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,Joseph R. Biden Kamala D. Harris,DEM,57,22
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,3,3
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,Howie Hawkins Angela Walker,GRN,0,0
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,Rejected write-ins,,0,0
Red River,11/3/2020,General,18,6,5,1049,President and Vice President,Unassigned write-ins,,0,0
Red River,11/3/2020,General,18,6,5,1049,United States Senator,John Cornyn,REP,361,255
