COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 11","US Representative, Dist 11","US Representative, Dist 11",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Representative, Dist 82","Justice, 11th Ct of App Dist, Pl 2","Justice, 11th Ct of App Dist, Pl 3","Dist Judge, 142nd Judicial Dist","Dist Judge, 385th Judicial Dist","Dist Attorney, 142nd Judicial Dist",Mayor,Mayor,Mayor,"Council Member, At Large","Council Member, At Large","Council Member, At Large","Council Member, At Large","Council Member, District 2","Council Member, District 2","Trustee, Place 7","Trustee, Place 7","Trustee, Place 7","Trustee, Place 8","Trustee, Place 8","Trustee, Place 9","Trustee, District 1","Trustee, District 1","Trustee, District 1","Trustee, District 2","Trustee, District 2","Trustee, District 4","Trustee, District 4","Trustee, District 4","Trustee, District 7","Trustee, District 7",
MIDLA,0009,Precinct 108A,562,297,0,251,44,2,0,243,40,7,3,240,40,8,245,39,4,2,241,42,9,253,37,244,38,7,242,40,6,246,43,246,41,246,42,249,38,273,272,276,274,274,272,0,0,0,0,0,0,0,0,0,114,81,31,179,48,234,0,0,0,0,0,0,0,0,0,0,
MIDLA,0010,Precinct 109,845,434,0,263,158,7,2,256,151,16,3,267,149,14,254,159,13,4,260,155,15,270,158,254,158,17,260,156,14,262,165,265,163,271,155,261,166,371,372,374,374,377,368,0,0,0,0,0,0,0,0,0,249,70,46,236,107,337,0,0,0,0,0,219,48,113,0,0,
MIDLA,0011,Precinct 110,3086,2444,0,2085,327,23,3,2124,276,33,3,2116,278,36,2097,280,38,5,2095,283,44,2133,289,2089,282,49,2101,265,54,2128,293,2128,292,2138,278,2133,281,2313,2316,2309,2313,2313,2294,0,0,0,0,0,0,0,0,0,981,460,549,1509,384,2000,0,0,0,0,0,0,0,0,0,0,
MIDLA,0012,Precinct 201,2830,1714,0,1451,244,14,1,1426,230,31,4,1429,225,26,1404,239,23,9,1403,243,26,1434,229,1404,233,27,1400,231,26,1423,239,1415,242,1421,235,1420,242,1575,1570,1568,1573,1569,1557,0,0,0,0,0,0,0,0,0,676,385,275,1066,248,1345,568,530,325,0,0,0,0,0,0,0,
MIDLA,0013,Precinct 202,6013,4208,0,3798,360,38,6,3757,349,57,13,3752,342,68,3732,351,71,17,3716,370,83,3778,361,3711,356,77,3705,358,71,3760,376,3784,351,3777,356,3776,368,4006,3995,4002,4000,4000,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MIDLA,0014,Precinct 203,768,525,0,436,79,5,2,431,77,12,0,435,72,10,421,81,11,1,423,82,13,436,81,427,76,15,421,82,15,433,81,434,80,432,81,439,76,476,478,478,475,476,468,0,0,0,0,0,0,0,0,0,194,131,80,316,86,392,158,167,100,0,0,0,0,0,0,0,
MIDLA,0015,Precinct 204,2777,2112,0,1722,335,35,4,1764,297,41,3,1757,281,45,1732,299,47,5,1727,303,53,1780,283,1726,297,40,1726,293,48,1758,305,1764,299,1773,285,1749,312,1942,1945,1939,1953,1944,1914,0,0,0,0,0,0,0,0,0,650,458,529,1129,480,1665,0,0,0,0,0,0,0,0,0,0,
MIDLA,0016,Precinct 205,985,814,1,646,149,9,0,671,118,16,2,678,118,14,657,119,26,2,671,109,23,685,114,665,111,23,666,105,27,678,119,679,119,676,121,670,125,728,743,739,743,743,735,0,0,0,0,0,0,0,0,0,240,186,226,419,217,676,0,0,0,0,0,0,0,0,0,0,
MIDLA,0017,Precinct 206,1800,1377,0,1093,238,40,0,1137,198,34,1,1127,196,41,1131,183,46,1,1107,213,40,1140,216,1107,209,37,1110,195,51,1127,225,1136,217,1138,214,1137,217,1265,1272,1274,1280,1275,1264,0,0,0,0,0,0,0,0,0,434,344,324,801,289,1124,0,0,0,0,0,0,0,0,0,0,
MIDLA,0018,Precinct 207,2755,2017,0,1519,459,28,3,1543,400,48,8,1568,363,44,1557,369,44,8,1539,385,45,1564,384,1523,373,53,1525,369,50,1551,391,1553,384,1549,391,1556,392,1796,1791,1789,1812,1791,1771,0,0,0,0,0,0,0,0,0,602,475,523,994,550,1615,0,0,0,0,0,0,0,0,0,0,
MIDLA,0019,Precinct 208,927,561,0,386,155,16,1,376,138,22,7,388,134,21,376,136,19,10,369,144,25,390,144,376,136,23,373,139,23,383,150,388,144,387,145,390,142,483,481,479,483,483,482,0,0,0,0,0,0,0,0,0,241,101,90,315,112,426,0,0,0,0,0,189,48,235,0,0,
MIDLA,0020,Precinct 210,1622,1058,0,792,241,18,4,805,216,27,2,810,206,29,808,194,34,8,785,226,34,818,215,790,211,33,786,207,40,811,219,811,222,815,217,814,219,952,950,955,956,954,946,0,0,0,0,0,0,0,0,0,394,235,214,620,197,854,0,0,0,0,0,0,0,0,0,0,
MIDLA,0021,Precinct 211,3948,2953,0,2342,553,47,3,2337,518,61,5,2333,501,56,2336,507,56,11,2280,548,78,2335,529,2285,506,70,2262,516,81,2329,533,2334,519,2341,510,2344,514,2729,2731,2734,2731,2728,2719,0,0,0,0,0,0,0,0,0,1244,634,471,1829,489,2408,0,0,0,0,0,0,0,0,0,0,
MIDLA,0022,Precinct 212,1706,1119,0,782,309,18,3,813,274,19,3,805,273,25,803,263,22,8,794,279,24,803,282,786,275,26,792,272,28,799,284,806,278,814,270,807,279,981,983,975,988,982,984,0,0,0,0,0,0,0,0,0,411,224,250,639,230,888,0,0,0,0,0,343,72,537,0,0,
MIDLA,0023,Precinct 302,3650,1894,0,1488,370,25,5,1452,375,36,12,1468,358,38,1431,387,42,10,1436,394,38,1486,375,1432,382,41,1428,391,37,1458,404,1462,389,1479,377,1470,385,1725,1719,1723,1720,1721,1711,0,0,0,0,0,0,0,0,0,922,374,237,1187,306,1505,0,0,0,842,788,0,0,0,0,0,
MIDLA,0024,Precinct 303,421,169,0,117,49,1,1,108,48,3,4,113,43,6,106,46,8,1,102,47,10,113,46,105,49,6,106,46,7,106,55,107,52,113,46,108,50,144,144,140,140,140,137,0,0,0,0,0,0,0,0,0,92,25,24,109,28,131,0,0,0,0,0,70,12,55,0,0,
MIDLA,0025,Precinct 304,1767,662,0,367,283,6,1,368,267,9,4,357,268,13,342,291,5,3,347,283,12,368,269,348,278,13,352,278,11,353,282,365,271,372,261,357,279,550,541,541,539,536,541,0,0,0,0,0,0,0,0,0,449,60,43,362,149,488,0,0,0,407,153,0,0,0,0,0,
MIDLA,0026,Precinct 305,1553,664,0,231,416,4,5,225,395,17,11,224,405,19,215,414,14,4,211,421,17,227,415,222,409,12,213,417,17,225,418,217,423,228,414,228,411,475,466,469,469,469,462,0,0,0,0,0,0,0,0,0,308,143,43,288,176,427,215,167,179,0,0,0,0,0,0,0,
MIDLA,0027,Precinct 306,2445,1064,0,430,602,13,6,416,574,29,8,427,572,24,401,591,23,8,399,595,33,435,584,402,594,26,400,593,31,415,602,433,588,437,582,425,597,774,761,759,761,755,755,0,0,0,0,0,0,0,0,0,648,121,90,535,231,721,0,0,0,599,256,0,0,0,0,0,
MIDLA,0028,Precinct 307,1200,761,0,547,205,5,0,551,187,14,4,546,183,25,546,173,22,10,536,190,25,558,189,531,192,25,537,193,20,548,201,547,198,554,193,550,198,654,657,663,670,659,663,0,0,0,0,0,0,0,0,0,302,161,141,436,148,573,0,0,0,0,0,260,56,319,0,0,
MIDLA,0029,Precinct 307A,225,136,0,101,34,1,0,101,31,2,1,103,31,0,102,28,4,1,105,27,1,103,30,103,30,0,102,29,2,101,32,103,30,101,32,101,33,121,121,121,122,121,118,0,0,0,0,0,0,0,0,0,60,28,25,71,33,107,0,0,0,45,67,0,0,0,0,0,
MIDLA,0030,Precinct 308,4275,2297,1,1028,1220,14,13,1001,1177,40,18,1017,1177,50,970,1207,43,18,973,1212,50,1026,1189,984,1191,51,974,1198,50,1005,1219,1009,1208,1018,1188,1003,1219,1731,1719,1708,1703,1697,1703,0,0,0,0,0,0,0,0,0,1285,330,230,1188,485,1612,661,559,806,0,0,0,0,0,0,0,
MIDLA,0031,Precinct 309,410,166,0,119,43,4,0,111,46,6,1,116,39,9,111,45,6,3,112,42,10,116,46,112,43,8,114,41,7,117,46,114,49,116,47,114,47,147,147,144,146,144,144,0,0,0,0,0,0,0,0,0,78,30,25,99,35,129,0,0,0,81,59,0,0,0,0,0,
MIDLA,0032,Precinct 309A,31,17,0,16,1,0,0,14,2,1,0,14,2,1,14,2,1,0,14,2,1,15,2,14,2,1,14,2,1,15,2,14,2,15,2,15,2,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,3,4,5,8,2,11,0,0,0,3,8,0,0,0,0,0,
MIDLA,0033,Precinct 310,618,331,0,230,96,3,2,224,89,12,2,231,82,13,226,87,7,5,221,92,10,238,85,221,91,9,218,96,8,229,93,227,95,232,87,228,95,290,288,282,284,284,281,0,0,0,0,0,0,0,0,0,172,43,55,190,67,260,102,83,93,0,0,0,0,0,0,0,
MIDLA,0034,Precinct 401,1163,804,0,722,74,6,1,713,74,10,1,718,67,9,714,69,11,2,710,78,7,714,73,704,75,6,709,72,6,710,76,709,73,710,73,702,80,758,762,757,756,755,753,0,0,0,0,0,0,0,0,0,289,202,121,510,105,640,0,0,0,0,0,0,0,0,281,344,
MIDLA,0035,Precinct 402,312,223,0,191,29,3,0,188,26,7,0,188,24,5,185,21,13,0,185,27,6,193,26,187,24,7,189,24,6,194,25,194,24,193,25,194,24,212,210,211,211,211,210,0,0,0,0,0,0,0,0,0,70,60,49,138,40,187,0,0,0,0,0,0,0,0,0,0,
MIDLA,0036,Precinct 402A,807,614,0,506,98,7,1,503,87,15,2,500,91,10,497,84,18,1,490,92,21,513,85,491,87,19,485,90,17,506,89,511,83,514,79,505,87,561,555,554,561,550,549,0,0,0,0,0,0,0,0,0,229,126,132,366,121,494,0,0,0,0,0,0,0,0,0,0,
MIDLA,0037,Precinct 403,3295,2472,1,2010,391,45,6,2046,338,64,6,2056,331,63,2023,331,72,18,2013,349,80,2070,363,2019,340,74,2021,332,80,2064,366,2071,356,2065,359,2064,363,2286,2301,2299,2310,2300,2283,0,0,0,0,0,0,0,0,0,812,564,586,1438,468,1994,0,0,0,0,0,0,0,0,0,0,
MIDLA,0038,Precinct 404,2516,1854,0,1491,330,21,1,1517,303,23,1,1524,286,27,1506,276,39,8,1485,309,37,1527,301,1474,307,45,1488,286,43,1509,313,1515,304,1527,292,1521,304,1680,1678,1686,1687,1669,1674,0,0,0,0,0,0,0,0,0,596,445,420,1076,366,1476,0,0,0,0,0,0,0,0,603,894,
MIDLA,0039,Precinct 405,2727,1870,0,1463,373,17,10,1466,345,38,10,1473,336,48,1466,330,40,13,1435,350,62,1490,345,1444,341,54,1442,340,58,1472,364,1480,356,1478,350,1479,348,1712,1716,1714,1717,1715,1708,0,0,0,0,0,0,0,0,0,666,437,382,1118,357,1497,0,0,0,0,0,0,0,0,0,0,
MIDLA,0040,Precinct 406,2019,1431,1,1167,233,18,2,1177,219,20,6,1179,210,24,1173,211,26,4,1157,231,26,1187,222,1165,223,19,1164,218,24,1173,228,1175,220,1184,217,1174,228,1331,1335,1337,1336,1328,1331,868,306,136,656,92,85,447,800,439,506,384,208,910,192,1142,0,0,0,0,0,0,0,0,0,0,
MIDLA,0041,Precinct 407,3170,1938,0,1480,413,35,4,1491,381,47,8,1484,388,38,1485,376,41,12,1455,412,55,1502,401,1460,397,51,1476,380,49,1492,406,1506,395,1504,398,1508,396,1785,1791,1786,1790,1785,1773,0,0,0,0,0,0,0,0,0,757,398,384,1208,307,1573,0,0,0,0,0,0,0,0,793,792,
MIDLA,0042,Precinct 408,1991,1540,0,1348,171,12,0,1367,144,18,1,1363,140,21,1362,133,25,2,1353,141,25,1374,139,1341,142,28,1345,140,27,1360,150,1357,151,1358,146,1360,148,1447,1458,1459,1458,1457,1434,0,0,0,0,0,0,0,0,0,459,355,396,895,299,1274,0,0,0,0,0,0,0,0,0,0,
MIDLA,0043,Precinct 409,1991,1311,0,1022,255,28,4,1036,228,30,7,1053,225,24,1038,224,26,10,1019,248,32,1055,235,1025,234,33,1021,239,34,1039,248,1051,237,1049,239,1034,254,1214,1213,1214,1218,1216,1205,0,0,0,0,0,0,0,0,0,473,293,273,776,217,1049,0,0,0,0,0,0,0,0,466,585,
MIDLA,0044,Precinct 410,1455,1170,0,1009,133,21,2,1024,116,25,0,1014,115,26,1010,112,32,4,994,128,36,1030,120,991,124,36,1000,118,33,1028,123,1025,122,1026,122,1030,123,1113,1113,1115,1116,1109,1104,0,0,0,0,0,0,0,0,0,377,239,274,706,163,931,0,0,0,0,0,0,0,0,0,0,
MIDLA,0045,Precinct 411,3807,3095,0,2704,345,27,1,2746,290,33,6,2733,289,37,2717,283,52,10,2704,305,54,2748,298,2703,293,51,2706,281,57,2746,298,2744,297,2753,285,2742,302,2914,2939,2929,2931,2939,2917,0,0,0,0,0,0,0,0,0,983,701,738,1893,481,2526,0,0,0,0,0,0,0,0,753,1804,
MIDLA,ZZZ,COUNTY TOTALS,90596,59137,6,45624,12329,777,126,45733,11417,1162,216,45847,11141,1250,45293,11341,1281,309,44914,11884,1427,46185,11651,44936,11548,1375,44928,11465,1434,45755,12031,45916,11773,46081,11581,45947,11817,53490,53510,53449,53578,53429,53125,868,306,136,656,92,85,447,800,439,21938,11471,10146,32225,10143,43413,1704,1506,1503,1977,1331,2089,445,1869,2896,4419,
