"November 3, 2020 General Election",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 34","US Representative, Dist 34","US Representative, Dist 34","US Representative, Dist 34",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","State Senator, Dist 18","State Senator, Dist 18","State Representative, Dist 17","State Representative, Dist 17","Justice, 13 Ct of App Dist, Pl 4","Justice, 13 Ct of App Dist, Pl 4","Justice, 13 Ct of App Dist, Pl 6","Justice, 13 Ct of App Dist, Pl 6","Dist Judge, 25 Judicial Dist","Dist Judge, 2nd 25 Judicial Dist",County Attorney,Sheriff,Sheriff,County Tax Assessor-Collector,County Commissioner,County Commissioner,Constable,Constable,Constable,"Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 6","Board of Trustee, Place 4","Board of Trustee, Place 4","Board of Trustee, Place 5","Board of Trustee, Place 5","Trustee, Place 2","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4","Trustee, Place 4",Proposition A,Proposition A,Mayor,Mayor,Council Members,Council Members,"Council Member, District 3","Council Member, District 3","Council Member, District 4","Council Member, District 4"
,3,Precinct 3 By Mail,1718,98,0,67,30,1,0,71,25,1,0,66,24,3,0,0,0,0,68,25,2,0,68,24,2,68,27,68,25,1,69,25,2,70,25,70,24,66,28,66,26,71,22,65,27,69,25,71,72,78,80,14,79,0,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,2
,4,Precinct 4 Election Day,1098,114,0,76,35,2,0,68,30,5,1,0,0,0,70,28,2,4,73,31,1,0,69,32,3,74,30,70,33,1,69,33,2,70,34,70,33,71,32,67,36,70,33,69,34,70,33,96,98,99,68,37,98,0,0,0,0,102,49,35,16,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,Precinct 4 Early Voting,1098,305,0,190,109,1,2,185,104,2,0,0,0,0,179,103,5,3,177,108,3,2,179,106,3,180,107,177,107,2,175,101,5,179,107,182,102,185,102,182,103,184,105,182,102,184,98,241,242,246,213,82,256,0,0,0,0,264,141,96,36,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,Precinct 4 By Mail,1098,28,0,16,12,0,0,14,10,0,0,0,0,0,15,10,0,1,15,8,1,0,15,8,1,15,8,15,8,1,15,8,1,15,9,15,9,15,9,15,9,16,8,15,8,15,8,19,18,20,15,12,22,0,0,0,0,23,15,3,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,Precinct 5 Election Day,693,122,0,104,18,0,0,104,18,0,0,0,0,0,104,16,2,0,100,21,1,0,104,16,2,107,15,106,15,1,106,15,1,103,19,109,12,107,15,110,12,110,12,107,13,107,15,120,120,120,105,17,120,0,121,121,0,0,12,7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,Precinct 5 Early Voting,693,295,0,239,53,2,1,240,47,6,2,0,0,0,233,46,4,7,238,48,4,2,235,52,6,239,52,235,51,6,236,48,7,238,54,236,55,232,56,245,48,241,51,237,53,240,50,278,278,279,243,52,283,0,280,281,0,0,22,17,22,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,Precinct 5 By Mail,693,39,0,23,15,0,0,24,14,0,0,0,0,0,23,15,0,0,24,13,0,2,23,16,0,23,15,23,16,0,24,15,0,24,15,24,15,24,15,25,13,25,13,24,14,24,14,28,29,29,23,13,31,0,31,30,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Precinct 6 Election Day,484,63,0,55,6,2,0,52,6,1,1,0,0,0,52,6,1,0,54,5,1,0,54,5,0,55,5,52,7,1,53,5,1,51,8,55,5,55,5,56,4,52,5,53,5,52,5,58,57,57,54,6,58,0,0,0,0,60,18,27,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Precinct 6 Early Voting,484,225,0,197,26,0,0,195,26,2,0,0,0,0,189,25,1,2,191,28,2,0,190,25,3,195,23,191,24,3,192,23,4,193,25,194,23,193,24,193,24,194,23,190,23,189,24,210,207,211,190,33,214,0,0,0,0,211,71,70,50,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Precinct 6 By Mail,484,37,0,22,15,0,0,26,11,0,0,0,0,0,23,11,0,0,23,12,0,0,25,10,0,25,10,25,10,0,26,9,0,25,10,25,10,25,10,24,10,24,10,24,10,22,12,25,23,25,23,12,29,0,0,0,0,24,9,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,Precinct 7 Election Day,465,75,0,61,14,0,0,61,14,0,0,60,15,0,0,0,0,0,59,16,0,0,58,15,0,60,14,60,13,1,60,14,0,61,13,61,13,61,12,62,12,60,14,58,15,62,12,68,68,70,61,11,69,0,67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,Precinct 7 Early Voting,465,239,0,198,34,5,0,205,31,3,0,205,31,3,0,0,0,0,197,32,8,1,198,33,6,204,32,200,32,5,200,33,4,201,35,198,36,205,32,207,31,205,33,206,32,206,32,224,225,223,206,33,226,0,225,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,Precinct 7 By Mail,465,20,0,7,13,0,0,8,10,2,0,8,11,0,0,0,0,0,8,12,0,0,8,12,0,8,12,7,13,0,7,13,0,7,13,8,12,8,12,8,11,8,12,8,11,8,11,14,14,14,13,6,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Precinct 8 Election Day,391,72,0,60,11,1,0,55,10,3,0,60,9,0,0,0,0,0,58,10,0,1,57,10,2,57,11,57,10,2,59,9,1,59,10,59,10,57,11,59,10,59,10,55,12,57,11,66,68,67,59,13,68,0,67,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Precinct 8 Early Voting,391,175,0,139,32,1,1,141,32,1,0,145,28,2,0,0,0,0,143,26,3,2,141,31,2,144,29,145,28,1,144,27,1,141,33,143,31,143,30,145,28,141,32,145,26,142,28,159,158,157,147,25,162,0,163,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Precinct 8 By Mail,391,19,0,10,9,0,0,9,8,0,1,10,8,0,0,0,0,0,8,7,0,0,9,6,0,10,5,10,5,0,10,5,0,9,6,10,5,10,5,9,6,10,5,11,4,10,5,14,14,14,9,6,14,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,Precinct 9 Election Day,1224,160,0,102,54,1,0,101,46,4,1,93,55,4,0,0,0,0,95,55,2,0,91,57,3,96,54,95,53,2,93,50,3,94,55,95,55,97,53,98,46,98,49,96,50,97,49,123,124,128,120,30,136,0,0,0,134,0,0,0,0,0,3,14,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,Precinct 9 Early Voting,1224,467,0,258,202,3,0,270,171,4,1,269,174,5,0,0,0,0,263,172,4,1,252,179,7,264,173,256,179,4,263,171,3,261,178,262,173,268,166,268,170,265,174,265,171,265,167,370,364,377,328,122,398,0,0,0,384,0,0,0,0,0,16,19,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,Precinct 9 By Mail,1224,70,0,28,42,0,0,29,41,0,0,33,34,0,0,0,0,0,25,42,0,0,28,38,1,30,37,31,36,0,29,39,0,29,38,31,36,30,38,31,35,29,38,33,32,31,34,49,50,50,32,35,59,0,0,0,47,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,Precinct 10 Election Day,662,138,0,105,32,1,0,98,32,4,3,0,0,0,100,30,5,2,96,35,5,1,94,37,5,102,35,100,32,6,91,39,7,102,34,102,35,98,38,105,31,98,38,99,36,105,31,129,130,129,100,36,133,0,0,0,0,131,75,40,18,125,0,0,0,0,0,0,0,0,0,0,0,0,30,57,54,69,0,0,0,0
,10,Precinct 10 Early Voting,662,226,0,191,33,1,0,182,29,3,0,0,0,0,180,26,2,4,179,28,3,3,178,30,6,188,26,180,26,8,179,28,6,185,28,182,31,185,28,188,27,184,30,182,29,185,26,203,201,203,179,39,203,0,0,0,0,215,93,58,44,183,0,0,0,0,0,0,0,0,0,0,0,0,45,34,49,59,0,0,0,0
,10,Precinct 10 By Mail,662,27,0,17,9,0,0,19,8,0,0,0,0,0,14,7,0,0,18,9,0,0,19,6,0,18,6,18,6,0,16,9,0,17,8,17,8,18,7,15,6,16,6,15,6,13,8,14,13,13,11,9,19,0,0,0,0,15,7,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,8,0,0,0,0
,11,Precinct 11 Election Day,223,54,0,51,3,0,0,50,3,0,0,52,2,0,0,0,0,0,50,3,1,0,51,2,0,51,2,51,2,0,51,2,0,50,3,51,2,49,3,51,2,50,3,50,2,50,2,53,52,53,53,1,53,0,0,0,53,0,0,0,0,0,10,6,8,8,22,5,9,2,4,2,8,13,0,0,0,0,0,0,0,0
,11,Precinct 11 Early Voting,223,109,0,99,9,0,0,97,8,1,1,101,6,0,0,0,0,0,98,7,1,1,101,5,1,99,7,99,6,0,97,6,1,100,6,99,7,100,6,101,6,101,6,99,7,99,7,101,102,101,95,11,101,0,0,0,104,0,0,0,0,0,41,24,42,23,19,8,5,3,2,1,8,11,0,0,0,0,0,0,0,0
,11,Precinct 11 By Mail,223,19,0,15,3,0,1,12,4,2,1,16,3,0,0,0,0,0,14,3,0,1,14,4,0,16,3,14,3,1,15,3,1,14,4,14,3,14,4,15,4,15,3,16,3,15,4,16,16,16,17,2,14,0,0,0,16,0,0,0,0,0,2,3,4,1,4,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0
,12,Precinct 12 Election Day,188,22,0,20,1,1,0,19,0,1,0,19,0,1,0,0,0,0,18,1,1,0,17,2,1,20,0,18,1,1,18,1,1,18,2,19,1,19,1,19,1,19,1,20,0,19,1,20,20,19,22,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
,12,Precinct 12 Early Voting,188,107,0,82,25,0,0,79,25,0,0,81,23,0,0,0,0,0,76,26,0,0,76,26,0,78,25,77,24,1,77,24,0,76,26,76,26,79,23,81,21,79,23,78,24,80,22,96,95,97,85,20,98,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
,12,Precinct 12 By Mail,188,9,0,3,6,0,0,3,6,0,0,3,6,0,0,0,0,0,3,6,0,0,3,6,0,3,6,3,6,0,3,6,0,3,6,3,6,3,6,3,6,3,6,3,6,3,6,9,9,9,5,4,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,Precinct 13 Election Day ,365,72,0,59,12,1,0,60,10,1,0,0,0,0,58,10,1,0,56,15,0,0,56,14,0,59,9,60,11,0,59,11,0,59,12,58,13,60,10,59,11,58,12,58,11,61,9,67,67,68,56,16,69,0,0,0,0,68,20,19,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,Precinct 13 Early Voting,365,175,0,154,20,1,0,151,20,1,0,0,0,0,154,17,1,0,151,19,2,2,150,18,3,157,16,153,15,2,154,16,3,155,17,156,16,154,17,156,17,157,17,154,17,157,16,164,165,162,151,24,164,0,0,0,0,167,30,53,21,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,Precinct 13 By Mail,365,27,0,16,11,0,0,16,9,0,0,0,0,0,14,11,0,0,15,11,0,0,16,10,0,17,9,16,9,0,17,9,0,17,9,17,9,16,10,16,9,16,9,16,8,15,8,18,15,18,16,10,20,0,0,0,0,19,2,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,Precinct 14 Election Day,81,17,0,15,1,1,0,15,1,1,0,0,0,0,15,1,1,0,14,2,1,0,14,2,1,16,1,14,2,1,15,1,1,15,2,16,1,15,2,16,1,16,1,16,1,16,1,16,16,16,16,1,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,Precinct 14 Early Voting,81,46,0,41,5,0,0,42,4,0,0,0,0,0,42,4,0,0,43,3,0,0,42,4,0,43,3,42,4,0,44,2,0,42,4,43,3,44,2,42,4,44,2,43,3,42,4,46,46,46,42,4,46,44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,Precinct 14 By Mail,81,5,0,3,2,0,0,3,2,0,0,0,0,0,1,3,0,0,3,2,0,0,3,2,0,3,2,3,2,0,3,2,0,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,Precinct 15 Election Day,364,39,0,35,4,0,0,34,5,0,0,0,0,0,33,5,0,0,33,5,0,0,32,6,0,33,5,32,6,0,33,5,0,32,6,33,5,33,5,33,6,33,6,31,7,32,6,39,37,39,35,4,38,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,Precinct 15 Early Voting,364,215,0,190,21,1,0,190,24,0,1,0,0,0,189,24,2,0,189,23,2,1,192,21,1,194,20,189,22,3,191,21,2,191,22,191,23,193,21,193,21,192,21,191,20,191,21,205,204,207,195,19,207,209,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,Precinct 15 By Mail,364,23,0,16,7,0,0,17,6,0,0,0,0,0,16,6,0,0,17,6,0,0,14,9,0,17,6,17,6,0,17,6,0,16,6,16,6,17,6,16,6,16,6,16,6,16,6,17,17,16,16,6,18,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ZZZ,COUNTY TOTALS,12615,7697,0,5627,1948,57,15,5617,1782,89,42,3906,1343,68,1704,404,27,23,5499,1845,95,50,5482,1847,128,5676,1764,5548,1782,124,5521,1786,112,5571,1869,5603,1810,5628,1779,5688,1743,5666,1773,5594,1780,5644,1734,6808,6781,6830,6109,1415,6983,1953,1892,4644,982,1299,565,448,261,1174,72,68,95,44,153,46,39,24,30,15,72,91,82,93,105,136,263,156,337,441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Provisional Ballots Received,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Provisional Ballots Counted,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
