"Box 101" ,20 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Election Day" ,0 ,
"Box 101" ,20 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Early Voting" ,9 ,
"Box 101" ,20 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"EV Mail" ,0 ,
"Box 101" ,20 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Provisional" ,0 ,
"Box 101" ,20 ,"US Senator" ,40 ,"David B. Collins" ,"GRN" ,"Total" ,9 ,
"Box 101" ,20 ,"US Senator" ,50 ,"Write-in 50" ,"NP" ,"Election Day" ,0 ,
"Box 101" ,20 ,"US Senator" ,50 ,"Write-in 50" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,20 ,"US Senator" ,50 ,"Write-in 50" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,20 ,"US Senator" ,50 ,"Write-in 50" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,20 ,"US Senator" ,50 ,"Write-in 50" ,"NP" ,"Total" ,0 ,
"Box 101" ,40 ,"US Representative D28" ,10 ,"Sandra Whitten" ,"REP" ,"Election Day" ,153 ,
"Box 101" ,40 ,"US Representative D28" ,10 ,"Sandra Whitten" ,"REP" ,"Early Voting" ,807 ,
"Box 101" ,40 ,"US Representative D28" ,10 ,"Sandra Whitten" ,"REP" ,"EV Mail" ,55 ,
"Box 101" ,40 ,"US Representative D28" ,10 ,"Sandra Whitten" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,40 ,"US Representative D28" ,10 ,"Sandra Whitten" ,"REP" ,"Total" ,1015 ,
"Box 101" ,40 ,"US Representative D28" ,20 ,"Henry Cuellar" ,"DEM" ,"Election Day" ,73 ,
"Box 101" ,40 ,"US Representative D28" ,20 ,"Henry Cuellar" ,"DEM" ,"Early Voting" ,476 ,
"Box 101" ,40 ,"US Representative D28" ,20 ,"Henry Cuellar" ,"DEM" ,"EV Mail" ,117 ,
"Box 101" ,40 ,"US Representative D28" ,20 ,"Henry Cuellar" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,40 ,"US Representative D28" ,20 ,"Henry Cuellar" ,"DEM" ,"Total" ,666 ,
"Box 101" ,40 ,"US Representative D28" ,30 ,"Bekah Congdon" ,"LIB" ,"Election Day" ,4 ,
"Box 101" ,40 ,"US Representative D28" ,30 ,"Bekah Congdon" ,"LIB" ,"Early Voting" ,25 ,
"Box 101" ,40 ,"US Representative D28" ,30 ,"Bekah Congdon" ,"LIB" ,"EV Mail" ,3 ,
"Box 101" ,40 ,"US Representative D28" ,30 ,"Bekah Congdon" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,40 ,"US Representative D28" ,30 ,"Bekah Congdon" ,"LIB" ,"Total" ,32 ,
"Box 101" ,50 ,"Railroad Commissioner" ,10 ,"James \"Jim\" Wright" ,"REP" ,"Election Day" ,155 ,
"Box 101" ,50 ,"Railroad Commissioner" ,10 ,"James \"Jim\" Wright" ,"REP" ,"Early Voting" ,813 ,
"Box 101" ,50 ,"Railroad Commissioner" ,10 ,"James \"Jim\" Wright" ,"REP" ,"EV Mail" ,59 ,
"Box 101" ,50 ,"Railroad Commissioner" ,10 ,"James \"Jim\" Wright" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,50 ,"Railroad Commissioner" ,10 ,"James \"Jim\" Wright" ,"REP" ,"Total" ,1027 ,
"Box 101" ,50 ,"Railroad Commissioner" ,20 ,"Chrysta Castañeda" ,"DEM" ,"Election Day" ,60 ,
"Box 101" ,50 ,"Railroad Commissioner" ,20 ,"Chrysta Castañeda" ,"DEM" ,"Early Voting" ,446 ,
"Box 101" ,50 ,"Railroad Commissioner" ,20 ,"Chrysta Castañeda" ,"DEM" ,"EV Mail" ,114 ,
"Box 101" ,50 ,"Railroad Commissioner" ,20 ,"Chrysta Castañeda" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,50 ,"Railroad Commissioner" ,20 ,"Chrysta Castañeda" ,"DEM" ,"Total" ,620 ,
"Box 101" ,50 ,"Railroad Commissioner" ,30 ,"Matt Sterett" ,"LIB" ,"Election Day" ,5 ,
"Box 101" ,50 ,"Railroad Commissioner" ,30 ,"Matt Sterett" ,"LIB" ,"Early Voting" ,22 ,
"Box 101" ,50 ,"Railroad Commissioner" ,30 ,"Matt Sterett" ,"LIB" ,"EV Mail" ,1 ,
"Box 101" ,50 ,"Railroad Commissioner" ,30 ,"Matt Sterett" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,50 ,"Railroad Commissioner" ,30 ,"Matt Sterett" ,"LIB" ,"Total" ,28 ,
"Box 101" ,50 ,"Railroad Commissioner" ,40 ,"Katija Gruene" ,"GRN" ,"Election Day" ,5 ,
"Box 101" ,50 ,"Railroad Commissioner" ,40 ,"Katija Gruene" ,"GRN" ,"Early Voting" ,20 ,
