COUNTY NUMBER,ELECTION DATE,ELECTION NAME,TOTAL PROVISIONAL BALLOTS ,TOTAL PROVISIONAL BALLOTS COUNTED,ELECTION DAY VOTES AND EARLY VOTES ,PRECINCT NAME,REGISTERED VOTERS TOTAL,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13","REP US Representative, Dist 13",REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 15","REP State Representative, Dist 68","REP Justice, 2nd Ct of App Dist, Pl 2","REP Justice, 2nd Ct of App Dist, Pl 6","REP Justice, 2nd Ct of App Dist, Pl 7","REP Justice, 2nd Ct of App Dist, Pl 7","REP Justice, 2nd Ct of App Dist, Pl 7","REP Dist Judge, 235th Judicial Dist","REP Dist Judge, 235th Judicial Dist","REP Dist Attorney, 235th Judicial Dist",REP County Attorney,REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 5,1367,0,0,1,0,1,101,1,2,9,12,2,14,60,27,3,4,3,0,1,5,2,13,4,13,1,8,6,2,24,70,91,92,91,91,57,34,90,90,90,92,88,89,28,12,47,57,41,92,92,46,55,92,0,0,0,61,35,0,0,90,90,91,12,90,13,97,6,100,5,92,12,96,8,103,2,102,2,101,2,90,11
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 5,1367,1,2,0,1,4,187,1,14,18,14,1,21,145,58,2,10,6,6,5,8,2,11,8,47,6,4,20,7,70,118,191,190,188,191,115,72,186,185,187,197,191,191,62,35,85,113,102,197,196,90,123,202,0,0,0,114,98,0,0,192,193,168,161,161,43,191,17,192,14,188,21,195,13,202,5,202,5,194,13,194,14
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 6,548,0,0,0,0,0,122,0,6,5,7,1,13,91,34,2,9,2,2,0,3,0,16,3,19,8,0,18,1,43,63,107,109,108,108,63,40,108,108,108,113,103,103,32,8,62,61,68,106,109,69,58,113,57,19,53,0,0,66,57,0,107,109,19,98,27,118,8,120,5,121,5,113,10,127,0,126,1,120,7,118,7
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 6,548,1,0,0,1,0,74,0,3,4,4,0,20,46,10,0,3,2,3,0,4,0,3,3,24,4,1,8,0,26,43,69,66,65,65,39,24,65,63,63,71,62,63,13,1,44,47,36,70,68,49,35,74,32,11,40,0,0,47,35,0,68,65,16,71,7,72,5,76,2,71,7,74,5,77,2,77,1,71,8,67,8
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 7,1604,2,3,0,2,3,288,0,13,13,22,4,55,199,57,6,14,9,8,3,4,2,51,15,72,10,3,24,8,116,154,246,246,247,250,154,112,247,251,249,272,248,243,71,41,140,170,136,265,265,137,168,260,163,61,79,0,0,191,97,0,243,273,38,258,44,292,11,288,21,267,35,289,14,307,2,304,4,294,16,285,20
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 7,1604,0,0,0,2,0,251,0,5,9,20,2,41,170,39,4,13,3,6,2,7,0,29,11,68,15,7,25,11,99,143,229,231,229,233,150,82,226,232,234,241,233,233,77,35,115,142,114,237,239,116,138,241,140,43,69,0,0,166,80,0,237,211,44,214,43,231,25,246,5,242,16,243,10,254,2,255,0,251,4,236,16
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 8,980,0,0,0,0,1,161,0,4,10,9,1,31,107,45,5,9,3,8,1,6,0,23,5,30,1,1,9,5,60,81,136,136,134,136,93,49,135,134,134,145,134,133,37,25,75,81,83,138,136,62,101,144,0,0,0,0,0,0,0,137,136,141,21,136,25,155,6,156,7,156,7,154,9,163,0,162,1,156,8,150,12
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 8,980,0,0,0,0,0,132,0,5,5,8,3,19,95,38,2,5,5,4,2,2,2,2,5,37,3,1,14,3,52,70,121,120,122,122,58,63,124,125,124,128,121,121,48,8,63,77,58,125,124,51,85,124,0,0,0,0,0,0,0,121,122,115,22,115,21,128,4,128,6,118,15,127,9,134,2,134,2,130,6,126,7
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 9,1501,0,0,0,0,0,312,0,18,18,26,4,59,198,67,6,21,6,3,2,8,0,55,12,59,13,6,25,10,116,161,266,263,264,266,158,106,264,261,266,281,259,262,72,39,150,152,162,277,278,156,162,282,154,64,96,0,0,192,122,0,266,279,42,282,41,303,17,304,17,294,28,309,13,322,2,318,5,305,18,306,13
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 9,1501,1,1,0,0,0,174,0,3,8,6,3,20,128,40,2,7,8,4,1,8,0,15,8,37,5,3,16,2,56,99,150,154,156,156,93,56,150,151,152,161,151,149,48,20,75,77,98,155,159,70,106,166,94,25,55,0,0,83,90,0,154,156,19,147,29,160,13,168,8,160,16,168,6,174,1,171,5,170,7,160,16
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 10,1905,0,2,0,0,2,364,3,12,13,18,3,75,254,80,6,11,13,5,3,6,0,50,9,82,17,6,44,11,156,175,325,321,324,319,171,141,318,318,317,337,316,318,100,41,157,215,155,323,327,201,166,337,0,0,0,0,0,0,0,327,323,342,35,327,51,367,14,353,25,342,37,363,16,371,9,376,5,364,17,354,21
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 10,1905,0,2,0,1,0,272,0,9,14,18,3,38,203,56,8,9,6,8,6,3,2,22,17,70,6,4,33,5,114,150,253,250,250,246,141,110,250,248,247,258,249,247,78,35,121,150,130,260,502,161,119,266,0,0,0,0,0,0,0,259,255,251,35,234,50,268,15,274,12,257,27,264,18,281,5,283,1,271,13,262,19
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 11,2524,0,4,0,2,1,432,0,24,30,35,7,87,278,93,7,18,10,5,1,12,4,65,15,119,10,8,33,13,194,200,381,383,381,384,204,188,381,381,384,414,384,374,121,64,189,258,199,402,404,313,146,422,0,0,0,0,0,0,0,395,391,388,68,374,78,411,33,418,31,413,35,416,34,444,7,438,9,435,18,408,33
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 11,2524,0,2,0,0,5,247,1,7,9,15,4,30,183,53,5,6,7,8,5,2,3,16,7,76,8,4,24,7,84,138,223,216,217,217,115,103,216,217,217,239,217,218,64,36,105,140,119,229,233,174,88,243,0,0,0,0,0,0,0,231,223,223,40,215,43,237,19,242,18,233,24,248,11,253,8,253,6,247,14,242,15
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 12,797,2,3,0,0,1,219,0,12,9,13,3,34,161,53,4,7,7,7,5,3,1,23,7,60,10,4,15,7,85,119,194,194,196,197,132,65,197,196,196,208,194,195,57,35,106,138,98,207,205,119,113,214,0,0,0,88,146,0,0,203,200,203,28,196,42,227,11,218,19,219,18,225,11,233,5,229,8,217,19,216,21
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 12,797,0,1,0,0,0,94,0,7,5,7,0,4,79,16,2,3,3,4,1,0,0,5,4,40,3,2,6,2,36,52,90,87,86,86,50,35,86,86,85,95,83,83,23,9,50,73,28,92,91,55,47,92,0,0,0,30,72,0,0,86,87,92,11,87,16,93,7,95,6,92,10,95,5,98,2,100,1,95,6,95,6
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 14,296,1,2,0,1,1,71,0,6,6,4,1,10,56,13,1,1,3,11,1,2,0,12,5,17,0,1,6,1,24,48,66,67,67,67,38,31,65,66,66,71,68,66,25,7,35,41,41,70,70,39,41,71,0,0,0,29,52,0,0,67,68,67,13,60,21,78,2,73,7,72,7,72,8,81,1,77,3,77,1,75,4
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 14,296,0,0,0,0,1,39,0,2,1,2,0,8,31,6,1,4,1,2,0,2,0,3,0,10,1,2,6,0,17,22,39,39,39,39,25,14,38,38,38,40,38,38,11,4,21,22,18,38,38,18,22,38,0,0,0,9,32,0,0,36,37,39,3,36,6,41,1,38,4,37,5,39,3,41,1,41,1,39,3,40,2
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 15,282,0,2,0,0,0,78,0,2,6,10,2,7,49,10,0,3,2,3,2,2,1,6,5,32,5,0,3,0,26,45,69,68,70,67,38,35,66,66,64,77,67,66,19,14,36,28,55,70,71,40,41,73,0,0,0,23,60,0,0,68,68,69,12,64,16,75,5,66,13,69,13,75,5,81,2,79,2,75,6,75,6
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 15,282,0,1,0,0,0,26,0,3,2,2,2,4,17,6,0,2,0,0,1,1,0,2,1,10,1,0,2,1,10,17,28,27,28,28,14,12,28,28,27,27,27,28,9,4,12,16,13,27,28,21,8,28,0,0,0,9,20,0,0,27,28,25,4,24,6,27,3,24,5,25,5,28,2,29,0,28,2,27,2,29,0
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 17,440,1,1,1,0,0,198,0,5,9,14,4,16,145,32,2,7,3,7,0,4,2,18,8,60,3,6,25,1,72,101,175,170,171,169,98,59,167,167,168,195,165,167,51,26,70,67,138,181,179,113,87,180,0,0,0,57,148,0,0,168,170,173,28,164,33,183,11,191,6,181,12,184,8,194,1,194,2,191,3,180,11
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 17,440,1,0,0,0,0,38,0,1,1,1,0,8,28,4,0,0,1,0,0,1,0,2,1,19,3,1,4,1,19,14,34,32,33,33,15,15,33,31,33,35,31,32,12,2,10,20,19,33,34,20,18,37,0,0,0,8,31,0,0,33,35,34,6,32,8,36,3,36,3,34,4,32,5,40,0,38,1,36,4,36,2
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 18,1795,0,7,0,1,2,596,0,24,31,28,14,41,454,153,5,15,6,12,0,13,1,35,12,209,11,5,77,4,225,260,459,457,461,457,288,181,454,455,460,554,451,453,131,100,213,176,451,479,479,314,303,472,0,0,0,0,0,213,344,0,451,548,66,495,112,571,35,560,45,532,52,575,25,594,12,583,14,570,31,550,46
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 18,1795,0,1,0,0,2,125,1,1,6,4,2,17,95,35,1,1,2,2,0,1,0,2,0,52,5,4,8,2,39,73,114,114,115,113,71,39,113,116,113,119,115,111,31,12,60,44,86,110,113,62,66,121,0,0,0,0,0,67,58,0,117,113,17,107,22,118,9,122,7,113,13,119,4,127,1,127,0,116,12,118,9
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 19,414,0,1,0,0,0,113,0,3,7,9,0,11,82,23,2,8,1,1,0,6,0,19,3,31,3,2,3,0,43,54,88,90,91,92,61,31,91,89,92,104,89,90,24,21,42,19,98,92,95,55,61,97,0,0,0,52,60,0,0,90,90,102,10,98,15,105,5,107,6,105,6,109,2,109,2,111,1,105,7,93,17
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 19,414,0,0,0,1,1,93,0,4,3,5,1,10,72,17,2,2,1,1,0,1,0,10,4,23,1,5,13,4,27,46,79,77,76,78,43,28,77,77,79,91,82,78,29,12,27,35,64,82,86,48,51,93,0,0,0,30,69,0,0,85,88,87,10,76,20,87,5,87,7,81,12,90,4,95,0,96,0,90,5,83,9
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 20,456,0,1,0,0,0,76,0,4,2,3,1,9,60,17,2,0,2,1,1,3,2,9,6,16,1,0,10,4,28,41,66,68,66,66,35,32,64,63,64,73,65,64,23,6,32,34,48,75,70,37,45,71,0,0,0,0,0,0,0,68,69,70,12,69,12,79,2,73,5,66,15,78,2,81,1,80,0,74,7,78,3
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 20,456,0,1,0,0,1,126,0,3,6,3,0,20,96,22,0,6,0,1,3,3,0,10,3,31,4,1,25,1,58,56,110,111,113,111,60,48,108,111,112,122,115,112,35,10,52,76,49,115,113,59,70,121,0,0,0,0,0,0,0,113,114,119,14,108,23,122,5,125,5,112,15,117,8,128,3,126,2,119,10,107,19
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 21,1205,0,3,1,1,6,440,1,12,22,36,4,26,331,81,8,14,5,9,5,8,2,52,24,119,13,7,46,5,141,202,345,351,356,356,205,119,354,355,355,410,351,351,96,41,181,75,391,383,384,219,242,386,0,0,0,0,0,248,164,0,370,399,46,372,77,419,23,421,28,393,53,432,15,445,6,444,5,422,23,408,25
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 21,1205,0,0,0,1,1,154,0,8,6,10,4,25,99,23,4,7,4,8,1,2,1,4,8,41,5,3,24,4,54,69,130,133,131,131,64,55,130,130,132,152,130,131,35,13,65,65,101,139,140,86,77,148,0,0,0,0,0,82,71,0,141,145,18,135,27,144,14,148,14,144,16,148,13,161,3,159,3,149,12,145,12
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 22,1958,1,4,0,5,4,506,0,18,28,23,5,37,415,104,8,11,15,2,5,8,2,86,14,94,17,7,78,20,194,271,458,456,456,459,241,207,453,454,458,480,453,451,181,62,202,291,242,453,460,262,259,468,0,0,0,0,0,0,0,454,451,469,65,433,103,505,24,493,40,446,80,491,37,521,12,518,11,499,31,496,33
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 22,1958,0,2,1,2,2,280,0,3,10,6,2,23,228,44,1,10,6,5,1,7,1,18,13,62,15,5,40,13,88,155,253,248,252,248,142,97,246,250,250,261,246,247,58,40,129,161,132,251,254,145,142,259,0,0,0,0,0,0,0,253,254,265,25,247,41,272,13,273,14,249,40,266,18,282,6,284,4,276,11,271,12
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 26,571,0,1,0,0,0,57,0,2,4,5,2,10,35,13,2,1,1,1,1,1,0,2,3,17,6,1,3,3,24,29,56,56,56,56,35,20,57,57,55,57,57,57,20,12,23,34,26,57,57,29,31,59,28,14,12,0,0,40,18,0,57,48,10,49,11,53,3,57,3,56,4,57,3,59,1,56,2,54,5,54,3
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 26,571,0,2,0,1,0,54,0,8,1,3,0,6,48,12,0,3,2,1,1,0,0,6,0,16,2,0,9,2,20,35,57,58,56,57,29,24,55,56,57,61,56,57,21,6,25,43,24,64,65,26,41,64,36,11,19,0,0,38,25,0,63,50,15,52,14,56,8,60,6,55,8,59,7,66,0,64,0,61,4,57,7
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 27,268,0,0,0,0,0,38,0,2,3,3,0,2,27,7,0,4,3,0,0,0,0,4,4,8,4,0,2,0,17,18,35,34,34,34,21,13,33,32,33,36,34,32,12,5,17,22,16,33,33,19,16,35,0,0,0,0,0,0,0,34,35,36,3,36,3,38,1,38,1,35,3,38,1,39,0,39,0,35,3,35,4
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 27,268,0,0,0,0,0,35,0,3,0,1,0,5,28,5,0,2,2,1,0,3,0,5,1,8,2,1,0,0,17,11,25,28,28,28,18,9,26,27,28,30,27,28,4,4,19,16,19,29,27,17,16,28,0,0,0,0,0,0,0,30,28,35,3,31,7,33,4,33,5,34,4,35,2,37,0,38,0,38,0,34,4
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 28,111,0,0,0,0,0,14,0,0,2,3,0,0,8,1,0,0,0,1,0,0,0,1,5,1,3,0,0,0,4,8,12,12,12,11,7,4,11,11,10,11,12,12,3,2,7,13,1,12,11,11,3,12,10,2,0,0,0,8,3,0,12,12,2,12,1,13,1,13,0,10,3,14,0,14,0,14,0,13,1,13,1
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 28,111,0,0,0,0,0,9,0,0,0,2,0,1,6,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,6,7,7,8,7,4,4,7,7,7,5,6,7,2,1,3,3,5,7,7,3,4,7,3,1,1,0,0,6,0,0,7,6,3,6,3,8,1,8,1,8,1,8,1,8,1,8,1,9,0,8,1
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 30,280,0,0,0,0,0,10,0,0,0,1,0,0,9,0,1,1,0,0,0,0,0,4,0,2,1,0,1,0,0,8,8,8,8,8,7,2,8,8,8,9,9,9,3,3,3,6,6,10,9,3,9,9,0,0,0,0,0,8,2,0,9,8,2,6,4,9,1,9,1,9,1,10,0,10,0,9,1,8,2,9,1
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 30,280,0,0,0,0,0,21,0,3,4,1,0,5,13,5,1,1,1,0,0,1,1,5,1,7,0,0,1,0,10,13,21,22,23,23,11,12,23,22,23,23,22,21,9,1,11,16,10,23,24,13,13,25,0,0,0,0,0,16,10,0,24,23,3,19,7,22,2,23,1,19,3,18,4,24,1,24,0,20,3,23,1
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,ELECTION DAY VOTES,Pct. 31,216,0,0,0,0,0,6,0,3,0,1,0,4,4,3,0,2,1,0,0,0,0,0,0,2,0,0,1,0,3,6,8,8,9,8,6,3,8,8,8,9,8,8,3,0,6,6,3,8,8,5,4,9,0,0,0,4,5,0,0,8,8,8,1,7,2,8,0,5,4,8,1,8,1,8,1,8,1,7,2,7,2
COOKE COUNTY,3-Mar-20,JOINT PRIMARY ,32,3,EARLY VOTES ,Pct. 31,216,0,0,0,0,0,18,0,0,0,0,1,3,13,6,0,1,0,0,0,0,0,3,0,2,0,1,1,0,5,9,14,14,14,13,6,8,13,13,14,17,13,13,5,1,8,12,6,16,16,7,11,16,0,0,0,13,4,0,0,15,16,14,4,16,2,15,2,17,0,15,2,14,4,18,0,18,0,17,1,17,0
