political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,election_votes,early_votes
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Chris Bell,DEM,2,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Royce West,DEM,2,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Jon Mark Hogg,DEM,20,11
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,6,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,Kelly Stone,DEM,5,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,Mark Watson,DEM,4,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,Chrysta Castañeda,DEM,8,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,19,10
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Chief Justice, Supreme Court",Jerry Zimmerer,DEM,2,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Kathy Cheng,DEM,18,11
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Larry Praeger,DEM,3,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 7",Staci Williams,DEM,12,6
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 7",Brandy Voss,DEM,10,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 8",Gisela D. Triana,DEM,17,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 8",Peter Kelly,DEM,5,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,DEM,1,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,DEM,21,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,DEM,22,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,DEM,1,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,DEM,21,8
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Member, State Board of Education, District 14",Greg Alvord,DEM,20,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Chair,Carla Schoonover-Porter,DEM,23,12
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Donald J. Trump,REP,91,112
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Zoltan G. Istvan,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Bob Ely,REP,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Bill Weld,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Matthew John Matern,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Joe Walsh,REP,3,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,President,Uncommitted,REP,12,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Dwayne Stovall,REP,16,13
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Mark Yancey,REP,9,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,Virgil Bierschwale,REP,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,John Cornyn,REP,68,88
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,United States Senator,John Anthony Castro,REP,3,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",J.D. Faircloth,REP,14,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Wesley W. Virdell,REP,4,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Robert Tucker,REP,6,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Ned Luscombe,REP,2,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Jamie Berryhill,REP,7,9
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Casey Gray,REP,7,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Brandon Batch,REP,24,16
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",Gene Barber,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",J. Ross Lacy,REP,2,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"United States Representative,
District No. 11",August Pfluger,REP,25,48
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,"James ""Jim"" Wright",REP,59,67
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Railroad Commissioner,Ryan Sitton,REP,30,32
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Chief Justice, Supreme Court",Nathan Hecht,REP,91,90
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,REP,89,89
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,87,89
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, Supreme Court, Place 8",Brett Busby,REP,87,88
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,43,57
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,REP,45,34
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,REP,88,90
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Judge, Court of Criminal Appeals, Place 9",David Newell,REP,84,90
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Member, State Board of Education, District 14",Sue Melton-Malone,REP,64,71
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Member, State Board of Education, District 14",Maria Y. Berry,REP,20,19
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"State Representative, District 60",Jon Francis,REP,26,26
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"State Representative, District 60",Glenn Rogers,REP,65,77
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"State Representative, District 60",Kellye Sorelle,REP,4,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"State Representative, District 60",Christopher M. Perricone,REP,11,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, 11th Court of Appeals District, Place 2",Frank Hunold,REP,24,28
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, 11th Court of Appeals District, Place 2",Bruce Williams,REP,60,55
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Justice, 11th Court of Appeals District, Place 3",W. Stacy Trotter,REP,85,90
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Judge, 29th Judicial District",Michael Moore,REP,93,100
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Attorney, 29th Judicial District",Kriste Burnett,REP,47,80
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Attorney, 29th Judicial District",Kristina Massey,REP,51,24
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Attorney,Cynthia Dillard Ince,REP,42,34
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Attorney,Maegan Kostiha,REP,58,75
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Clerk, Unexpired Term",Stacie L. Frye,REP,14,10
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Clerk, Unexpired Term",Sherry Roberson,REP,54,59
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"District Clerk, Unexpired Term",Jonna Banks,REP,35,44
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Sheriff,Brett McGuire,REP,92,104
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Tax Assessor-Collector,Stacy Choate,REP,66,72
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Tax Assessor-Collector,Stephanie Dunn,REP,38,42
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"County Commissioner, Precinct 1",Gary Glover,REP,97,105
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,"Constable, Precinct No. 1",Rod Price,REP,99,104
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,County Chairman,Barbara Upham,REP,94,103
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #1,Yes,DEM,26,12
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #1,No,DEM,0,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #2,Yes,DEM,26,13
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #2,No,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #3,Yes,DEM,26,14
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #3,No,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #4,Yes,DEM,26,13
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #4,No,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #5,Yes,DEM,26,15
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #5,No,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #6,Yes,DEM,26,14
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #6,No,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #7,Yes,DEM,25,15
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #7,No,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #8,Yes,DEM,24,14
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #8,No,DEM,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #9,Yes,DEM,25,14
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #9,No,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #10,Yes,DEM,24,15
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #10,No,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #11,Yes,DEM,23,14
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition #11,No,DEM,2,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 1,Yes,REP,85,104
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 1,No,REP,20,12
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 2,Yes,REP,87,99
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 2,No,REP,18,15
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 3,Yes,REP,98,101
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 3,No,REP,6,8
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 4,Yes,REP,92,108
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 4,No,REP,11,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 5,Yes,REP,85,99
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 5,No,REP,18,13
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 6,Yes,REP,94,109
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 6,No,REP,5,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 7,Yes,REP,101,115
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 7,No,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 8,Yes,REP,102,110
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 8,No,REP,3,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 9,Yes,REP,84,106
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 9,No,REP,17,7
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 10,Yes,REP,94,109
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,1,0,Proposition 10,No,REP,7,5
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Robby Wells,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Andrew Yang,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,"Roque ""Rocky"" De La Fuente",DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Michael Bennet,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Michael R. Bloomberg,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Tulsi Gabbard,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Julián Castro,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Cory Booker,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Joseph R. Biden,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Marianne Williamson,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Pete Buttigieg,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Tom Steyer,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Bernie Sanders,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Deval Patrick,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,John K. Delaney,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Elizabeth Warren,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Amy Klobuchar,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,"Annie ""Mamá"" Garcia",DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Michael Cooper,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,"Mary ""MJ"" Hegar",DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Adrian Ocegueda,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Amanda K. Edwards,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Jack Daniel Foster Jr,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Sema Hernandez,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,D.R. Hunter,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Cristina Tzintzun Ramirez,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Victor Hugo Harris,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Chris Bell,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Royce West,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Jon Mark Hogg,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,Kelly Stone,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,Mark Watson,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,Chrysta Castañeda,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Chief Justice, Supreme Court",Jerry Zimmerer,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Kathy Cheng,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Larry Praeger,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 7",Staci Williams,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 7",Brandy Voss,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 8",Gisela D. Triana,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 8",Peter Kelly,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,DEM,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Member, State Board of Education, District 14",Greg Alvord,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,County Chair,Carla Schoonover-Porter,DEM,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Donald J. Trump,REP,5,8
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Zoltan G. Istvan,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Bob Ely,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Bill Weld,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,"Roque ""Rocky"" De La Fuente Guerra",REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Matthew John Matern,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Joe Walsh,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,President,Uncommitted,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Dwayne Stovall,REP,0,3
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Mark Yancey,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,Virgil Bierschwale,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,John Cornyn,REP,4,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,United States Senator,John Anthony Castro,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",J.D. Faircloth,REP,1,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Wesley W. Virdell,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Robert Tucker,REP,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Ned Luscombe,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Jamie Berryhill,REP,0,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Casey Gray,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Brandon Batch,REP,1,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",Gene Barber,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",J. Ross Lacy,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"United States Representative,
District No. 11",August Pfluger,REP,1,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,"James ""Jim"" Wright",REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,Railroad Commissioner,Ryan Sitton,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Chief Justice, Supreme Court",Nathan Hecht,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 6 - Unexpired Term",Jane Bland,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Justice, Supreme Court, Place 8",Brett Busby,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,3,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,REP,1,2
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Judge, Court of Criminal Appeals, Place 9",David Newell,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Member, State Board of Education, District 14",Sue Melton-Malone,REP,4,4
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"Member, State Board of Education, District 14",Maria Y. Berry,REP,0,0
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"State Representative, District 60",Jon Francis,REP,2,1
Palo Pinto County,3/3/2020,March 3rd Primary,0,0,2,0,"State Representative, District 60",Glenn Rogers,REP,2,3
