political_subdivision,election_date,election_name,total Prov ballots,total prov ballots counted,precinct_number,reg_voters,reg_voters,race_name,candidate_name,party  code,early_votes,election_votes
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,United States Senator,"Annie ""Mamá"" Garcia",,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"United States Representative,
District No. 27","Ricardo ""Rick"" De La Fuente",,14,28
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"United States Representative,
District No. 27",Charlie Jackson,,6,6
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Railroad Commissioner,Kelly Stone,,2,6
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Railroad Commissioner,Chrysta Castañeda,,6,7
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Railroad Commissioner,Mark Watson,,2,2
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,9,21
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Chief Justice, Supreme Court",Amy Clark Meachum,,14,23
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Chief Justice, Supreme Court",Jerry Zimmerer,,5,10
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 6 - Unexpired Term",Larry Praeger,,10,17
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 6 - Unexpired Term",Kathy Cheng,,9,18
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 7",Brandy Voss,,12,13
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 7",Staci Williams,,7,20
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 8",Peter Kelly,,6,16
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, Supreme Court, Place 8",Gisela D. Triana,,13,18
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,,7,12
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,,12,17
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,,0,4
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,,5,15
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,,14,19
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,,15,30
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"State Senator, District 21",Judith Zaffirini,,20,32
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, 13th Court of Appeals District, Place 4 - Unexpired Term",Migdalia Lopez,,16,32
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Justice, 13th Court of Appeals District, Place 6",Nereida Lopez-Singleterry,,15,30
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"County Commissioner, Precinct 3",Gilberto Garza,,17,30
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"County Commissioner, Precinct 3",Alma Villarreal Moreno,,3,11
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Constable, Precinct No. 2",Francisco Cantu Jr,,11,18
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,"Constable, Precinct No. 2",Steve Garcia,,7,24
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,County Chairman,Jennifer Hay,,15,29
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #1,Yes,,19,40
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #1,No,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #2,Yes,,19,39
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #2,No,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #3,Yes,,20,38
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #3,No,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #4,Yes,,20,38
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #4,No,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #5,Yes,,19,38
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #5,No,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #6,Yes,,19,37
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #6,No,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #7,Yes,,20,38
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #7,No,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #8,Yes,,19,37
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #8,No,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #9,Yes,,20,38
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #9,No,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #10,Yes,,17,37
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #10,No,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #11,Yes,,19,36
San Patricio County,3/3/2020,Democratic Primary Election,,,101,479,479,Proposition #11,No,,0,2
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Joseph R. Biden,,50,112
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Cory Booker,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Tulsi Gabbard,,1,3
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Julián Castro,,7,5
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Andrew Yang,,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Amy Klobuchar,,3,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Bernie Sanders,,53,52
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Deval Patrick,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Marianne Williamson,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Michael Bennet,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Tom Steyer,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Robby Wells,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Pete Buttigieg,,3,0
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,"Roque ""Rocky"" De La Fuente",,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Michael R. Bloomberg,,47,14
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,Elizabeth Warren,,7,13
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,President,John K. Delaney,,0,2
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Adrian Ocegueda,,14,17
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,"Mary ""MJ"" Hegar",,12,18
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Amanda K. Edwards,,10,15
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Jack Daniel Foster Jr,,4,4
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,D.R. Hunter,,14,22
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Michael Cooper,,6,17
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Royce West,,2,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Cristina Tzintzun Ramirez,,56,71
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Chris Bell,,5,4
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Victor Hugo Harris,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,Sema Hernandez,,11,8
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,United States Senator,"Annie ""Mamá"" Garcia",,10,10
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"United States Representative,
District No. 34",Diego Zavala,,49,63
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"United States Representative,
District No. 34",Filemon B. Vela,,105,107
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"United States Representative,
District No. 34",Osbert Rodriguez Haro III,,10,13
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Railroad Commissioner,Kelly Stone,,16,22
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Railroad Commissioner,Chrysta Castañeda,,40,50
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Railroad Commissioner,Mark Watson,,19,20
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,89,97
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Chief Justice, Supreme Court",Amy Clark Meachum,,103,143
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Chief Justice, Supreme Court",Jerry Zimmerer,,50,40
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 6 - Unexpired Term",Larry Praeger,,57,63
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 6 - Unexpired Term",Kathy Cheng,,91,116
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 7",Brandy Voss,,66,75
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 7",Staci Williams,,82,106
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 8",Peter Kelly,,60,70
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, Supreme Court, Place 8",Gisela D. Triana,,84,107
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,,43,51
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,,82,109
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,,18,14
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,,43,48
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,,101,128
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,,123,154
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"State Senator, District 21",Judith Zaffirini,,138,167
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, 13th Court of Appeals District, Place 4 - Unexpired Term",Migdalia Lopez,,131,166
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Justice, 13th Court of Appeals District, Place 6",Nereida Lopez-Singleterry,,126,162
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"County Commissioner, Precinct 3",Gilberto Garza,,157,151
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"County Commissioner, Precinct 3",Alma Villarreal Moreno,,33,67
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Constable, Precinct No. 2",Francisco Cantu Jr,,118,115
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,"Constable, Precinct No. 2",Steve Garcia,,72,108
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,County Chairman,Jennifer Hay,,127,158
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #1,Yes,,163,189
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #1,No,,8,14
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #2,Yes,,160,186
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #2,No,,5,12
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #3,Yes,,160,190
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #3,No,,2,6
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #4,Yes,,163,188
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #4,No,,1,9
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #5,Yes,,159,180
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #5,No,,3,12
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #6,Yes,,161,190
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #6,No,,5,7
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #7,Yes,,159,179
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #7,No,,6,13
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #8,Yes,,158,179
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #8,No,,8,9
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #9,Yes,,159,179
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #9,No,,3,6
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #10,Yes,,161,180
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #10,No,,4,10
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #11,Yes,,153,175
San Patricio County,3/3/2020,Democratic Primary Election,,,102,2554,2554,Proposition #11,No,,7,16
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Joseph R. Biden,,1,12
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Cory Booker,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Tulsi Gabbard,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Julián Castro,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Andrew Yang,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Amy Klobuchar,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Bernie Sanders,,2,3
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Deval Patrick,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Marianne Williamson,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Michael Bennet,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Tom Steyer,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Robby Wells,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Pete Buttigieg,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,"Roque ""Rocky"" De La Fuente",,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Michael R. Bloomberg,,5,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,Elizabeth Warren,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,President,John K. Delaney,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Adrian Ocegueda,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,"Mary ""MJ"" Hegar",,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Amanda K. Edwards,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Jack Daniel Foster Jr,,0,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,D.R. Hunter,,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Michael Cooper,,0,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Royce West,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Cristina Tzintzun Ramirez,,3,6
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Chris Bell,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Victor Hugo Harris,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,Sema Hernandez,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,United States Senator,"Annie ""Mamá"" Garcia",,1,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"United States Representative,
District No. 27","Ricardo ""Rick"" De La Fuente",,5,8
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"United States Representative,
District No. 27",Charlie Jackson,,5,7
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Railroad Commissioner,Kelly Stone,,3,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Railroad Commissioner,Chrysta Castañeda,,3,4
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Railroad Commissioner,Mark Watson,,2,3
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,2,10
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Chief Justice, Supreme Court",Amy Clark Meachum,,7,8
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Chief Justice, Supreme Court",Jerry Zimmerer,,1,5
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 6 - Unexpired Term",Larry Praeger,,1,7
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 6 - Unexpired Term",Kathy Cheng,,8,8
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 7",Brandy Voss,,3,4
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 7",Staci Williams,,6,10
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 8",Peter Kelly,,2,3
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, Supreme Court, Place 8",Gisela D. Triana,,8,11
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 3",Dan Wood,,1,4
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell,,6,8
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 3",William Pieratt Demond,,2,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 4",Steven Miears,,3,7
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton,,7,7
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham,,8,13
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"State Senator, District 21",Judith Zaffirini,,9,14
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, 13th Court of Appeals District, Place 4 - Unexpired Term",Migdalia Lopez,,9,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Justice, 13th Court of Appeals District, Place 6",Nereida Lopez-Singleterry,,9,13
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"County Commissioner, Precinct 3",Gilberto Garza,,4,8
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"County Commissioner, Precinct 3",Alma Villarreal Moreno,,8,7
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,"Constable, Precinct No. 5",Valde Ramirez,,11,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,County Chairman,Jennifer Hay,,9,13
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #1,Yes,,11,14
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #1,No,,1,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #2,Yes,,11,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #2,No,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #3,Yes,,10,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #3,No,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #4,Yes,,10,16
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #4,No,,2,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #5,Yes,,10,16
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #5,No,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #6,Yes,,9,16
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #6,No,,3,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #7,Yes,,10,17
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #7,No,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #8,Yes,,9,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #8,No,,2,2
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #9,Yes,,10,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #9,No,,1,0
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #10,Yes,,9,14
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #10,No,,3,1
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #11,Yes,,8,15
San Patricio County,3/3/2020,Democratic Primary Election,,,103,402,402,Proposition #11,No,,2,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Joseph R. Biden,,18,42
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Cory Booker,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Tulsi Gabbard,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Julián Castro,,2,1
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Andrew Yang,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Amy Klobuchar,,4,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Bernie Sanders,,23,20
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Deval Patrick,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Marianne Williamson,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Michael Bennet,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Tom Steyer,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Robby Wells,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Pete Buttigieg,,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,"Roque ""Rocky"" De La Fuente",,0,0
San Patricio County,3/3/2020,Democratic Primary Election,,,104,1575,1575,President,Michael R. Bloomberg,,5,11
