COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - NONPARTISAN,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,BALLOTS CAST TOTAL,BALLOTS CAST - NONPARTISAN,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST BLANK,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 6",REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 14","REP Member, State BoE, Dist 14","REP State Senator, Dist 22","REP State Representative, Dist 8","REP Justice, 10th Ct of App Dist, Pl 2","REP Justice, 10th Ct of App Dist, Pl 3","REP Dist Judge, 13th Judicial Dist",REP Crim Dist Attorney Navarro Co,REP Crim Dist Attorney Navarro Co,"REP Judge, Co Court at Law",REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP County Chair,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 6",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM Member, State BoE, Dist 14","DEM State Senator, Dist 22",DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11
175NAVARRO,9,PRECINCT 200,909,909,0,0,178,0,71,107,1,1,61,0,1,0,3,0,5,55,1,0,4,8,68,45,21,64,63,63,63,33,30,63,62,24,39,65,65,62,63,65,32,37,63,53,15,64,0,0,0,0,37,26,0,0,65,56,15,53,17,61,9,61,9,57,12,66,4,64,6,66,4,67,4,61,10,1,0,1,0,0,0,17,0,0,1,0,0,53,0,10,22,1,6,2,1,58,9,8,3,4,0,3,3,6,96,28,36,13,23,24,77,25,72,67,35,56,43,70,21,7,76,24,97,100,99,98,104,2,101,3,104,2,104,1,103,2,104,1,104,2,101,5,103,2,99,5,99,5
175NAVARRO,10,PRECINCT 201,843,843,0,0,162,0,19,143,0,0,14,0,0,0,0,0,4,8,1,1,3,5,18,15,2,17,16,17,17,8,8,16,16,5,11,16,17,15,16,17,8,10,17,17,0,16,0,0,0,0,14,3,0,0,17,10,8,14,4,17,1,16,2,16,2,16,2,18,0,17,1,17,1,16,2,0,1,0,1,0,0,26,0,0,0,0,1,81,1,1,28,1,5,0,0,89,5,11,1,7,2,5,2,2,107,14,57,29,23,46,72,39,74,102,14,66,47,78,23,10,93,20,108,110,109,111,141,0,134,1,138,0,137,1,137,1,136,0,137,0,135,1,133,1,124,12,128,4
175NAVARRO,11,PRECINCT 202,1010,1010,0,0,141,0,50,91,0,0,44,0,0,0,0,0,4,38,3,1,2,4,48,43,6,49,48,49,49,29,19,49,49,22,26,48,48,49,48,49,26,24,48,37,11,48,0,0,0,0,30,18,0,0,48,40,10,38,11,43,6,43,7,45,5,46,3,49,1,48,1,45,4,44,5,2,1,0,0,0,1,24,0,0,0,0,0,46,0,3,14,0,10,3,0,38,8,8,7,3,0,2,5,6,76,17,38,15,12,29,57,47,37,60,24,39,44,46,21,16,59,22,83,83,82,82,90,1,86,5,86,3,89,1,86,3,88,2,88,1,85,3,89,1,87,3,84,6
175NAVARRO,12,PRECINCT 203,2221,2221,0,0,799,0,633,166,0,1,585,0,1,1,1,4,32,466,34,7,63,31,584,439,141,572,571,570,564,285,269,564,564,297,259,578,581,565,565,579,191,429,583,391,238,592,0,0,0,0,460,153,0,0,577,514,110,492,129,567,52,579,38,541,80,567,49,604,17,605,14,593,29,575,37,0,0,1,0,0,4,37,0,0,0,1,0,84,0,6,31,2,5,3,3,64,37,9,5,6,2,6,5,7,140,35,38,32,44,46,102,42,107,107,41,83,62,87,45,15,107,39,140,140,141,139,152,6,154,4,155,4,150,7,153,5,155,2,149,8,150,6,151,4,151,7,139,14
175NAVARRO,13,PRECINCT 204,326,326,0,0,93,0,69,24,0,0,67,0,0,0,0,0,2,57,2,1,5,2,69,39,26,68,68,67,68,38,25,67,67,18,46,69,69,68,67,69,26,43,68,48,19,68,0,0,0,0,54,10,0,0,65,55,13,62,7,62,7,63,6,58,11,62,7,66,3,67,2,61,6,67,1,0,0,0,0,0,0,4,0,0,0,0,0,13,0,1,6,0,1,0,0,12,8,0,0,3,0,0,0,0,24,1,8,5,9,4,19,9,13,17,6,14,8,10,9,3,12,10,21,21,21,21,22,1,23,0,24,0,23,0,23,0,24,0,23,0,23,0,23,0,22,1,22,1
175NAVARRO,14,PRECINCT 205,1303,1303,0,0,559,0,468,91,0,0,428,0,8,1,1,5,24,392,10,5,30,17,453,317,124,444,448,446,445,259,176,443,442,175,255,451,453,443,434,443,146,319,448,388,78,453,0,0,0,0,289,144,0,0,444,410,55,392,73,435,28,429,34,393,68,435,28,457,9,457,7,442,22,442,22,0,1,0,0,2,6,20,0,0,0,1,0,30,4,8,19,0,3,0,2,4,39,7,12,3,1,5,1,7,84,22,23,21,18,16,69,27,58,59,24,28,53,68,12,3,71,10,81,82,82,82,84,6,81,8,87,2,83,5,87,3,88,0,81,6,83,6,84,4,85,6,81,6
175NAVARRO,15,PRECINCT 206,652,652,0,0,212,0,191,21,0,1,186,0,0,0,0,0,4,141,6,0,34,6,181,147,33,176,175,176,177,93,81,174,174,84,91,185,183,177,172,184,69,122,181,157,34,183,0,0,0,0,128,56,0,0,181,154,36,158,33,182,7,184,5,167,20,183,7,185,4,186,4,180,10,168,19,0,0,1,0,0,3,4,0,0,0,0,0,10,2,0,1,0,1,1,1,3,2,2,1,4,0,1,1,2,19,4,7,5,3,9,10,4,15,12,7,10,8,11,4,4,14,5,19,20,20,20,20,1,17,4,20,1,17,4,21,0,19,2,18,3,19,2,20,1,20,1,17,3
175NAVARRO,16,PRECINCT 300,2473,2473,0,0,563,0,402,161,0,0,366,1,2,0,3,7,19,309,22,4,28,21,373,292,86,366,362,369,364,205,164,363,361,159,204,372,378,366,361,380,136,259,376,324,72,380,0,118,275,0,0,0,371,0,374,330,70,306,91,357,37,354,42,346,46,366,25,381,13,376,20,371,25,374,22,0,0,0,0,0,1,53,1,0,1,1,0,70,1,9,24,0,12,3,2,38,31,7,8,9,2,6,11,17,141,42,44,29,31,45,106,44,106,103,45,73,75,99,39,10,110,36,141,142,144,140,154,6,153,5,155,4,157,3,156,2,154,2,156,3,154,3,153,2,149,7,147,11
175NAVARRO,17,PRECINCT 301,385,385,0,0,97,0,76,21,0,0,63,0,0,0,1,3,8,55,4,1,7,4,69,49,18,67,65,65,64,41,26,64,65,24,43,67,67,64,65,65,31,43,70,60,14,70,0,20,52,0,0,0,66,0,68,66,9,57,18,66,6,61,13,66,9,65,9,72,3,71,3,71,4,70,4,0,0,0,1,0,0,7,0,0,0,0,0,6,0,3,4,0,3,0,0,1,5,2,2,1,2,1,0,0,15,5,5,3,2,7,7,5,10,13,2,13,3,9,6,0,10,6,14,15,14,14,21,0,20,1,21,0,20,1,21,0,20,1,20,1,19,2,21,0,21,0,20,1
175NAVARRO,18,PRECINCT 303,1174,1174,0,0,417,0,341,76,0,1,321,0,0,1,1,2,11,246,23,3,44,12,310,256,65,310,310,310,311,149,159,309,308,130,181,322,315,311,308,312,118,217,320,250,86,323,0,185,153,0,0,0,316,0,314,273,66,276,62,299,32,323,13,295,35,317,16,329,4,334,2,317,17,301,31,0,0,0,1,0,3,16,0,0,0,0,0,29,0,11,16,0,1,0,2,21,19,8,2,5,2,4,2,5,67,13,17,18,21,14,55,24,46,44,27,32,37,52,13,4,49,21,67,70,68,69,64,10,70,5,72,3,69,4,72,2,68,5,68,5,70,3,70,4,63,9,68,6
175NAVARRO,19,PRECINCT 304,689,689,0,0,250,0,221,29,0,4,200,0,2,0,0,3,10,166,5,1,24,15,206,149,56,198,199,198,196,113,81,197,199,88,104,201,208,200,196,207,69,151,206,182,36,208,0,48,170,0,0,0,200,0,207,191,30,187,32,205,14,204,16,197,22,208,9,213,7,215,4,203,16,213,7,0,0,0,0,0,3,3,0,0,0,0,0,12,2,1,8,0,2,1,0,3,7,2,2,6,2,1,0,2,29,8,6,11,3,5,23,8,18,19,7,9,17,21,4,2,19,8,26,26,26,26,26,3,27,2,28,1,24,5,27,2,29,0,28,1,28,1,28,1,28,1,27,2
175NAVARRO,20,PRECINCT 305,582,582,0,0,183,0,147,36,0,1,140,0,2,0,0,3,0,110,5,0,17,8,129,97,38,131,130,130,130,80,49,130,128,59,65,131,139,131,129,138,76,68,135,118,28,137,0,36,109,0,0,0,130,0,133,129,15,122,22,139,5,134,10,138,6,132,10,142,3,141,4,137,6,137,7,0,0,1,0,0,0,11,0,0,0,0,0,13,2,2,7,0,1,0,0,11,10,2,1,1,0,0,5,4,33,8,10,8,7,1,31,7,26,27,6,12,21,27,6,0,28,5,33,33,32,33,36,0,34,1,35,1,35,1,36,0,36,0,36,0,35,1,36,0,36,0,33,3
175NAVARRO,21,PRECINCT 306,297,297,0,0,115,0,99,16,0,0,94,0,0,0,0,2,1,80,3,0,8,4,89,69,27,91,92,92,91,49,44,93,92,46,47,94,94,93,93,95,36,61,91,83,13,95,0,26,72,0,0,0,90,0,93,84,14,78,20,95,3,95,3,89,8,90,7,98,0,96,1,92,4,93,3,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,6,0,0,0,0,3,3,1,1,1,1,2,2,1,15,7,3,2,3,5,10,8,7,10,5,9,6,7,8,0,9,6,15,15,15,15,13,3,16,0,15,0,16,0,15,1,16,0,15,1,14,2,15,0,10,6,14,2
175NAVARRO,22,PRECINCT 307,497,497,0,0,156,0,137,19,0,0,128,0,0,0,0,1,4,107,3,0,18,4,121,87,36,121,122,121,122,61,61,120,119,48,72,123,127,117,117,124,53,77,116,105,29,121,0,42,92,0,0,0,118,0,119,118,18,123,13,122,11,132,3,129,6,130,5,132,3,135,0,126,9,125,7,0,0,0,0,0,1,6,0,0,0,0,0,10,0,1,1,0,1,1,1,7,5,1,0,0,0,0,1,0,13,4,4,0,7,6,10,5,11,13,3,8,8,12,4,0,11,4,15,15,15,16,15,2,15,1,17,1,17,0,17,1,17,1,18,0,18,0,16,1,17,0,15,2
175NAVARRO,23,PRECINCT 308,358,358,0,0,189,0,156,33,0,0,151,0,2,0,0,0,2,119,6,1,22,6,152,97,49,150,149,146,149,86,55,149,150,64,77,150,149,148,146,147,70,84,147,121,31,152,0,57,97,0,0,0,147,0,148,145,11,140,16,154,2,149,5,138,18,143,11,153,2,155,1,145,8,146,10,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,5,0,1,1,0,4,12,5,3,2,1,1,2,1,28,8,4,14,4,10,21,11,20,24,7,13,18,20,7,4,23,8,29,28,29,29,29,3,28,4,31,1,31,1,32,0,32,0,30,2,29,3,31,1,29,3,31,1
175NAVARRO,24,PRECINCT 400,1586,1586,0,0,609,0,517,92,0,0,468,0,2,1,3,3,35,433,16,3,15,20,476,366,98,462,463,456,458,262,177,457,458,203,230,477,480,458,458,488,229,286,480,437,75,489,0,0,0,0,0,0,0,481,485,446,68,401,108,473,33,454,51,432,73,469,33,501,9,492,9,467,35,468,34,0,0,1,1,0,7,16,0,0,0,0,1,39,2,5,18,1,4,2,1,26,18,7,7,8,2,1,8,3,80,22,21,19,17,21,59,27,55,62,17,39,42,55,20,5,60,19,76,78,76,80,86,5,86,4,90,1,83,7,90,1,90,1,87,4,89,2,91,0,86,3,84,7
175NAVARRO,25,PRECINCT 401,537,537,0,0,131,0,96,35,0,0,84,0,2,1,0,1,6,74,8,0,6,4,86,63,24,88,87,87,87,54,26,86,85,40,39,88,86,87,86,88,49,46,89,76,16,87,0,0,0,0,0,0,0,89,86,87,8,79,15,85,11,86,9,83,11,87,7,94,2,91,4,90,6,89,4,0,0,0,0,0,1,8,0,0,0,1,0,15,2,5,3,0,0,0,1,12,1,5,4,1,1,1,1,7,34,14,11,2,7,9,24,6,27,22,11,13,21,27,4,2,28,5,33,34,34,33,33,2,34,1,34,1,34,1,34,1,34,1,33,2,32,2,33,2,34,1,32,3
175NAVARRO,26,PRECINCT 402,1949,1949,0,0,704,0,600,104,0,1,558,1,3,0,0,7,26,495,16,1,45,17,567,442,118,549,550,552,547,303,233,545,546,195,339,561,565,551,545,560,267,329,565,512,82,568,0,0,0,0,0,0,0,568,563,504,94,492,96,544,40,541,47,515,72,545,40,579,9,575,10,559,30,541,50,0,0,0,0,1,2,23,0,0,0,0,0,47,4,7,19,1,4,1,0,29,17,10,12,7,0,1,4,11,90,27,21,17,25,22,71,29,62,73,18,39,53,61,25,6,74,19,91,91,92,94,95,3,94,5,99,1,96,3,100,1,101,0,100,1,96,5,100,1,97,4,95,5
175NAVARRO,27,PRECINCT 403,1391,1391,0,0,515,0,463,52,0,0,452,0,1,0,1,0,8,368,15,2,40,20,442,324,109,431,429,434,430,251,170,430,428,142,277,442,440,424,427,434,159,295,437,385,72,439,0,0,0,0,0,0,0,432,433,397,62,386,72,429,24,441,10,419,34,433,19,453,2,451,2,439,18,435,21,0,0,0,0,2,1,13,0,0,0,0,0,21,1,6,8,0,3,1,0,6,13,7,0,8,0,3,2,6,46,11,11,14,13,15,34,20,29,31,16,26,23,34,11,3,33,15,45,46,45,43,49,2,46,4,51,1,50,2,51,1,47,3,48,3,47,3,50,2,46,4,44,7
175NAVARRO,28,PRECINCT 404,1141,1141,0,0,327,0,266,61,0,0,254,0,0,0,0,3,9,178,12,1,58,7,248,180,69,249,244,246,243,134,105,244,244,88,150,252,252,245,243,252,107,154,251,202,57,254,0,0,0,0,0,0,0,249,252,232,31,226,34,247,12,253,7,245,17,252,7,261,0,263,0,256,6,249,14,0,0,0,0,0,0,14,0,0,0,0,0,26,0,8,13,0,0,0,1,18,17,3,7,2,1,2,4,4,53,21,13,13,12,15,42,21,37,43,15,27,31,42,14,2,40,18,56,56,54,56,61,0,61,0,59,0,59,1,59,1,60,0,58,1,55,3,60,0,60,0,56,1
