0031001000200000180002000000 REPCOM003 REP County Commissioner Pct 3                           Paul Detten                           Precinct 3               01 
0031002000200000110002000000 REPCOM003 REP County Commissioner Pct 3                           Mike Jennings                         Precinct 3               01 
0032001000800000910008000000 REP       REP County Chair                                        Charles Kincade                                                01 
0033001000800000950008000000 REP       REP Proposition 1                                       Yes                                                            01Y
0033002000800000210008000000 REP       REP Proposition 1                                       No                                                             01Y
0034001000800000950008000000 REP       REP Proposition 2                                       Yes                                                            01Y
0034002000800000170008000000 REP       REP Proposition 2                                       No                                                             01Y
0035001000800000990008000000 REP       REP Proposition 3                                       Yes                                                            01Y
0035002000800000150008000000 REP       REP Proposition 3                                       No                                                             01Y
0036001000800001070008000000 REP       REP Proposition 4                                       Yes                                                            01Y
0036002000800000040008000000 REP       REP Proposition 4                                       No                                                             01Y
0037001000800000960008000000 REP       REP Proposition 5                                       Yes                                                            01Y
0037002000800000180008000000 REP       REP Proposition 5                                       No                                                             01Y
0038001000800001020008000000 REP       REP Proposition 6                                       Yes                                                            01Y
0038002000800000110008000000 REP       REP Proposition 6                                       No                                                             01Y
0039001000800001180008000000 REP       REP Proposition 7                                       Yes                                                            01Y
0039002000800000000008000000 REP       REP Proposition 7                                       No                                                             01Y
0040001000800001090008000000 REP       REP Proposition 8                                       Yes                                                            01Y
0040002000800000060008000000 REP       REP Proposition 8                                       No                                                             01Y
0041001000800001090008000000 REP       REP Proposition 9                                       Yes                                                            01Y
0041002000800000050008000000 REP       REP Proposition 9                                       No                                                             01Y
0042001000800001060008000000 REP       REP Proposition 10                                      Yes                                                            01Y
0042002000800000090008000000 REP       REP Proposition 10                                      No                                                             01Y
0043001000800000020008000000 DEM       DEM President                                           Michael R. Bloomberg                                           01 
0043002000800000000008000000 DEM       DEM President                                           Marianne Williamson                                            01 
0043003000800000000008000000 DEM       DEM President                                           Robby Wells                                                    01 
0043004000800000000008000000 DEM       DEM President                                           Cory Booker                                                    01 
0043005000800000000008000000 DEM       DEM President                                           Tulsi Gabbard                                                  01 
0043006000800000060008000000 DEM       DEM President                                           Joseph R. Biden                                                01 
0043007000800000000008000000 DEM       DEM President                                           Julian Castro                                                  01 
0043008000800000000008000000 DEM       DEM President                                           Amy Klobuchar                                                  01 
0043009000800000010008000000 DEM       DEM President                                           Bernie Sanders                                                 01 
0043010000800000000008000000 DEM       DEM President                                           John K. Delaney                                                01 
0043011000800000030008000000 DEM       DEM President                                           Elizabeth Warren                                               01 
0043012000800000010008000000 DEM       DEM President                                           Michael Bennet                                                 01 
0043013000800000000008000000 DEM       DEM President                                           Deval Patrick                                                  01 
0043014000800000030008000000 DEM       DEM President                                           Pete Buttigieg                                                 01 
0043015000800000000008000000 DEM       DEM President                                           Tom Steyer                                                     01 
0043016000800000000008000000 DEM       DEM President                                           Andrew Yang                                                    01 
0043017000800000000008000000 DEM       DEM President                                           Roque "Rocky" De La Fuente                                     01 
0044001000800000030008000000 DEM       DEM US Senator                                          Chris Bell                                                     01 
0044002000800000000008000000 DEM       DEM US Senator                                          Amanda K. Edwards                                              01 
0044003000800000000008000000 DEM       DEM US Senator                                          Cristina Tzintzun Ramirez                                      01 
0044004000800000000008000000 DEM       DEM US Senator                                          Adrian Ocegueda                                                01 
0044005000800000010008000000 DEM       DEM US Senator                                          Jack Daniel Foster, Jr.                                        01 
0044006000800000030008000000 DEM       DEM US Senator                                          Mary (MJ) Hegar                                                01 
0044007000800000020008000000 DEM       DEM US Senator                                          Victor Hugo Harris                                             01 
0044008000800000010008000000 DEM       DEM US Senator                                          Royce West                                                     01 
0044009000800000000008000000 DEM       DEM US Senator                                          Sema Hernandez                                                 01 
0044010000800000010008000000 DEM       DEM US Senator                                          Michael Cooper                                                 01 
0044011000800000000008000000 DEM       DEM US Senator                                          D. R. Hunter                                                   01 
0044012000800000030008000000 DEM       DEM US Senator                                          Annie "Mama" Garcia                                            01 
0045001000800000060008000000 DEM       DEM US Representative, Dist 13                          Timothy W. Gassaway                                            01 
0045002000800000040008000000 DEM       DEM US Representative, Dist 13                          Greg Sagan                                                     01 
0045003000800000030008000000 DEM       DEM US Representative, Dist 13                          Gus Trujillo                                                   01 
0046001000800000070008000000 DEM       DEM Railroad Commissioner                               Kelly Stone                                                    01 
0046002000800000010008000000 DEM       DEM Railroad Commissioner                               Mark Watson                                                    01 
0046003000800000030008000000 DEM       DEM Railroad Commissioner                               Chrysta Castaneda                                              01 
0046004000800000010008000000 DEM       DEM Railroad Commissioner                               Roberto R. "Beto" Alonzo                                       01 
0047001000800000050008000000 DEM       DEM Chief Justice, Supreme Court                        Amy Clark Meachum                                              01 
0047002000800000060008000000 DEM       DEM Chief Justice, Supreme Court                        Jerry Zimmerer                                                 01 
0048001000800000080008000000 DEM       DEM Justice, Supreme Court, Pl 6                        Kathy Cheng                                                    01 
0048002000800000040008000000 DEM       DEM Justice, Supreme Court, Pl 6                        Larry Praeger                                                  01 
0049001000800000040008000000 DEM       DEM Justice, Supreme Court, Pl 7                        Brandy Voss                                                    01 
0049002000800000070008000000 DEM       DEM Justice, Supreme Court, Pl 7                        Staci Williams                                                 01 
0050001000800000070008000000 DEM       DEM Justice, Supreme Court, Pl 8                        Peter Kelly                                                    01 
0050002000800000050008000000 DEM       DEM Justice, Supreme Court, Pl 8                        Gisela D. Triana                                               01 
0051001000800000050008000000 DEM       DEM Judge, Ct of Crim App, Pl 3                         Dan Wood                                                       01 
0051002000800000010008000000 DEM       DEM Judge, Ct of Crim App, Pl 3                         William Pieratt Demond                                         01 
0051003000800000070008000000 DEM       DEM Judge, Ct of Crim App, Pl 3                         Elizabeth Davis Frizell                                        01 
0052001000800000080008000000 DEM       DEM Judge, Ct of Crim App, Pl 4                         Tina Clinton                                                   01 
0052002000800000040008000000 DEM       DEM Judge, Ct of Crim App, Pl 4                         Steven Miears                                                  01 
0053001000800000120008000000 DEM       DEM Judge, Ct of Crim App, Pl 9                         Brandon Birmingham                                             01 
0054001000800000120008000000 DEM       DEM Member, State BoE, Dist 15                          John Betancourt                                                01 
0055001000800000120008000000 DEM       DEM Proposition #1                                      Yes                                                            01Y
0055002000800000040008000000 DEM       DEM Proposition #1                                      No                                                             01Y
0056001000800000120008000000 DEM       DEM Proposition #2                                      Yes                                                            01Y
0056002000800000040008000000 DEM       DEM Proposition #2                                      No                                                             01Y
0057001000800000120008000000 DEM       DEM Proposition #3                                      Yes                                                            01Y
0057002000800000030008000000 DEM       DEM Proposition #3                                      No                                                             01Y
0058001000800000120008000000 DEM       DEM Proposition #4                                      Yes                                                            01Y
0058002000800000040008000000 DEM       DEM Proposition #4                                      No                                                             01Y
0059001000800000110008000000 DEM       DEM Proposition #5                                      Yes                                                            01Y
0059002000800000040008000000 DEM       DEM Proposition #5                                      No                                                             01Y
0060001000800000120008000000 DEM       DEM Proposition #6                                      Yes                                                            01Y
0060002000800000030008000000 DEM       DEM Proposition #6                                      No                                                             01Y
0061001000800000120008000000 DEM       DEM Proposition #7                                      Yes                                                            01Y
0061002000800000040008000000 DEM       DEM Proposition #7                                      No                                                             01Y
0062001000800000120008000000 DEM       DEM Proposition #8                                      Yes                                                            01Y
0062002000800000040008000000 DEM       DEM Proposition #8                                      No                                                             01Y
0063001000800000130008000000 DEM       DEM Proposition #9                                      Yes                                                            01Y
0063002000800000030008000000 DEM       DEM Proposition #9                                      No                                                             01Y
0064001000800000120008000000 DEM       DEM Proposition #10                                     Yes                                                            01Y
0064002000800000040008000000 DEM       DEM Proposition #10                                     No                                                             01Y
0065001000800000110008000000 DEM       DEM Proposition #11                                     Yes                                                            01Y
0065002000800000050008000000 DEM       DEM Proposition #11                                     No                                                             01Y
