political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,registered_voters,race_name,party_code,candidate_name,election_votes,early_votes,election_votes
floyd county,7/14/2020,primary runoff,0,0,23,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,8,3,11
floyd county,7/14/2020,primary runoff,0,0,24,0,United States Senator,DEM,Royce West,0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,United States Senator,DEM,"Mary ""MJ"" Hegar",0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,"United States Representative,
District No. 13",DEM,Greg Sagan,0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,"United States Representative,
District No. 13",DEM,Gus Trujillo,0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,Railroad Commissioner,DEM,Chrysta Castañeda,0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,1,1
floyd county,7/14/2020,primary runoff,0,0,24,0,"United States Representative,
District No. 13",REP,Ronny Jackson,2,6,8
floyd county,7/14/2020,primary runoff,0,0,24,0,"United States Representative,
District No. 13",REP,Josh Winegarner,1,6,7
floyd county,7/14/2020,primary runoff,0,0,24,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,0,5,5
floyd county,7/14/2020,primary runoff,0,0,24,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,1,5,6
floyd county,7/14/2020,primary runoff,0,0,24B,0,United States Senator,DEM,Royce West,2,2,4
floyd county,7/14/2020,primary runoff,0,0,24B,0,United States Senator,DEM,"Mary ""MJ"" Hegar",1,0,1
floyd county,7/14/2020,primary runoff,0,0,24B,0,Railroad Commissioner,DEM,Chrysta Castañeda,0,0,0
floyd county,7/14/2020,primary runoff,0,0,24B,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",3,2,5
floyd county,7/14/2020,primary runoff,0,0,24B,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,1,0,1
floyd county,7/14/2020,primary runoff,0,0,24B,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,0,0,0
,,,,,,,,,,163,219,382,438,
