political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,U. S. Senator,Royce West,DEM,14,15
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,U. S. Senator,"Mary ""MJ"" Hegar",DEM,43,24
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,24,12
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,Railroad Commissioner,Chrysta Castañeda,DEM,33,26
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,30,24
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,16 - BS7,5053,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,25,14
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,U. S. Senator,Royce West,DEM,25,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,U. S. Senator,"Mary ""MJ"" Hegar",DEM,24,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,23,15
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,Railroad Commissioner,Chrysta Castañeda,DEM,25,9
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,20,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,17 - BS6,2932,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,27,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,U. S. Senator,Royce West,DEM,48,42
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,U. S. Senator,"Mary ""MJ"" Hegar",DEM,52,33
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,44,27
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,Railroad Commissioner,Chrysta Castañeda,DEM,56,46
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,66,51
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,18 - BS7,4509,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,34,22
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,U. S. Senator,Royce West,DEM,14,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,U. S. Senator,"Mary ""MJ"" Hegar",DEM,20,6
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,19,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,Railroad Commissioner,Chrysta Castañeda,DEM,15,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,20,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,19 - BS6,2396,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,14,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,U. S. Senator,Royce West,DEM,6,2
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,U. S. Senator,"Mary ""MJ"" Hegar",DEM,10,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,4,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,Railroad Commissioner,Chrysta Castañeda,DEM,11,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,5,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,20 - BS6,1572,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,11,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,U. S. Senator,Royce West,DEM,115,61
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,U. S. Senator,"Mary ""MJ"" Hegar",DEM,79,55
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,100,55
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,Railroad Commissioner,Chrysta Castañeda,DEM,89,59
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,134,87
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,21 - BS6,5339,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,57,27
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,U. S. Senator,Royce West,DEM,28,10
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,U. S. Senator,"Mary ""MJ"" Hegar",DEM,49,19
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,18,10
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,Railroad Commissioner,Chrysta Castañeda,DEM,57,17
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,31,15
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,22 - BS6,3930,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,44,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,U. S. Senator,Royce West,DEM,24,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,U. S. Senator,"Mary ""MJ"" Hegar",DEM,41,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,21,10
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,Railroad Commissioner,Chrysta Castañeda,DEM,44,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,31,12
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,23 - BS6,4626,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,35,6
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,U. S. Senator,Royce West,DEM,22,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,U. S. Senator,"Mary ""MJ"" Hegar",DEM,34,23
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,25,15
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,Railroad Commissioner,Chrysta Castañeda,DEM,30,20
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,30,16
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,24 - BS6,4765,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,25,20
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,U. S. Senator,Royce West,DEM,4,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,U. S. Senator,"Mary ""MJ"" Hegar",DEM,13,10
