COUNTY NUMBER,ELECTION DATE,ELECTION NAME,Total Provisional,Total Provisional Counted,,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Democratic Party,US Senator,US Senator,"US Rep, District 13","US Rep, District 13",Railroad Commissioner,Railroad Commissioner
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 6,552,3,0,3,2,1,3,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 7,1613,2,0,2,2,0,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 7,1613,5,1,4,4,1,2,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 7,1613,6,0,6,3,3,5,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 8,992,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 8,992,3,0,3,3,0,3,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 8,992,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 9,1510,10,4,6,5,5,9,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 9,1510,1,0,1,1,0,0,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 9,1510,9,4,5,6,2,5,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 10,1906,11,3,8,8,3,7,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 10,1906,11,2,9,8,2,10,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 10,1906,18,3,15,9,9,14,4
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 11,2578,10,4,6,8,1,9,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 11,2578,11,6,5,5,5,8,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 11,2578,10,2,8,7,3,6,4
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 12,805,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 12,805,3,1,2,1,2,3,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 12,805,7,0,6,5,2,4,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 14,300,4,3,1,4,0,2,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 14,300,2,2,0,1,1,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 14,300,4,2,2,3,0,2,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 15,283,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 15,283,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 15,283,1,1,0,0,1,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 17,435,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 17,435,1,0,1,0,1,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 17,435,1,0,1,1,0,0,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 18,1811,1,1,0,0,1,0,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 18,1811,6,1,5,2,3,5,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 18,1811,7,0,7,3,4,6,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 19,420,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 19,420,1,0,1,0,1,0,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 19,420,1,0,1,1,0,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 20,457,2,1,1,1,1,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 20,457,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 20,457,2,2,0,1,1,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 21,1204,3,0,3,1,2,3,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 21,1204,1,0,1,1,0,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 21,1204,1,0,1,1,0,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 22,1990,15,5,10,7,8,12,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 22,1990,13,7,6,6,5,9,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 22,1990,15,3,12,9,5,12,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 26,566,2,0,2,0,2,1,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 26,566,2,1,1,2,0,1,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 26,566,5,1,4,4,1,4,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 27,283,2,1,1,1,1,1,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 27,283,3,2,1,3,0,0,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 27,283,1,1,0,1,0,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 28,111,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 28,111,2,0,2,2,0,1,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 28,111,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 30,281,1,0,1,0,1,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 30,281,2,1,1,2,0,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 30,281,2,1,1,2,0,0,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 31,218,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 31,218,2,0,2,1,1,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 31,218,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 33,474,4,1,3,1,3,3,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 33,474,1,0,1,0,1,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 33,474,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 34,731,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 34,731,9,4,5,6,3,4,5
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 34,731,7,5,2,3,3,4,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 35,1067,4,4,0,3,1,0,4
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 35,1067,13,8,5,9,4,9,4
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 35,1067,9,8,1,5,3,3,6
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 37,1599,6,2,4,2,4,6,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 37,1599,10,6,4,5,4,5,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 37,1599,21,10,11,12,7,13,6
