tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,69,85.19%,91,77.78%,0,0.00%,160,80.81%,81,100.00%,117,100.00%,0,0.00%,198,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,19,90.48%,7,100.00%,11,91.67%,37,92.50%,21,100.00%,7,100.00%,12,100.00%,40,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,2,9.52%,0,0.00%,1,8.33%,3,7.50%,21,100.00%,7,100.00%,12,100.00%,40,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,15,75.00%,6,100.00%,9,75.00%,30,78.95%,20,100.00%,6,100.00%,12,100.00%,38,100.00%,1,1,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,5,25.00%,0,0.00%,3,25.00%,8,21.05%,20,100.00%,6,100.00%,12,100.00%,38,100.00%,1,1,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,6,21.43%,0,0.00%,5,14.71%,11,12.36%,28,100.00%,27,100.00%,34,100.00%,89,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,22,78.57%,27,100.00%,29,85.29%,78,87.64%,28,100.00%,27,100.00%,34,100.00%,89,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,19,79.17%,1,50.00%,1,25.00%,21,70.00%,24,100.00%,2,100.00%,4,100.00%,30,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,5,20.83%,1,50.00%,3,75.00%,9,30.00%,24,100.00%,2,100.00%,4,100.00%,30,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,20,83.33%,2,100.00%,4,100.00%,26,86.67%,24,100.00%,2,100.00%,4,100.00%,30,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,4,16.67%,0,0.00%,0,0.00%,4,13.33%,24,100.00%,2,100.00%,4,100.00%,30,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,13,39.39%,1,3.70%,4,22.22%,18,23.08%,33,100.00%,27,100.00%,18,100.00%,78,100.00%,0,0,0,0,0,0,1,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,20,60.61%,26,96.30%,14,77.78%,60,76.92%,33,100.00%,27,100.00%,18,100.00%,78,100.00%,0,0,0,0,0,0,1,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,69,89.61%,24,82.76%,27,96.43%,120,89.55%,77,100.00%,29,100.00%,28,100.00%,134,100.00%,1,0,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,8,10.39%,5,17.24%,1,3.57%,14,10.45%,77,100.00%,29,100.00%,28,100.00%,134,100.00%,1,0,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,63,86.30%,21,75.00%,19,70.37%,103,80.47%,73,100.00%,28,100.00%,27,100.00%,128,100.00%,5,1,2,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,10,13.70%,7,25.00%,8,29.63%,25,19.53%,73,100.00%,28,100.00%,27,100.00%,128,100.00%,5,1,2,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,30,38.46%,44,28.03%,34,33.01%,108,31.95%,78,100.00%,157,100.00%,103,100.00%,338,100.00%,2,8,5,15,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,48,61.54%,113,71.97%,69,66.99%,230,68.05%,78,100.00%,157,100.00%,103,100.00%,338,100.00%,2,8,5,15,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice of the Peace Precinct 3, Unexpired Term - Republican Party",Absentee Voting,Early Voting,Election Day Voting,"Dorothy ""Dot"" Wooten",,39,49.37%,46,28.40%,45,41.67%,130,37.25%,79,100.00%,162,100.00%,108,100.00%,349,100.00%,1,3,0,4,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice of the Peace Precinct 3, Unexpired Term - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Debra (Deb) Edwards,,40,50.63%,116,71.60%,63,58.33%,219,62.75%,79,100.00%,162,100.00%,108,100.00%,349,100.00%,1,3,0,4,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,57,69.51%,40,75.47%,14,77.78%,111,72.55%,82,100.00%,53,100.00%,18,100.00%,153,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,25,30.49%,13,24.53%,4,22.22%,42,27.45%,82,100.00%,53,100.00%,18,100.00%,153,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,49,65.33%,43,84.31%,13,76.47%,105,73.43%,75,100.00%,51,100.00%,17,100.00%,143,100.00%,7,3,2,12,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,26,34.67%,8,15.69%,4,23.53%,38,26.57%,75,100.00%,51,100.00%,17,100.00%,143,100.00%,7,3,2,12,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,38,31.40%,33,12.74%,11,8.27%,82,15.98%,121,100.00%,259,100.00%,133,100.00%,513,100.00%,0,0,0,0,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,83,68.60%,226,87.26%,122,91.73%,431,84.02%,121,100.00%,259,100.00%,133,100.00%,513,100.00%,0,0,0,0,1,0,0,1,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0

