id	precinct	office	district	party	candidate	votes	absentee	early_voting	election_day
69	Precinct 11				Over Votes	0	0	0	0
70	Precinct 11				Under Votes	328	7	274	47
71	Precinct 11	"State Representative, Dist 30"							
72	Precinct 11				REP AJ Louderback	372	8	305	59
73	Precinct 11				DEM Stephanie R. Bassham	192	11	125	56
74	Precinct 11				Over Votes	0	0	0	0
75	Precinct 11				Under Votes	46	0	37	9
76	Precinct 11	"Chief Justice, 13th Ct of App Dist"							
77	Precinct 11				REP Jaime Tijerina	369	8	302	59
78	Precinct 11				DEM Gina Benavides	189	11	124	54
79	Precinct 11				Over Votes	0	0	0	0
80	Precinct 11				Under Votes	52	0	41	11
81	Precinct 11	"Justice, 13th Ct of App Dist, Pl 2"							
82	Precinct 11				REP Jenny Cron	355	8	294	53
83	Precinct 11				DEM Nora Longoria	207	11	135	61
84	Precinct 11				Over Votes	0	0	0	0
85	Precinct 11				Under Votes	48	0	38	10
86	Precinct 11								
87	Precinct 11	"Justice, 13th Ct of App Dist, Pl 4"							
88	Precinct 11				REP Ysmael D. Fonseca	357	8	291	58
89	Precinct 11				DEM Joe Martinez	195	10	131	54
90	Precinct 11				Over Votes	0	0	0	0
91	Precinct 11				Under Votes	58	1	45	12
92	Precinct 11	"Justice, 13th Ct of App Dist, Pl 5"							
93	Precinct 11				REP Jon West	382	8	312	62
94	Precinct 11				DEM Regi Compian Richardson	171	11	113	47
95	Precinct 11				Over Votes	0	0	0	0
96	Precinct 11				Under Votes	57	0	42	15
97	Precinct 11	"Dist Judge, 24th Judicial Dist"							
98	Precinct 11				REP Lisa Harvey Moore	436	10	341	85
99	Precinct 11				Over Votes	0	0	0	0
100	Precinct 11				Under Votes	174	9	126	39
101	Precinct 11	"Dist Judge, 135th Judicial Dist"							
102	Precinct 11				REP Kemper Stephen Williams	429	7	338	84
103	Precinct 11				Over Votes	0	0	0	0
104	Precinct 11				Under Votes	181	12	129	40
105	Precinct 11	"Dist Attorney, 24th Judicial Dist"							
106	Precinct 11				REP Brian Michael Cromeens	430	9	338	83
107	Precinct 11				Over Votes	0	0	0	0
108	Precinct 11				Under Votes	180	10	129	41
109	Precinct 11								
110	Precinct 11	County Attorney							
111	Precinct 11				Write-ins	142	4	90	48
112	Precinct 11				Over Votes	0	0	0	0
113	Precinct 11				Under Votes	468	15	377	76
114	Precinct 11	Sheriff							
115	Precinct 11				REP Roy Boyd Jr	455	9	355	91
116	Precinct 11				Over Votes	0	0	0	0
117	Precinct 11				Under Votes	155	10	112	33
118	Precinct 11	County Tax Assessor-Collector							
119	Precinct 11				REP Michelle Garcia	464	11	357	96
120	Precinct 11				Over Votes	0	0	0	0
121	Precinct 11				Under Votes	146	8	110	28
122	Precinct 11	"County Commissioner, Precinct No. 1"							
123	Precinct 11				REP Kenneth Edwards	473	12	367	94
124	Precinct 11				Over Votes	0	0	0	0
125	Precinct 11				Under Votes	137	7	100	30
126	Precinct 11								
127	Precinct 11	"Constable, Precinct No. 1"							
128	Precinct 11				REP Kevin Story	435	9	336	90
129	Precinct 11				Over Votes	0	0	0	0
130	Precinct 11				Under Votes	175	10	131	34
131	Precinct 12								
132	Precinct 12	Registered Voters				509			
133	Precinct 12	Ballots Cast				365	12	242	111
134	Precinct 12	Ballots Cast - Blank				0	0	0	0
135	Precinct 12	President							
136	Precinct 12				REP Donald J. Trump	327	7	222	98
137	Precinct 12				DEM Kamala D. Harris	35	5	18	12
138	Precinct 12				LIB Chase Oliver	2	0	2	0
139	Precinct 12				GRN Jill Stein	1	0	0	1
140	Precinct 12				Write-ins	0	0	0	0
141	Precinct 12				Over Votes	0	0	0	0
142	Precinct 12				Under Votes	0	0	0	0
143	Precinct 12	U.S. Senate							
144	Precinct 12				REP Ted Cruz	316	7	215	94
145	Precinct 12				DEM Colin Allred	41	3	24	14
146	Precinct 12				LIB Ted Brown	4	1	1	2
147	Precinct 12				Write-ins	0	0	0	0
148	Precinct 12				Over Votes	0	0	0	0
149	Precinct 12				Under Votes	4	1	2	1
150	Precinct 12								
151	Precinct 12	"US Representative, Dist 27"							
152	Precinct 12				REP Michael Cloud	327	7	221	99
153	Precinct 12				DEM Tanya Lloyd	28	4	13	11
154	Precinct 12				Over Votes	0	0	0	0
155	Precinct 12				Under Votes	10	1	8	1
156	Precinct 12	Railroad Commissioner							
157	Precinct 12				REP Christi Craddick	306	7	211	88
158	Precinct 12				DEM Katherine Culbert	31	3	16	12
159	Precinct 12				LIB Hawk Dunlap	10	1	5	4
160	Precinct 12				GRN Eddie Espinoza	4	0	1	3
161	Precinct 12				Write-ins	0	0	0	0
162	Precinct 12				Over Votes	0	0	0	0
163	Precinct 12				Under Votes	14	1	9	4
164	Precinct 12	"Justice, Supreme Court, Pl 2"							
165	Precinct 12				REP Jimmy Blacklock	313	7	214	92
166	Precinct 12				DEM DaSean Jones	36	5	17	14
167	Precinct 12				Over Votes	0	0	0	0
168	Precinct 12				Under Votes	16	0	11	5
169	Precinct 12	"Justice, Supreme Court, Pl 4"							
170	Precinct 12				REP John Devine	316	7	214	95
171	Precinct 12				DEM Christine Vinh Weems	35	4	19	12
172	Precinct 12				Over Votes	0	0	0	0
173	Precinct 12				Under Votes	14	1	9	4
174	Precinct 12								
175	Precinct 12	"Justice, Supreme Court, Pl 6"							
176	Precinct 12				REP Jane Bland	308	7	209	92
177	Precinct 12				DEM Bonnie Lee Goldstein	32	2	17	13
178	Precinct 12				LIB J. David Roberson	9	2	5	2
179	Precinct 12				Over Votes	0	0	0	0
180	Precinct 12				Under Votes	16	1	11	4
181	Precinct 12	"Presiding Judge, Ct of Crim App"							
182	Precinct 12				REP David J. Schenck	314	8	215	91
183	Precinct 12				DEM Holly Taylor	36	4	17	15
184	Precinct 12				Over Votes	0	0	0	0
185	Precinct 12				Under Votes	15	0	10	5
186	Precinct 12	"Judge, Ct of Crim App, Pl 7"							
187	Precinct 12				REP Gina Parker	311	8	211	92
188	Precinct 12				DEM Nancy Mulder	33	3	18	12
189	Precinct 12				Over Votes	0	0	0	0
190	Precinct 12				Under Votes	21	1	13	7
191	Precinct 12	"Judge, Ct of Crim App, Pl 8"							
192	Precinct 12				REP Lee Finley	314	7	214	93
193	Precinct 12				DEM Chika Anyiam	33	4	17	12
194	Precinct 12				Over Votes	0	0	0	0
195	Precinct 12				Under Votes	18	1	11	6
196	Precinct 12								
197	Precinct 12	"Member, State BoE, Dist 3"							
198	Precinct 12				DEM Marisa Perez-Diaz	118	6	70	42
199	Precinct 12				Over Votes	0	0	0	0
200	Precinct 12				Under Votes	247	6	172	69
201	Precinct 12	"State Representative, Dist 30"							
202	Precinct 12				REP AJ Louderback	313	7	213	93
203	Precinct 12				DEM Stephanie R. Bassham	36	4	19	13
204	Precinct 12				Over Votes	0	0	0	0
205	Precinct 12				Under Votes	16	1	10	5
206	Precinct 12	"Chief Justice, 13th Ct of App Dist"							
207	Precinct 12				REP Jaime Tijerina	311	8	212	91
208	Precinct 12				DEM Gina Benavides	37	4	17	16
209	Precinct 12				Over Votes	0	0	0	0
210	Precinct 12				Under Votes	17	0	13	4
211	Precinct 12	"Justice, 13th Ct of App Dist, Pl 2"							
212	Precinct 12				REP Jenny Cron	306	7	212	87
213	Precinct 12				DEM Nora Longoria	40	4	17	19
214	Precinct 12				Over Votes	0	0	0	0
215	Precinct 12				Under Votes	19	1	13	5
216	Precinct 12								
217	Precinct 12	"Justice, 13th Ct of App Dist, Pl 4"							
218	Precinct 12				REP Ysmael D. Fonseca	313	9	212	92
219	Precinct 12				DEM Joe Martinez	33	2	17	14
220	Precinct 12				Over Votes	0	0	0	0
221	Precinct 12				Under Votes	19	1	13	5
222	Precinct 12	"Justice, 13th Ct of App Dist, Pl 5"							
223	Precinct 12				REP Jon West	314	9	213	92
224	Precinct 12				DEM Regi Compian Richardson	32	2	16	14
225	Precinct 12				Over Votes	0	0	0	0
226	Precinct 12				Under Votes	19	1	13	5
227	Precinct 12	"Dist Judge, 24th Judicial Dist"							
228	Precinct 12				REP Lisa Harvey Moore	325	11	216	98
229	Precinct 12				Over Votes	0	0	0	0
230	Precinct 12				Under Votes	40	1	26	13
231	Precinct 12	"Dist Judge, 135th Judicial Dist"							
232	Precinct 12				REP Kemper Stephen Williams	320	10	213	97
233	Precinct 12				Over Votes	0	0	0	0
234	Precinct 12				Under Votes	45	2	29	14
235	Precinct 12	"Dist Attorney, 24th Judicial Dist"							
236	Precinct 12				REP Brian Michael Cromeens	323	10	216	97
237	Precinct 12				Over Votes	0	0	0	0
238	Precinct 12				Under Votes	42	2	26	14
239	Precinct 12								
240	Precinct 12	County Attorney							
241	Precinct 12				Write-ins	73	6	47	20
242	Precinct 12				Over Votes	0	0	0	0
243	Precinct 12				Under Votes	292	6	195	91
244	Precinct 12	Sheriff							
245	Precinct 12				REP Roy Boyd Jr	327	11	215	101
246	Precinct 12				Over Votes	0	0	0	0
247	Precinct 12				Under Votes	38	1	27	10
248	Precinct 12	County Tax Assessor-Collector							
249	Precinct 12				REP Michelle Garcia	321	10	214	97
250	Precinct 12				Over Votes	0	0	0	0
251	Precinct 12				Under Votes	44	2	28	14
252	Precinct 12	"County Commissioner, Precinct No. 1"							
253	Precinct 12				REP Kenneth Edwards	308	8	202	98
254	Precinct 12				Over Votes	0	0	0	0
255	Precinct 12				Under Votes	57	4	40	13
256	Precinct 12								
257	Precinct 12	"Constable, Precinct No. 1"							
258	Precinct 12				REP Kevin Story	316	10	211	95
259	Precinct 12				Over Votes	0	0	0	0
260	Precinct 12				Under Votes	49	2	31	16
261	Precinct 21								
262	Precinct 21	Registered Voters				"1,184"			
263	Precinct 21	Ballots Cast				696	28	537	131
264	Precinct 21	Ballots Cast - Blank				0	0	0	0
265	Precinct 21	President							
266	Precinct 21				REP Donald J. Trump	448	11	349	88
267	Precinct 21				DEM Kamala D. Harris	236	16	179	41
268	Precinct 21				LIB Chase Oliver	4	0	2	2
269	Precinct 21				GRN Jill Stein	3	0	3	0
270	Precinct 21				Write-ins	1	0	1	0
271	Precinct 21				Over Votes	0	0	0	0
272	Precinct 21				Under Votes	4	1	3	0
273	Precinct 21	U.S. Senate							
274	Precinct 21				REP Ted Cruz	416	11	330	75
275	Precinct 21				DEM Colin Allred	250	17	183	50
276	Precinct 21				LIB Ted Brown	14	0	12	2
277	Precinct 21				Write-ins	1	0	1	0
278	Precinct 21				Over Votes	0	0	0	0
279	Precinct 21				Under Votes	15	0	11	4
280	Precinct 21								
281	Precinct 21	"US Representative, Dist 27"							
282	Precinct 21				REP Michael Cloud	441	11	358	72
283	Precinct 21				DEM Tanya Lloyd	219	17	158	44
284	Precinct 21				Over Votes	0	0	0	0
285	Precinct 21				Under Votes	36	0	21	15
286	Precinct 21	Railroad Commissioner							
287	Precinct 21				REP Christi Craddick	411	12	334	65
288	Precinct 21				DEM Katherine Culbert	208	15	153	40
289	Precinct 21				LIB Hawk Dunlap	12	0	8	4
290	Precinct 21				GRN Eddie Espinoza	12	0	8	4
291	Precinct 21				Write-ins	0	0	0	0
292	Precinct 21				Over Votes	0	0	0	0
293	Precinct 21				Under Votes	53	1	34	18
294	Precinct 21	"Justice, Supreme Court, Pl 2"							
295	Precinct 21				REP Jimmy Blacklock	427	12	344	71
296	Precinct 21				DEM DaSean Jones	218	15	162	41
297	Precinct 21				Over Votes	0	0	0	0
298	Precinct 21				Under Votes	51	1	31	19
299	Precinct 21	"Justice, Supreme Court, Pl 4"							
300	Precinct 21				REP John Devine	421	12	341	68
301	Precinct 21				DEM Christine Vinh Weems	221	15	164	42
302	Precinct 21				Over Votes	0	0	0	0
303	Precinct 21				Under Votes	54	1	32	21
304	Precinct 21								
305	Precinct 21	"Justice, Supreme Court, Pl 6"							
306	Precinct 21				REP Jane Bland	411	11	330	70
307	Precinct 21				DEM Bonnie Lee Goldstein	213	16	162	35
308	Precinct 21				LIB J. David Roberson	12	0	7	5
309	Precinct 21				Over Votes	0	0	0	0
310	Precinct 21				Under Votes	60	1	38	21
311	Precinct 21	"Presiding Judge, Ct of Crim App"							
312	Precinct 21				REP David J. Schenck	411	11	328	72
313	Precinct 21				DEM Holly Taylor	223	16	169	38
314	Precinct 21				Over Votes	0	0	0	0
315	Precinct 21				Under Votes	62	1	40	21
316	Precinct 21	"Judge, Ct of Crim App, Pl 7"							
317	Precinct 21				REP Gina Parker	418	11	333	74
318	Precinct 21				DEM Nancy Mulder	210	16	159	35
319	Precinct 21				Over Votes	0	0	0	0
320	Precinct 21				Under Votes	68	1	45	22
321	Precinct 21	"Judge, Ct of Crim App, Pl 8"							
322	Precinct 21				REP Lee Finley	425	11	342	72
323	Precinct 21				DEM Chika Anyiam	207	16	152	39
324	Precinct 21				Over Votes	0	0	0	0
325	Precinct 21				Under Votes	64	1	43	20
326	Precinct 21								
327	Precinct 21	"Member, State BoE, Dist 3"							
328	Precinct 21				DEM Marisa Perez-Diaz	326	17	246	63
329	Precinct 21				Over Votes	0	0	0	0
330	Precinct 21				Under Votes	370	11	291	68
331	Precinct 21	"State Representative, Dist 30"							
332	Precinct 21				REP AJ Louderback	422	11	339	72
333	Precinct 21				DEM Stephanie R. Bassham	222	16	166	40
334	Precinct 21				Over Votes	0	0	0	0
335	Precinct 21				Under Votes	52	1	32	19
336	Precinct 21	"Chief Justice, 13th Ct of App Dist"							
337	Precinct 21				REP Jaime Tijerina	403	11	324	68
338	Precinct 21				DEM Gina Benavides	223	16	162	45
339	Precinct 21				Over Votes	0	0	0	0
340	Precinct 21				Under Votes	70	1	51	18
341	Precinct 21	"Justice, 13th Ct of App Dist, Pl 2"							
342	Precinct 21				REP Jenny Cron	399	11	321	67
343	Precinct 21				DEM Nora Longoria	224	15	165	44
344	Precinct 21				Over Votes	0	0	0	0
345	Precinct 21				Under Votes	73	2	51	20
346	Precinct 21								
347	Precinct 21	"Justice, 13th Ct of App Dist, Pl 4"							
348	Precinct 21				REP Ysmael D. Fonseca	397	11	319	67
349	Precinct 21				DEM Joe Martinez	227	16	168	43
350	Precinct 21				Over Votes	0	0	0	0
351	Precinct 21				Under Votes	72	1	50	21
352	Precinct 21	"Justice, 13th Ct of App Dist, Pl 5"							
353	Precinct 21				REP Jon West	415	11	334	70
354	Precinct 21				DEM Regi Compian Richardson	204	16	149	39
355	Precinct 21				Over Votes	0	0	0	0
356	Precinct 21				Under Votes	77	1	54	22
357	Precinct 21	"Dist Judge, 24th Judicial Dist"							
358	Precinct 21				REP Lisa Harvey Moore	466	11	381	74
359	Precinct 21				Over Votes	0	0	0	0
360	Precinct 21				Under Votes	230	17	156	57
361	Precinct 21	"Dist Judge, 135th Judicial Dist"							
362	Precinct 21				REP Kemper Stephen Williams	482	11	394	77
363	Precinct 21				Over Votes	0	0	0	0
364	Precinct 21				Under Votes	214	17	143	54
365	Precinct 21	"Dist Attorney, 24th Judicial Dist"							
366	Precinct 21				REP Brian Michael Cromeens	469	11	383	75
367	Precinct 21				Over Votes	0	0	0	0
368	Precinct 21				Under Votes	227	17	154	56
369	Precinct 21								
370	Precinct 21	County Attorney							
371	Precinct 21				Write-ins	161	5	127	29
372	Precinct 21				Over Votes	0	0	0	0
373	Precinct 21				Under Votes	535	23	410	102
374	Precinct 21	Sheriff							
375	Precinct 21				REP Roy Boyd Jr	487	11	390	86
376	Precinct 21				Over Votes	0	0	0	0
377	Precinct 21				Under Votes	209	17	147	45
378	Precinct 21	County Tax Assessor-Collector							
379	Precinct 21				REP Michelle Garcia	513	14	409	90
380	Precinct 21				Over Votes	0	0	0	0
381	Precinct 21				Under Votes	183	14	128	41
382	Precinct 21	"Constable, Precinct No. 1"							
383	Precinct 21				REP Kevin Story	452	12	366	74
384	Precinct 21				Over Votes	0	0	0	0
385	Precinct 21				Under Votes	244	16	171	57
386	Precinct 22								
387	Precinct 22	Registered Voters				279			
388	Precinct 22	Ballots Cast				186	6	113	67
389	Precinct 22	Ballots Cast - Blank				0	0	0	0
390	Precinct 22	President							
391	Precinct 22				REP Donald J. Trump	150	3	102	45
392	Precinct 22				DEM Kamala D. Harris	35	3	11	21
393	Precinct 22				LIB Chase Oliver	1	0	0	1
394	Precinct 22				GRN Jill Stein	0	0	0	0
395	Precinct 22				Write-ins	0	0	0	0
396	Precinct 22				Over Votes	0	0	0	0
397	Precinct 22				Under Votes	0	0	0	0
398	Precinct 22	U.S. Senate							
399	Precinct 22				REP Ted Cruz	138	3	96	39
400	Precinct 22				DEM Colin Allred	40	3	12	25
401	Precinct 22				LIB Ted Brown	3	0	2	1
402	Precinct 22				Write-ins	0	0	0	0
403	Precinct 22				Over Votes	0	0	0	0
404	Precinct 22				Under Votes	5	0	3	2
405	Precinct 22								
406	Precinct 22	"US Representative, Dist 27"							
407	Precinct 22				REP Michael Cloud	137	3	96	38
408	Precinct 22				DEM Tanya Lloyd	37	3	11	23
409	Precinct 22				Over Votes	0	0	0	0
410	Precinct 22				Under Votes	12	0	6	6
411	Precinct 22	Railroad Commissioner							
412	Precinct 22				REP Christi Craddick	131	3	96	32
413	Precinct 22				DEM Katherine Culbert	36	3	10	23
414	Precinct 22				LIB Hawk Dunlap	6	0	2	4
415	Precinct 22				GRN Eddie Espinoza	4	0	1	3
416	Precinct 22				Write-ins	0	0	0	0
417	Precinct 22				Over Votes	0	0	0	0
418	Precinct 22				Under Votes	9	0	4	5
419	Precinct 22	"Justice, Supreme Court, Pl 2"							
420	Precinct 22				REP Jimmy Blacklock	138	3	96	39
421	Precinct 22				DEM DaSean Jones	36	3	12	21
422	Precinct 22				Over Votes	0	0	0	0
423	Precinct 22				Under Votes	12	0	5	7
424	Precinct 22	"Justice, Supreme Court, Pl 4"							
425	Precinct 22				REP John Devine	135	3	97	35
426	Precinct 22				DEM Christine Vinh Weems	37	3	11	23
427	Precinct 22				Over Votes	0	0	0	0
428	Precinct 22				Under Votes	14	0	5	9
429	Precinct 22								
430	Precinct 22	"Justice, Supreme Court, Pl 6"							
431	Precinct 22				REP Jane Bland	134	3	95	36
432	Precinct 22				DEM Bonnie Lee Goldstein	37	3	13	21
433	Precinct 22				LIB J. David Roberson	6	0	2	4
434	Precinct 22				Over Votes	0	0	0	0
435	Precinct 22				Under Votes	9	0	3	6
436	Precinct 22	"Presiding Judge, Ct of Crim App"							
437	Precinct 22				REP David J. Schenck	139	3	98	38
438	Precinct 22				DEM Holly Taylor	37	3	12	22
439	Precinct 22				Over Votes	0	0	0	0
440	Precinct 22				Under Votes	10	0	3	7
441	Precinct 22	"Judge, Ct of Crim App, Pl 7"							
442	Precinct 22				REP Gina Parker	140	3	99	38
443	Precinct 22				DEM Nancy Mulder	35	3	10	22
444	Precinct 22				Over Votes	0	0	0	0
445	Precinct 22				Under Votes	11	0	4	7
446	Precinct 22	"Judge, Ct of Crim App, Pl 8"							
447	Precinct 22				REP Lee Finley	138	3	98	37
448	Precinct 22				DEM Chika Anyiam	36	3	11	22
449	Precinct 22				Over Votes	0	0	0	0
450	Precinct 22				Under Votes	12	0	4	8
451	Precinct 22								
452	Precinct 22	"Member, State BoE, Dist 3"							
453	Precinct 22				DEM Marisa Perez-Diaz	67	3	28	36
454	Precinct 22				Over Votes	0	0	0	0
455	Precinct 22				Under Votes	119	3	85	31
456	Precinct 22	"State Representative, Dist 30"							
457	Precinct 22				REP AJ Louderback	137	3	98	36
458	Precinct 22				DEM Stephanie R. Bassham	35	3	8	24
459	Precinct 22				Over Votes	0	0	0	0
460	Precinct 22				Under Votes	14	0	7	7
461	Precinct 22	"Chief Justice, 13th Ct of App Dist"							
462	Precinct 22				REP Jaime Tijerina	133	3	96	34
463	Precinct 22				DEM Gina Benavides	40	3	10	27
464	Precinct 22				Over Votes	0	0	0	0
465	Precinct 22				Under Votes	13	0	7	6
466	Precinct 22	"Justice, 13th Ct of App Dist, Pl 2"							
467	Precinct 22				REP Jenny Cron	131	3	95	33
468	Precinct 22				DEM Nora Longoria	40	3	12	25
469	Precinct 22				Over Votes	0	0	0	0
470	Precinct 22				Under Votes	15	0	6	9
471	Precinct 22								
472	Precinct 22	"Justice, 13th Ct of App Dist, Pl 4"							
473	Precinct 22				REP Ysmael D. Fonseca	131	3	95	33
474	Precinct 22				DEM Joe Martinez	40	3	11	26
475	Precinct 22				Over Votes	0	0	0	0
476	Precinct 22				Under Votes	15	0	7	8
477	Precinct 22	"Justice, 13th Ct of App Dist, Pl 5"							
478	Precinct 22				REP Jon West	135	3	96	36
479	Precinct 22				DEM Regi Compian Richardson	36	2	10	24
480	Precinct 22				Over Votes	0	0	0	0
481	Precinct 22				Under Votes	15	1	7	7
482	Precinct 22	"Dist Judge, 24th Judicial Dist"							
483	Precinct 22				REP Lisa Harvey Moore	150	4	99	47
484	Precinct 22				Over Votes	0	0	0	0
485	Precinct 22				Under Votes	36	2	14	20
486	Precinct 22	"Dist Judge, 135th Judicial Dist"							
487	Precinct 22				REP Kemper Stephen Williams	149	4	99	46
488	Precinct 22				Over Votes	0	0	0	0
489	Precinct 22				Under Votes	37	2	14	21
490	Precinct 22	"Dist Attorney, 24th Judicial Dist"							
491	Precinct 22				REP Brian Michael Cromeens	149	4	100	45
492	Precinct 22				Over Votes	0	0	0	0
493	Precinct 22				Under Votes	37	2	13	22
494	Precinct 22								
495	Precinct 22	County Attorney							
496	Precinct 22				Write-ins	40	4	21	15
497	Precinct 22				Over Votes	0	0	0	0
498	Precinct 22				Under Votes	146	2	92	52
499	Precinct 22	Sheriff							
500	Precinct 22				REP Roy Boyd Jr	156	4	105	47
501	Precinct 22				Over Votes	0	0	0	0
502	Precinct 22				Under Votes	30	2	8	20
503	Precinct 22	County Tax Assessor-Collector							
504	Precinct 22				REP Michelle Garcia	158	5	101	52
505	Precinct 22				Over Votes	0	0	0	0
506	Precinct 22				Under Votes	28	1	12	15
507	Precinct 22	"Constable, Precinct No. 1"							
508	Precinct 22				REP Kevin Story	151	4	100	47
509	Precinct 22				Over Votes	0	0	0	0
510	Precinct 22				Under Votes	35	2	13	20
511	Precinct 31								
512	Precinct 31	Registered Voters				643			
513	Precinct 31	Ballots Cast				462	14	360	88
514	Precinct 31	Ballots Cast - Blank				0	0	0	0
515	Precinct 31	President							
516	Precinct 31				REP Donald J. Trump	369	11	297	61
517	Precinct 31				DEM Kamala D. Harris	84	3	57	24
518	Precinct 31				LIB Chase Oliver	3	0	2	1
519	Precinct 31				GRN Jill Stein	4	0	3	1
520	Precinct 31				Write-ins	0	0	0	0
521	Precinct 31				Over Votes	0	0	0	0
522	Precinct 31				Under Votes	2	0	1	1
523	Precinct 31	U.S. Senate							
524	Precinct 31				REP Ted Cruz	351	11	281	59
525	Precinct 31				DEM Colin Allred	94	3	66	25
526	Precinct 31				LIB Ted Brown	9	0	7	2
527	Precinct 31				Write-ins	1	0	0	1
528	Precinct 31				Over Votes	0	0	0	0
529	Precinct 31				Under Votes	7	0	6	1
530	Precinct 31								
531	Precinct 31	"US Representative, Dist 27"							
532	Precinct 31				REP Michael Cloud	358	11	288	59
533	Precinct 31				DEM Tanya Lloyd	84	3	56	25
534	Precinct 31				Over Votes	0	0	0	0
535	Precinct 31				Under Votes	20	0	16	4
536	Precinct 31	Railroad Commissioner							
537	Precinct 31				REP Christi Craddick	331	9	269	53
538	Precinct 31				DEM Katherine Culbert	77	4	51	22
539	Precinct 31				LIB Hawk Dunlap	14	1	12	1
540	Precinct 31				GRN Eddie Espinoza	17	0	10	7
541	Precinct 31				Write-ins	0	0	0	0
542	Precinct 31				Over Votes	2	0	1	1
543	Precinct 31				Under Votes	21	0	17	4
544	Precinct 31	"Justice, Supreme Court, Pl 2"							
545	Precinct 31				REP Jimmy Blacklock	349	11	284	54
546	Precinct 31				DEM DaSean Jones	87	3	55	29
547	Precinct 31				Over Votes	0	0	0	0
548	Precinct 31				Under Votes	26	0	21	5
549	Precinct 31	"Justice, Supreme Court, Pl 4"							
550	Precinct 31				REP John Devine	344	10	277	57
551	Precinct 31				DEM Christine Vinh Weems	90	4	59	27
552	Precinct 31				Over Votes	0	0	0	0
553	Precinct 31				Under Votes	28	0	24	4
554	Precinct 31								
555	Precinct 31	"Justice, Supreme Court, Pl 6"							
556	Precinct 31				REP Jane Bland	339	9	276	54
557	Precinct 31				DEM Bonnie Lee Goldstein	83	3	55	25
558	Precinct 31				LIB J. David Roberson	14	2	7	5
559	Precinct 31				Over Votes	0	0	0	0
560	Precinct 31				Under Votes	26	0	22	4
