political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_name,reg_voters,race_name,candidate_name,early_votes,election_votes
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"PLACE 6, JUSTICE, SUPREME COURT, UNEXPIRED TERM - DEM",Lawrence Edward Meyers,76,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"PLACE 7, JUSTICE, SUPREME COURT - DEM",Gina Benavides,77,142
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"PLACE 3, JUDGE, COURT OF CRIMINAL APPEALS - DEM",John Granberg,76,139
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT - DEM",Diane Henson,79,143
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 147TH JUDICIAL DISTRICT - DEM",Cliff Brown,77,147
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 201ST JUDICIAL DISTRICT - DEM",Amy Clark Meachum,75,141
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 250TH JUDICIAL DISTRICT - DEM",Karin Crump,74,143
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 261ST JUDICIAL DISTRICT - DEM",Lora Livingston,76,144
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 299TH JUDICIAL DISTRICT - DEM",Karen Sage,75,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 331ST JUDICIAL DISTRICT - DEM",David Crain,76,143
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 403RD JUDICIAL DISTRICT - DEM",Brenda P. Kennedy,79,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT JUDGE, 419TH JUDICIAL DISTRICT - DEM",Orlinda Naranjo,71,135
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY JUDGE - DEM,Sarah Eckhardt,40,60
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY JUDGE - DEM,Andy Brown,45,95
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 1, JUDGE - DEM",Todd Wong,76,142
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 2, JUDGE - DEM",Eric Montgomery Shepperd,74,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 3, JUDGE - DEM",John Lipscombe,50,91
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 3, JUDGE - DEM",Paul Evans,29,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 4, JUDGE - DEM",Mike Denton,77,143
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 5, JUDGE - DEM",Nancy Hohengarten,77,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 6, JUDGE - DEM",Brandy Mueller,75,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"COUNTY COURT AT LAW 7, JUDGE - DEM",Elisabeth Earle,76,141
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"JUDGE, COUNTY PROBATE COURT - DEM",Guy Herman,75,140
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,DISTRICT CLERK - DEM,Velva L. Price,76,141
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY CLERK - DEM,Dana DeBeauvoir,76,143
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY TREASURER - DEM,Ramey Ko,32,57
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY TREASURER - DEM,Dolores Ortega Carter,48,94
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COUNTY CHAIRMAN - DEM,Jan Soifer,74,142
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,IMMIGRATION REFORM,For,74,136
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,IMMIGRATION REFORM,Against,10,20
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,A LIVING WAGE FOR ALL TEXANS,For,81,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,A LIVING WAGE FOR ALL TEXANS,Against,5,14
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,MEDICAID EXPANSION,For,77,146
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,MEDICAID EXPANSION,Against,9,11
Travis County Republican Primary Election,3/4/2014,Joint General Election,8,6,101,4348,NON-DISCRIMINATION LEGISLATION,For,84,148
Travis County Republican Primary Election,3/4/2014,Joint General Election,8,6,101,4348,NON-DISCRIMINATION LEGISLATION,Against,1,10
CONGRESSIONAL DISTRICT 17 - D,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT 17, UNITED STATES REPRESENTATIVE - DEM",Nick Haynes,22,26
Federal Ballots - DEM,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,12,13
Federal Ballots - DEM,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Harry Kim,2,4
Federal Ballots - DEM,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Kesha Rogers,3,6
Federal Ballots - DEM,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",0,0
Federal Ballots - DEM,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,David M. Alameel,8,8
JUSTICE OF THE PEACE 1 - D,3/4/2014,Joint General Election,4,4,102,938,"PRECINCT 1, JUSTICE OF THE PEACE - DEM",Yvonne M. Williams,22,30
LEGISLATIVE DISTRICT 50 - D,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT 50, STATE REPRESENTATIVE - DEM",Celia Israel,24,30
SENATE DISTRICT 14 - D,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT 14, STATE SENATOR - DEM",Kirk Watson,23,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,12,13
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Harry Kim,2,4
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,Kesha Rogers,3,6
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",0,0
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,UNITED STATES SENATOR - DEM,David M. Alameel,8,8
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,GOVERNOR - DEM,"Reynaldo ""Ray"" Madrigal",1,0
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,GOVERNOR - DEM,Wendy R. Davis,24,31
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,LIEUTENANT GOVERNOR - DEM,Leticia Van de Putte,24,31
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,ATTORNEY GENERAL - DEM,Sam Houston,23,28
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COMPTROLLER OF PUBLIC ACCOUNTS - DEM,Mike Collier,23,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COMMISSIONER OF THE GENERAL LAND OFFICE - DEM,John Cook,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COMMISSIONER OF AGRICULTURE - DEM,"Richard ""Kinky"" Friedman",12,13
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COMMISSIONER OF AGRICULTURE - DEM,Jim Hogan,7,9
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COMMISSIONER OF AGRICULTURE - DEM,Hugh Asa Fitzsimons III,5,6
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,RAILROAD COMMISSIONER - DEM,Dale Henry,10,9
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,RAILROAD COMMISSIONER - DEM,Steve Brown,11,16
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"CHIEF JUSTICE, SUPREME COURT - DEM",William Moody,22,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"PLACE 6, JUSTICE, SUPREME COURT, UNEXPIRED TERM - DEM",Lawrence Edward Meyers,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"PLACE 7, JUSTICE, SUPREME COURT - DEM",Gina Benavides,23,27
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"PLACE 3, JUDGE, COURT OF CRIMINAL APPEALS - DEM",John Granberg,23,28
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT - DEM",Diane Henson,23,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 147TH JUDICIAL DISTRICT - DEM",Cliff Brown,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 201ST JUDICIAL DISTRICT - DEM",Amy Clark Meachum,23,31
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 250TH JUDICIAL DISTRICT - DEM",Karin Crump,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 261ST JUDICIAL DISTRICT - DEM",Lora Livingston,23,31
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 299TH JUDICIAL DISTRICT - DEM",Karen Sage,23,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 331ST JUDICIAL DISTRICT - DEM",David Crain,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 403RD JUDICIAL DISTRICT - DEM",Brenda P. Kennedy,23,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"DISTRICT JUDGE, 419TH JUDICIAL DISTRICT - DEM",Orlinda Naranjo,23,26
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY JUDGE - DEM,Sarah Eckhardt,14,22
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY JUDGE - DEM,Andy Brown,11,9
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 1, JUDGE - DEM",Todd Wong,23,28
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 2, JUDGE - DEM",Eric Montgomery Shepperd,23,28
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 3, JUDGE - DEM",John Lipscombe,16,15
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 3, JUDGE - DEM",Paul Evans,6,9
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 4, JUDGE - DEM",Mike Denton,23,27
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 5, JUDGE - DEM",Nancy Hohengarten,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 6, JUDGE - DEM",Brandy Mueller,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"COUNTY COURT AT LAW 7, JUDGE - DEM",Elisabeth Earle,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,"JUDGE, COUNTY PROBATE COURT - DEM",Guy Herman,22,26
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,DISTRICT CLERK - DEM,Velva L. Price,23,27
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY CLERK - DEM,Dana DeBeauvoir,23,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY TREASURER - DEM,Ramey Ko,14,14
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY TREASURER - DEM,Dolores Ortega Carter,11,17
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,COUNTY CHAIRMAN - DEM,Jan Soifer,23,28
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,IMMIGRATION REFORM,For,22,27
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,IMMIGRATION REFORM,Against,3,3
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,A LIVING WAGE FOR ALL TEXANS,For,22,29
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,A LIVING WAGE FOR ALL TEXANS,Against,3,2
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,MEDICAID EXPANSION,For,25,30
Travis County Democratic Primary Election,3/4/2014,Joint General Election,4,4,102,938,MEDICAID EXPANSION,Against,0,1
Travis County Republican Primary Election,3/4/2014,Joint General Election,4,4,102,938,NON-DISCRIMINATION LEGISLATION,For,24,29
Travis County Republican Primary Election,3/4/2014,Joint General Election,4,4,102,938,NON-DISCRIMINATION LEGISLATION,Against,1,2
CONGRESSIONAL DISTRICT 10 - D,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT 10, UNITED STATES REPRESENTATIVE - DEM",Tawana Walter-Cadien,51,55
Federal Ballots - DEM,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,22,23
Federal Ballots - DEM,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Harry Kim,3,2
Federal Ballots - DEM,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Kesha Rogers,5,8
Federal Ballots - DEM,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",4,2
Federal Ballots - DEM,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,David M. Alameel,24,32
JUSTICE OF THE PEACE 1 - D,3/4/2014,Joint General Election,6,6,103,1599,"PRECINCT 1, JUSTICE OF THE PEACE - DEM",Yvonne M. Williams,55,55
LEGISLATIVE DISTRICT 50 - D,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT 50, STATE REPRESENTATIVE - DEM",Celia Israel,56,60
SENATE DISTRICT 14 - D,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT 14, STATE SENATOR - DEM",Kirk Watson,57,62
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,22,23
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Harry Kim,3,2
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,Kesha Rogers,5,8
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",4,2
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,UNITED STATES SENATOR - DEM,David M. Alameel,24,32
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,GOVERNOR - DEM,"Reynaldo ""Ray"" Madrigal",4,0
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,GOVERNOR - DEM,Wendy R. Davis,54,72
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,LIEUTENANT GOVERNOR - DEM,Leticia Van de Putte,57,63
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,ATTORNEY GENERAL - DEM,Sam Houston,53,57
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COMPTROLLER OF PUBLIC ACCOUNTS - DEM,Mike Collier,55,58
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COMMISSIONER OF THE GENERAL LAND OFFICE - DEM,John Cook,54,58
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COMMISSIONER OF AGRICULTURE - DEM,"Richard ""Kinky"" Friedman",20,38
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COMMISSIONER OF AGRICULTURE - DEM,Jim Hogan,14,15
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COMMISSIONER OF AGRICULTURE - DEM,Hugh Asa Fitzsimons III,24,16
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,RAILROAD COMMISSIONER - DEM,Dale Henry,17,20
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,RAILROAD COMMISSIONER - DEM,Steve Brown,42,44
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"CHIEF JUSTICE, SUPREME COURT - DEM",William Moody,54,49
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"PLACE 6, JUSTICE, SUPREME COURT, UNEXPIRED TERM - DEM",Lawrence Edward Meyers,54,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"PLACE 7, JUSTICE, SUPREME COURT - DEM",Gina Benavides,51,53
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"PLACE 3, JUDGE, COURT OF CRIMINAL APPEALS - DEM",John Granberg,54,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT - DEM",Diane Henson,54,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 147TH JUDICIAL DISTRICT - DEM",Cliff Brown,55,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 201ST JUDICIAL DISTRICT - DEM",Amy Clark Meachum,55,57
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 250TH JUDICIAL DISTRICT - DEM",Karin Crump,54,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 261ST JUDICIAL DISTRICT - DEM",Lora Livingston,55,57
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 299TH JUDICIAL DISTRICT - DEM",Karen Sage,55,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 331ST JUDICIAL DISTRICT - DEM",David Crain,55,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 403RD JUDICIAL DISTRICT - DEM",Brenda P. Kennedy,56,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"DISTRICT JUDGE, 419TH JUDICIAL DISTRICT - DEM",Orlinda Naranjo,53,50
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY JUDGE - DEM,Sarah Eckhardt,23,38
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY JUDGE - DEM,Andy Brown,36,34
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 1, JUDGE - DEM",Todd Wong,54,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 2, JUDGE - DEM",Eric Montgomery Shepperd,55,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 3, JUDGE - DEM",John Lipscombe,35,43
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 3, JUDGE - DEM",Paul Evans,20,22
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 4, JUDGE - DEM",Mike Denton,53,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 5, JUDGE - DEM",Nancy Hohengarten,52,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 6, JUDGE - DEM",Brandy Mueller,53,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"COUNTY COURT AT LAW 7, JUDGE - DEM",Elisabeth Earle,56,55
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,"JUDGE, COUNTY PROBATE COURT - DEM",Guy Herman,54,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,DISTRICT CLERK - DEM,Velva L. Price,56,54
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY CLERK - DEM,Dana DeBeauvoir,57,60
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY TREASURER - DEM,Ramey Ko,28,27
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY TREASURER - DEM,Dolores Ortega Carter,30,39
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,COUNTY CHAIRMAN - DEM,Jan Soifer,53,56
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,IMMIGRATION REFORM,For,53,64
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,IMMIGRATION REFORM,Against,7,8
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,A LIVING WAGE FOR ALL TEXANS,For,57,69
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,A LIVING WAGE FOR ALL TEXANS,Against,3,1
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,MEDICAID EXPANSION,For,54,67
Travis County Democratic Primary Election,3/4/2014,Joint General Election,6,6,103,1599,MEDICAID EXPANSION,Against,4,4
Travis County Republican Primary Election,3/4/2014,Joint General Election,6,6,103,1599,NON-DISCRIMINATION LEGISLATION,For,54,68
Travis County Republican Primary Election,3/4/2014,Joint General Election,6,6,103,1599,NON-DISCRIMINATION LEGISLATION,Against,6,3
CONGRESSIONAL DISTRICT 10 - D,3/4/2014,Joint General Election,7,7,104,1205,"DISTRICT 10, UNITED STATES REPRESENTATIVE - DEM",Tawana Walter-Cadien,61,44
Federal Ballots - DEM,3/4/2014,Joint General Election,7,7,104,1205,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,22,15
Federal Ballots - DEM,3/4/2014,Joint General Election,7,7,104,1205,UNITED STATES SENATOR - DEM,Harry Kim,12,6
Federal Ballots - DEM,3/4/2014,Joint General Election,7,7,104,1205,UNITED STATES SENATOR - DEM,Kesha Rogers,5,8
