Political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_code,early_votes,election_votes
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,292,259
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 4",John Devine,REP,347,215
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,289,257
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 6",Jeff Brown,REP,342,219
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,291,253
San Patricio County,11/6/2018,General Election,,,102,2522,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,331,208
San Patricio County,11/6/2018,General Election,,,102,2522,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,299,252
San Patricio County,11/6/2018,General Election,,,102,2522,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,6,12
San Patricio County,11/6/2018,General Election,,,102,2522,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,344,222
San Patricio County,11/6/2018,General Election,,,102,2522,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,290,249
San Patricio County,11/6/2018,General Election,,,102,2522,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,387,255
San Patricio County,11/6/2018,General Election,,,102,2522,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,97,96
San Patricio County,11/6/2018,General Election,,,102,2522,"Member, State Board of Education, District No. 2","Charles ""Tad"" Hasse",REP,335,205
San Patricio County,11/6/2018,General Election,,,102,2522,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,305,268
San Patricio County,11/6/2018,General Election,,,102,2522,"State Representative, District No. 43",J.M. Lozano,REP,364,235
San Patricio County,11/6/2018,General Election,,,102,2522,"State Representative, District No. 43",Dee Ann Torres Miller,DEM,277,243
San Patricio County,11/6/2018,General Election,,,102,2522,"Chief Justice, 13th Court of Appeals District",Ernie Aliseda,REP,337,211
San Patricio County,11/6/2018,General Election,,,102,2522,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,297,262
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 2",Greg Perkes,REP,331,210
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,307,265
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 4",Jaime Tijerina,REP,335,216
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,297,255
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 5",Clarissa Silva,REP,342,220
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,292,255
San Patricio County,11/6/2018,General Election,,,102,2522,"District Judge, 36th Judicial District",Starr Bauer,REP,399,289
San Patricio County,11/6/2018,General Election,,,102,2522,"District Judge, 156th Judicial District",Patrick L. Flanigan,REP,399,277
San Patricio County,11/6/2018,General Election,,,102,2522,County Judge,David R. Krebs,REP,393,280
San Patricio County,11/6/2018,General Election,,,102,2522,"Judge, County Court-at-Law",Elizabeth Welborn,REP,395,283
San Patricio County,11/6/2018,General Election,,,102,2522,District Clerk,Heather Marks,REP,396,276
San Patricio County,11/6/2018,General Election,,,102,2522,County Clerk,Gracie Alaniz-Gonzales,DEM,385,320
San Patricio County,11/6/2018,General Election,,,102,2522,County Treasurer,Denise Janak,REP,397,277
San Patricio County,11/6/2018,General Election,,,102,2522,County Surveyor,Julius Petrus,REP,392,280
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice of the Peace, Precinct No. 2","Daniel ""Danny"" Garza",DEM,396,332
San Patricio County,11/6/2018,General Election,,,103,12,Straight-Party,Republican Party,REP,2,4
San Patricio County,11/6/2018,General Election,,,103,12,Straight-Party,Democratic Party,DEM,0,0
