01870032022000215   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032030000065   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032043000252   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032074000114   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032089000042   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032128000088   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01880011013000088NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011026000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011029000214NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011030000002NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011031000156NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011032000211NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011035000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011088000088NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011090000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011096000003NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012011000224NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012012000125NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012015000162NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012016000113NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012017000095NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012019000156NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012020000202NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012021000272NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012022000155NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
