political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,partycode,early_votes,election_votes
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,270,82
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 6",Jeff Brown,REP,1796,649
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,269,73
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,1779,635
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,264,76
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,26,13
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,1810,645
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,255,79
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,1823,651
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,160,58
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"State Senator, District 31",Kel Seliger,REP,1785,643
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"State Senator, District 31",Jack B. Westbrook,LIB,206,70
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"State Representative, District 86",John Smithee,REP,1796,642
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"State Representative, District 86",Mike Purcell,DEM,265,83
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, 7th Court of Appeals District, Place 2",Judy Parker,REP,1870,675
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, 7th Court of Appeals District, Place 3",Pat Pirtle,REP,1864,672
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"District Judge, 47th Judicial District",Dan L. Schaap,REP,1864,669
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"District Judge, 181st Judicial District",John B. Board,REP,1859,669
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"District Judge, 251st Judicial District",Ana Elizabeth Estevez,REP,1859,674
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Criminal District Attorney,Robert Love,REP,1857,670
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,County Judge,Ernie Houdashell,REP,1865,673
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, County Court at Law 1",James W. Anderson,REP,1861,671
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Judge, County Court at Law 2",Matt Martindale,REP,1860,671
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,District Clerk,Joel Forbis,REP,1855,670
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,County Clerk,Susan Allen,REP,1856,670
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,County Treasurer,Angie Parker,REP,1858,668
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice of the Peace, Precinct 4",Clay Houdashell,REP,1852,672
Randall County,11/6/2018,General Election,11,5,111,4845,Straight Party,Republican Party,REP,803,270
Randall County,11/6/2018,General Election,11,5,111,4845,Straight Party,Democratic Party,DEM,267,156
Randall County,11/6/2018,General Election,11,5,111,4845,Straight Party,Libertarian Party,LIB,6,5
Randall County,11/6/2018,General Election,11,5,111,4845,United States Senator,Ted Cruz,REP,1016,338
Randall County,11/6/2018,General Election,11,5,111,4845,United States Senator,Beto O'Rourke,DEM,420,236
Randall County,11/6/2018,General Election,11,5,111,4845,United States Senator,Neal M. Dikeman,LIB,8,9
Randall County,11/6/2018,General Election,11,5,111,4845,"United States Representative, District 13",Mac Thornberry,REP,1057,386
Randall County,11/6/2018,General Election,11,5,111,4845,"United States Representative, District 13",Greg Sagan,DEM,358,186
Randall County,11/6/2018,General Election,11,5,111,4845,"United States Representative, District 13",Calvin DeWeese,LIB,22,10
Randall County,11/6/2018,General Election,11,5,111,4845,Governor,Greg Abbott,REP,1056,384
Randall County,11/6/2018,General Election,11,5,111,4845,Governor,Lupe Valdez,DEM,370,184
Randall County,11/6/2018,General Election,11,5,111,4845,Governor,Mark Jay Tippetts,LIB,18,15
Randall County,11/6/2018,General Election,11,5,111,4845,Lieutenant Governor,Dan Patrick,REP,1020,348
Randall County,11/6/2018,General Election,11,5,111,4845,Lieutenant Governor,Mike Collier,DEM,390,211
Randall County,11/6/2018,General Election,11,5,111,4845,Lieutenant Governor,Kerry Douglas McKennon,LIB,28,21
Randall County,11/6/2018,General Election,11,5,111,4845,Attorney General,Ken Paxton,REP,990,359
Randall County,11/6/2018,General Election,11,5,111,4845,Attorney General,Justin Nelson,DEM,418,205
Randall County,11/6/2018,General Election,11,5,111,4845,Attorney General,Michael Ray Harris,LIB,25,16
Randall County,11/6/2018,General Election,11,5,111,4845,Comptroller of Public Accounts,Glenn Hegar,REP,1023,353
Randall County,11/6/2018,General Election,11,5,111,4845,Comptroller of Public Accounts,Joi Chevalier,DEM,368,197
Randall County,11/6/2018,General Election,11,5,111,4845,Comptroller of Public Accounts,Ben Sanders,LIB,41,28
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of the General Land Office,George P. Bush,REP,1025,362
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of the General Land Office,Miguel Suazo,DEM,368,196
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of the General Land Office,Matt Pina,LIB,44,24
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of Agriculture,Sid Miller,REP,1016,358
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of Agriculture,Kim Olson,DEM,389,202
Randall County,11/6/2018,General Election,11,5,111,4845,Commissioner of Agriculture,Richard Carpenter,LIB,28,17
Randall County,11/6/2018,General Election,11,5,111,4845,Railroad Commissioner,Christi Craddick,REP,1013,360
Randall County,11/6/2018,General Election,11,5,111,4845,Railroad Commissioner,Roman McAllen,DEM,387,198
Randall County,11/6/2018,General Election,11,5,111,4845,Railroad Commissioner,Mike Wright,LIB,29,19
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,1017,368
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,418,208
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 4",John Devine,REP,1026,371
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,408,206
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 6",Jeff Brown,REP,1032,364
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,401,213
Randall County,11/6/2018,General Election,11,5,111,4845,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,1011,354
Randall County,11/6/2018,General Election,11,5,111,4845,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,383,201
Randall County,11/6/2018,General Election,11,5,111,4845,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,38,22
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,1021,363
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,410,212
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,1081,403
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,232,122
Randall County,11/6/2018,General Election,11,5,111,4845,"State Senator, District 31",Kel Seliger,REP,1086,412
Randall County,11/6/2018,General Election,11,5,111,4845,"State Senator, District 31",Jack B. Westbrook,LIB,236,122
Randall County,11/6/2018,General Election,11,5,111,4845,"State Representative, District 86",John Smithee,REP,1025,372
Randall County,11/6/2018,General Election,11,5,111,4845,"State Representative, District 86",Mike Purcell,DEM,405,208
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, 7th Court of Appeals District, Place 2",Judy Parker,REP,1176,468
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice, 7th Court of Appeals District, Place 3",Pat Pirtle,REP,1164,463
Randall County,11/6/2018,General Election,11,5,111,4845,"District Judge, 47th Judicial District",Dan L. Schaap,REP,1160,461
Randall County,11/6/2018,General Election,11,5,111,4845,"District Judge, 181st Judicial District",John B. Board,REP,1160,461
Randall County,11/6/2018,General Election,11,5,111,4845,"District Judge, 251st Judicial District",Ana Elizabeth Estevez,REP,1175,466
Randall County,11/6/2018,General Election,11,5,111,4845,Criminal District Attorney,Robert Love,REP,1153,461
Randall County,11/6/2018,General Election,11,5,111,4845,County Judge,Ernie Houdashell,REP,1161,461
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, County Court at Law 1",James W. Anderson,REP,1154,462
Randall County,11/6/2018,General Election,11,5,111,4845,"Judge, County Court at Law 2",Matt Martindale,REP,1162,459
Randall County,11/6/2018,General Election,11,5,111,4845,District Clerk,Joel Forbis,REP,1152,456
Randall County,11/6/2018,General Election,11,5,111,4845,County Clerk,Susan Allen,REP,1154,463
Randall County,11/6/2018,General Election,11,5,111,4845,County Treasurer,Angie Parker,REP,1155,458
Randall County,11/6/2018,General Election,11,5,111,4845,"Justice of the Peace, Precinct 4",Clay Houdashell,REP,1159,459
Randall County,11/6/2018,General Election,13,3,112,4009,Straight Party,Republican Party,REP,518,231
Randall County,11/6/2018,General Election,13,3,112,4009,Straight Party,Democratic Party,DEM,184,87
Randall County,11/6/2018,General Election,13,3,112,4009,Straight Party,Libertarian Party,LIB,5,4
Randall County,11/6/2018,General Election,13,3,112,4009,United States Senator,Ted Cruz,REP,705,307
Randall County,11/6/2018,General Election,13,3,112,4009,United States Senator,Beto O'Rourke,DEM,303,137
Randall County,11/6/2018,General Election,13,3,112,4009,United States Senator,Neal M. Dikeman,LIB,12,7
Randall County,11/6/2018,General Election,13,3,112,4009,"United States Representative, District 13",Mac Thornberry,REP,721,323
Randall County,11/6/2018,General Election,13,3,112,4009,"United States Representative, District 13",Greg Sagan,DEM,278,112
Randall County,11/6/2018,General Election,13,3,112,4009,"United States Representative, District 13",Calvin DeWeese,LIB,18,14
Randall County,11/6/2018,General Election,13,3,112,4009,Governor,Greg Abbott,REP,718,316
Randall County,11/6/2018,General Election,13,3,112,4009,Governor,Lupe Valdez,DEM,274,121
Randall County,11/6/2018,General Election,13,3,112,4009,Governor,Mark Jay Tippetts,LIB,25,12
Randall County,11/6/2018,General Election,13,3,112,4009,Lieutenant Governor,Dan Patrick,REP,699,300
Randall County,11/6/2018,General Election,13,3,112,4009,Lieutenant Governor,Mike Collier,DEM,286,132
Randall County,11/6/2018,General Election,13,3,112,4009,Lieutenant Governor,Kerry Douglas McKennon,LIB,29,16
Randall County,11/6/2018,General Election,13,3,112,4009,Attorney General,Ken Paxton,REP,692,297
Randall County,11/6/2018,General Election,13,3,112,4009,Attorney General,Justin Nelson,DEM,284,134
Randall County,11/6/2018,General Election,13,3,112,4009,Attorney General,Michael Ray Harris,LIB,37,17
Randall County,11/6/2018,General Election,13,3,112,4009,Comptroller of Public Accounts,Glenn Hegar,REP,691,301
Randall County,11/6/2018,General Election,13,3,112,4009,Comptroller of Public Accounts,Joi Chevalier,DEM,273,115
Randall County,11/6/2018,General Election,13,3,112,4009,Comptroller of Public Accounts,Ben Sanders,LIB,47,30
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of the General Land Office,George P. Bush,REP,690,304
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of the General Land Office,Miguel Suazo,DEM,278,115
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of the General Land Office,Matt Pina,LIB,44,26
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of Agriculture,Sid Miller,REP,688,301
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of Agriculture,Kim Olson,DEM,288,119
Randall County,11/6/2018,General Election,13,3,112,4009,Commissioner of Agriculture,Richard Carpenter,LIB,36,26
Randall County,11/6/2018,General Election,13,3,112,4009,Railroad Commissioner,Christi Craddick,REP,711,303
Randall County,11/6/2018,General Election,13,3,112,4009,Railroad Commissioner,Roman McAllen,DEM,267,111
Randall County,11/6/2018,General Election,13,3,112,4009,Railroad Commissioner,Mike Wright,LIB,36,32
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,708,308
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,300,139
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 4",John Devine,REP,711,316
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,300,130
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 6",Jeff Brown,REP,713,312
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,296,134
Randall County,11/6/2018,General Election,13,3,112,4009,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,697,294
Randall County,11/6/2018,General Election,13,3,112,4009,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,275,125
Randall County,11/6/2018,General Election,13,3,112,4009,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,39,28
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,715,311
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,294,134
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,730,322
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,198,93
Randall County,11/6/2018,General Election,13,3,112,4009,"State Senator, District 31",Kel Seliger,REP,726,324
Randall County,11/6/2018,General Election,13,3,112,4009,"State Senator, District 31",Jack B. Westbrook,LIB,220,93
Randall County,11/6/2018,General Election,13,3,112,4009,"State Representative, District 86",John Smithee,REP,724,313
Randall County,11/6/2018,General Election,13,3,112,4009,"State Representative, District 86",Mike Purcell,DEM,284,129
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, 7th Court of Appeals District, Place 2",Judy Parker,REP,801,363
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice, 7th Court of Appeals District, Place 3",Pat Pirtle,REP,803,358
Randall County,11/6/2018,General Election,13,3,112,4009,"District Judge, 47th Judicial District",Dan L. Schaap,REP,801,361
Randall County,11/6/2018,General Election,13,3,112,4009,"District Judge, 181st Judicial District",John B. Board,REP,800,362
Randall County,11/6/2018,General Election,13,3,112,4009,"District Judge, 251st Judicial District",Ana Elizabeth Estevez,REP,802,364
Randall County,11/6/2018,General Election,13,3,112,4009,Criminal District Attorney,Robert Love,REP,791,360
Randall County,11/6/2018,General Election,13,3,112,4009,County Judge,Ernie Houdashell,REP,797,359
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, County Court at Law 1",James W. Anderson,REP,786,359
Randall County,11/6/2018,General Election,13,3,112,4009,"Judge, County Court at Law 2",Matt Martindale,REP,791,361
Randall County,11/6/2018,General Election,13,3,112,4009,District Clerk,Joel Forbis,REP,786,357
Randall County,11/6/2018,General Election,13,3,112,4009,County Clerk,Susan Allen,REP,790,357
Randall County,11/6/2018,General Election,13,3,112,4009,County Treasurer,Angie Parker,REP,787,357
Randall County,11/6/2018,General Election,13,3,112,4009,"Justice of the Peace, Precinct 4",Clay Houdashell,REP,788,357
Randall County,11/6/2018,General Election,12,4,114,3236,Straight Party,Republican Party,REP,526,243
Randall County,11/6/2018,General Election,12,4,114,3236,Straight Party,Democratic Party,DEM,171,71
Randall County,11/6/2018,General Election,12,4,114,3236,Straight Party,Libertarian Party,LIB,6,5
Randall County,11/6/2018,General Election,12,4,114,3236,United States Senator,Ted Cruz,REP,744,315
Randall County,11/6/2018,General Election,12,4,114,3236,United States Senator,Beto O'Rourke,DEM,286,110
Randall County,11/6/2018,General Election,12,4,114,3236,United States Senator,Neal M. Dikeman,LIB,9,7
Randall County,11/6/2018,General Election,12,4,114,3236,"United States Representative, District 13",Mac Thornberry,REP,772,330
Randall County,11/6/2018,General Election,12,4,114,3236,"United States Representative, District 13",Greg Sagan,DEM,250,92
Randall County,11/6/2018,General Election,12,4,114,3236,"United States Representative, District 13",Calvin DeWeese,LIB,16,12
Randall County,11/6/2018,General Election,12,4,114,3236,Governor,Greg Abbott,REP,765,335
Randall County,11/6/2018,General Election,12,4,114,3236,Governor,Lupe Valdez,DEM,260,89
Randall County,11/6/2018,General Election,12,4,114,3236,Governor,Mark Jay Tippetts,LIB,16,10
Randall County,11/6/2018,General Election,12,4,114,3236,Lieutenant Governor,Dan Patrick,REP,719,310
Randall County,11/6/2018,General Election,12,4,114,3236,Lieutenant Governor,Mike Collier,DEM,285,111
Randall County,11/6/2018,General Election,12,4,114,3236,Lieutenant Governor,Kerry Douglas McKennon,LIB,30,11
Randall County,11/6/2018,General Election,12,4,114,3236,Attorney General,Ken Paxton,REP,720,321
Randall County,11/6/2018,General Election,12,4,114,3236,Attorney General,Justin Nelson,DEM,288,101
Randall County,11/6/2018,General Election,12,4,114,3236,Attorney General,Michael Ray Harris,LIB,29,11
Randall County,11/6/2018,General Election,12,4,114,3236,Comptroller of Public Accounts,Glenn Hegar,REP,733,315
Randall County,11/6/2018,General Election,12,4,114,3236,Comptroller of Public Accounts,Joi Chevalier,DEM,259,89
Randall County,11/6/2018,General Election,12,4,114,3236,Comptroller of Public Accounts,Ben Sanders,LIB,39,27
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of the General Land Office,George P. Bush,REP,743,318
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of the General Land Office,Miguel Suazo,DEM,259,98
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of the General Land Office,Matt Pina,LIB,30,16
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of Agriculture,Sid Miller,REP,728,318
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of Agriculture,Kim Olson,DEM,279,102
Randall County,11/6/2018,General Election,12,4,114,3236,Commissioner of Agriculture,Richard Carpenter,LIB,22,12
Randall County,11/6/2018,General Election,12,4,114,3236,Railroad Commissioner,Christi Craddick,REP,743,319
Randall County,11/6/2018,General Election,12,4,114,3236,Railroad Commissioner,Roman McAllen,DEM,258,96
Randall County,11/6/2018,General Election,12,4,114,3236,Railroad Commissioner,Mike Wright,LIB,25,16
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,751,327
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,284,102
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 4",John Devine,REP,750,324
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,278,102
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 6",Jeff Brown,REP,746,327
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,284,102
Randall County,11/6/2018,General Election,12,4,114,3236,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,727,315
Randall County,11/6/2018,General Election,12,4,114,3236,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,268,98
Randall County,11/6/2018,General Election,12,4,114,3236,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,33,15
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,761,324
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,262,104
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,784,336
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,161,72
Randall County,11/6/2018,General Election,12,4,114,3236,"State Senator, District 31",Kel Seliger,REP,790,340
Randall County,11/6/2018,General Election,12,4,114,3236,"State Senator, District 31",Jack B. Westbrook,LIB,182,77
Randall County,11/6/2018,General Election,12,4,114,3236,"State Representative, District 86",John Smithee,REP,759,327
Randall County,11/6/2018,General Election,12,4,114,3236,"State Representative, District 86",Mike Purcell,DEM,273,103
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, 7th Court of Appeals District, Place 2",Judy Parker,REP,856,372
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice, 7th Court of Appeals District, Place 3",Pat Pirtle,REP,851,371
Randall County,11/6/2018,General Election,12,4,114,3236,"District Judge, 47th Judicial District",Dan L. Schaap,REP,838,368
Randall County,11/6/2018,General Election,12,4,114,3236,"District Judge, 181st Judicial District",John B. Board,REP,835,369
Randall County,11/6/2018,General Election,12,4,114,3236,"District Judge, 251st Judicial District",Ana Elizabeth Estevez,REP,841,373
Randall County,11/6/2018,General Election,12,4,114,3236,Criminal District Attorney,Robert Love,REP,834,369
Randall County,11/6/2018,General Election,12,4,114,3236,County Judge,Ernie Houdashell,REP,840,367
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, County Court at Law 1",James W. Anderson,REP,829,364
Randall County,11/6/2018,General Election,12,4,114,3236,"Judge, County Court at Law 2",Matt Martindale,REP,840,367
Randall County,11/6/2018,General Election,12,4,114,3236,District Clerk,Joel Forbis,REP,829,365
Randall County,11/6/2018,General Election,12,4,114,3236,County Clerk,Susan Allen,REP,826,366
Randall County,11/6/2018,General Election,12,4,114,3236,County Treasurer,Angie Parker,REP,826,365
Randall County,11/6/2018,General Election,12,4,114,3236,"Justice of the Peace, Precinct 4",Clay Houdashell,REP,836,364
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Straight Party,Republican Party,REP,336,102
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Straight Party,Democratic Party,DEM,107,45
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Straight Party,Libertarian Party,LIB,6,4
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,United States Senator,Ted Cruz,REP,484,136
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,United States Senator,Beto O'Rourke,DEM,185,72
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,United States Senator,Neal M. Dikeman,LIB,4,2
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,"United States Representative, District 13",Mac Thornberry,REP,485,143
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,"United States Representative, District 13",Greg Sagan,DEM,142,58
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,"United States Representative, District 13",Calvin DeWeese,LIB,18,6
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Governor,Greg Abbott,REP,496,143
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Governor,Lupe Valdez,DEM,164,58
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Governor,Mark Jay Tippetts,LIB,13,7
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Lieutenant Governor,Dan Patrick,REP,464,134
Randall County,11/6/2018,General Election,24,2,123 CISD,1561,Lieutenant Governor,Mike Collier,DEM,177,65
