01880011013000120NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011026000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011029000312NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011030000004NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011031000219NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011032000315NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011035000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011088000134NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011090000000NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880011096000003NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012011000301NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012012000185NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012015000219NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012016000156NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012017000135NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012019000226NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012020000304NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012021000354NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012022000199NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012030000068NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012043000295NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012074000119NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012089000028NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012128000095NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880021013000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021026000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021029000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021030000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021031000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021032000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021035000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021088000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021090000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021096000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022011000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022012000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022015000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022016000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022017000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022019000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
