political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,ATTORNEY GENERAL,GEORGE P. BUSH,,24,21
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,ATTORNEY GENERAL,KEN PAXTON,,46,75
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,25,46
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,43,50
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,50,71
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,108,3881,RAILROAD COMMISSIONER,SARAH STOGNER,,18,24
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,ATTORNEY GENERAL,GEORGE P. BUSH,,9,18
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,ATTORNEY GENERAL,KEN PAXTON,,8,57
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,5,27
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,12,42
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,11,45
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,109,3072,RAILROAD COMMISSIONER,SARAH STOGNER,,5,25
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,ATTORNEY GENERAL,GEORGE P. BUSH,,3,10
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,ATTORNEY GENERAL,KEN PAXTON,,11,32
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,4,13
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,10,29
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,7,27
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,110,1872,RAILROAD COMMISSIONER,SARAH STOGNER,,7,16
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,ATTORNEY GENERAL,GEORGE P. BUSH,,4,3
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,ATTORNEY GENERAL,KEN PAXTON,,6,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,5,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,5,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,8,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,111,213,RAILROAD COMMISSIONER,SARAH STOGNER,,2,3
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,ATTORNEY GENERAL,GEORGE P. BUSH,,0,3
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,ATTORNEY GENERAL,KEN PAXTON,,3,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,1,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,2,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,3,5
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,112,1768,RAILROAD COMMISSIONER,SARAH STOGNER,,0,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,ATTORNEY GENERAL,GEORGE P. BUSH,,3,5
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,ATTORNEY GENERAL,KEN PAXTON,,3,21
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,2,11
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,4,14
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,5,19
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,113,2489,RAILROAD COMMISSIONER,SARAH STOGNER,,1,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,ATTORNEY GENERAL,GEORGE P. BUSH,,3,14
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,ATTORNEY GENERAL,KEN PAXTON,,19,58
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,11,25
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,11,44
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,18,47
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,114,2282,RAILROAD COMMISSIONER,SARAH STOGNER,,4,20
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,ATTORNEY GENERAL,GEORGE P. BUSH,,22,40
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,ATTORNEY GENERAL,KEN PAXTON,,38,134
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,15,63
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,44,101
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,46,128
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,115,4828,RAILROAD COMMISSIONER,SARAH STOGNER,,13,38
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,ATTORNEY GENERAL,GEORGE P. BUSH,,25,27
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,ATTORNEY GENERAL,KEN PAXTON,,57,115
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,28,54
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,50,77
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,59,99
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,116,3112,RAILROAD COMMISSIONER,SARAH STOGNER,,18,36
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,ATTORNEY GENERAL,GEORGE P. BUSH,,1,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,ATTORNEY GENERAL,KEN PAXTON,,13,15
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,7,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,7,12
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,11,11
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,117,584,RAILROAD COMMISSIONER,SARAH STOGNER,,2,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,ATTORNEY GENERAL,GEORGE P. BUSH,,2,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,ATTORNEY GENERAL,KEN PAXTON,,17,55
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,3,34
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,15,29
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,10,52
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,118,3122,RAILROAD COMMISSIONER,SARAH STOGNER,,9,11
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,ATTORNEY GENERAL,GEORGE P. BUSH,,11,22
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,ATTORNEY GENERAL,KEN PAXTON,,18,42
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,10,19
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,18,39
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,21,36
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,119,1221,RAILROAD COMMISSIONER,SARAH STOGNER,,6,21
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,ATTORNEY GENERAL,GEORGE P. BUSH,,4,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,ATTORNEY GENERAL,KEN PAXTON,,8,27
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,7,12
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,5,21
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,12,23
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,120,743,RAILROAD COMMISSIONER,SARAH STOGNER,,0,10
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,ATTORNEY GENERAL,GEORGE P. BUSH,,6,13
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,ATTORNEY GENERAL,KEN PAXTON,,26,44
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,15,19
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,17,34
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,18,38
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,121,2173,RAILROAD COMMISSIONER,SARAH STOGNER,,13,17
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,ATTORNEY GENERAL,GEORGE P. BUSH,,1,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,ATTORNEY GENERAL,KEN PAXTON,,0,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,1,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,0,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,122,26,RAILROAD COMMISSIONER,SARAH STOGNER,,1,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,ATTORNEY GENERAL,GEORGE P. BUSH,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,ATTORNEY GENERAL,KEN PAXTON,,3,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,2,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,1,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,3,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,123,116,RAILROAD COMMISSIONER,SARAH STOGNER,,0,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,ATTORNEY GENERAL,GEORGE P. BUSH,,8,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,ATTORNEY GENERAL,KEN PAXTON,,12,45
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,8,15
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,11,33
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,11,31
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,124,3475,RAILROAD COMMISSIONER,SARAH STOGNER,,8,19
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,ATTORNEY GENERAL,GEORGE P. BUSH,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,ATTORNEY GENERAL,KEN PAXTON,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,0,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,125,51,RAILROAD COMMISSIONER,SARAH STOGNER,,0,0
