political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Commissioner of the General Land Office,DEM,Jay Kleberg,0,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Lieutenant Governor,DEM,Mike Collier,3,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Lieutenant Governor,DEM,Michelle Beckley,4,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Attorney General,DEM,Joe Jaworski,2,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Attorney General,DEM,Rochelle Mercedes Garza,5,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Comptroller of Public Accounts,DEM,Janet T. Dudding,4,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Comptroller of Public Accounts,DEM,Angel Luis Vega,3,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Commissioner of the General Land Office,DEM,Jay Kleberg,2,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,9 - BS3,1033,Commissioner of the General Land Office,DEM,Sandragrace Martinez,5,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Lieutenant Governor,DEM,Mike Collier,2,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Lieutenant Governor,DEM,Michelle Beckley,0,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Attorney General,DEM,Joe Jaworski,1,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Attorney General,DEM,Rochelle Mercedes Garza,1,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Comptroller of Public Accounts,DEM,Janet T. Dudding,1,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Commissioner of the General Land Office,DEM,Jay Kleberg,2,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,10 - BS3,1037,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Lieutenant Governor,DEM,Mike Collier,13,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Lieutenant Governor,DEM,Michelle Beckley,18,14
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Attorney General,DEM,Joe Jaworski,16,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Attorney General,DEM,Rochelle Mercedes Garza,15,20
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Comptroller of Public Accounts,DEM,Janet T. Dudding,21,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Comptroller of Public Accounts,DEM,Angel Luis Vega,10,14
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Commissioner of the General Land Office,DEM,Jay Kleberg,19,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,11 - BS4,3448,Commissioner of the General Land Office,DEM,Sandragrace Martinez,10,19
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Lieutenant Governor,DEM,Mike Collier,20,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Lieutenant Governor,DEM,Michelle Beckley,8,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Attorney General,DEM,Joe Jaworski,23,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Attorney General,DEM,Rochelle Mercedes Garza,5,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Comptroller of Public Accounts,DEM,Janet T. Dudding,18,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Comptroller of Public Accounts,DEM,Angel Luis Vega,10,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Commissioner of the General Land Office,DEM,Jay Kleberg,25,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,12 - BS4,3782,Commissioner of the General Land Office,DEM,Sandragrace Martinez,3,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Lieutenant Governor,DEM,Mike Collier,26,21
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Lieutenant Governor,DEM,Michelle Beckley,9,21
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Attorney General,DEM,Joe Jaworski,25,13
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Attorney General,DEM,Rochelle Mercedes Garza,9,30
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Comptroller of Public Accounts,DEM,Janet T. Dudding,26,29
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,13
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Commissioner of the General Land Office,DEM,Jay Kleberg,27,20
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,13 - BS4,4571,Commissioner of the General Land Office,DEM,Sandragrace Martinez,7,22
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Lieutenant Governor,DEM,Mike Collier,24,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Lieutenant Governor,DEM,Michelle Beckley,11,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Attorney General,DEM,Joe Jaworski,16,14
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Attorney General,DEM,Rochelle Mercedes Garza,19,16
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Comptroller of Public Accounts,DEM,Janet T. Dudding,27,17
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,13
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Commissioner of the General Land Office,DEM,Jay Kleberg,18,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,14 - BS3,5023,Commissioner of the General Land Office,DEM,Sandragrace Martinez,17,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Lieutenant Governor,DEM,Mike Collier,3,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Lieutenant Governor,DEM,Michelle Beckley,4,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Attorney General,DEM,Joe Jaworski,4,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Attorney General,DEM,Rochelle Mercedes Garza,3,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Comptroller of Public Accounts,DEM,Janet T. Dudding,7,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Commissioner of the General Land Office,DEM,Jay Kleberg,6,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,15 - BS3,2488,Commissioner of the General Land Office,DEM,Sandragrace Martinez,1,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Lieutenant Governor,DEM,Mike Collier,3,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Lieutenant Governor,DEM,Michelle Beckley,6,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Attorney General,DEM,Joe Jaworski,4,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Attorney General,DEM,Rochelle Mercedes Garza,5,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Comptroller of Public Accounts,DEM,Janet T. Dudding,7,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Comptroller of Public Accounts,DEM,Angel Luis Vega,2,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Commissioner of the General Land Office,DEM,Jay Kleberg,3,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,16 - BS4,2070,Commissioner of the General Land Office,DEM,Sandragrace Martinez,6,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Lieutenant Governor,DEM,Mike Collier,17,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Lieutenant Governor,DEM,Michelle Beckley,18,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Attorney General,DEM,Joe Jaworski,11,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Attorney General,DEM,Rochelle Mercedes Garza,24,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Comptroller of Public Accounts,DEM,Janet T. Dudding,19,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Comptroller of Public Accounts,DEM,Angel Luis Vega,16,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Commissioner of the General Land Office,DEM,Jay Kleberg,14,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,Commissioner of the General Land Office,DEM,Sandragrace Martinez,21,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,"Precinct Chair, Pct. 17",DEM,Melanie Oldham,14,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,17 - BS3,3107,"Precinct Chair, Pct. 17",DEM,Mario Muraira,22,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Lieutenant Governor,DEM,Mike Collier,11,17
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Lieutenant Governor,DEM,Michelle Beckley,11,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Attorney General,DEM,Joe Jaworski,14,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Attorney General,DEM,Rochelle Mercedes Garza,9,17
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Comptroller of Public Accounts,DEM,Janet T. Dudding,16,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Comptroller of Public Accounts,DEM,Angel Luis Vega,6,13
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Commissioner of the General Land Office,DEM,Jay Kleberg,12,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,18 - BS4,4791,Commissioner of the General Land Office,DEM,Sandragrace Martinez,9,14
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Lieutenant Governor,DEM,Mike Collier,9,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Lieutenant Governor,DEM,Michelle Beckley,8,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Attorney General,DEM,Joe Jaworski,5,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Attorney General,DEM,Rochelle Mercedes Garza,12,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Comptroller of Public Accounts,DEM,Janet T. Dudding,5,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Comptroller of Public Accounts,DEM,Angel Luis Vega,12,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Commissioner of the General Land Office,DEM,Jay Kleberg,5,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,19 - BS3,2362,Commissioner of the General Land Office,DEM,Sandragrace Martinez,12,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Lieutenant Governor,DEM,Mike Collier,6,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Lieutenant Governor,DEM,Michelle Beckley,3,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Attorney General,DEM,Joe Jaworski,3,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Attorney General,DEM,Rochelle Mercedes Garza,6,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Comptroller of Public Accounts,DEM,Janet T. Dudding,7,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Comptroller of Public Accounts,DEM,Angel Luis Vega,2,4
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Commissioner of the General Land Office,DEM,Jay Kleberg,5,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,20 - BS3,1570,Commissioner of the General Land Office,DEM,Sandragrace Martinez,4,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Lieutenant Governor,DEM,Mike Collier,18,19
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Lieutenant Governor,DEM,Michelle Beckley,21,18
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Attorney General,DEM,Joe Jaworski,15,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Attorney General,DEM,Rochelle Mercedes Garza,25,26
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Comptroller of Public Accounts,DEM,Janet T. Dudding,28,25
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Comptroller of Public Accounts,DEM,Angel Luis Vega,12,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Commissioner of the General Land Office,DEM,Jay Kleberg,16,18
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,21 - BS4,4945,Commissioner of the General Land Office,DEM,Sandragrace Martinez,24,19
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Lieutenant Governor,DEM,Mike Collier,16,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Lieutenant Governor,DEM,Michelle Beckley,11,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Attorney General,DEM,Joe Jaworski,14,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Attorney General,DEM,Rochelle Mercedes Garza,16,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Comptroller of Public Accounts,DEM,Janet T. Dudding,19,11
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Commissioner of the General Land Office,DEM,Jay Kleberg,20,8
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,22 - BS3,4117,Commissioner of the General Land Office,DEM,Sandragrace Martinez,10,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,23 - BS3,4531,Lieutenant Governor,DEM,Mike Collier,11,5
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,23 - BS3,4531,Lieutenant Governor,DEM,Michelle Beckley,16,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,23 - BS3,4531,Attorney General,DEM,Joe Jaworski,13,3
