political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Comptroller of Public Accounts,DEM,Janet T. Dudding,6,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Commissioner of the General Land Office,DEM,Jay Kleberg,2,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Commissioner of the General Land Office,DEM,Sandragrace Martinez,5,1
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Attorney General,REP,George P. Bush,39,24
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Attorney General,REP,Ken Paxton,75,70
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Commissioner of the General Land Office,REP,Tim Westley,23,18
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Commissioner of the General Land Office,REP,Dawn Buckingham,90,73
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Railroad Commissioner,REP,Wayne Christian,81,60
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Railroad Commissioner,REP,Sarah Stogner,30,31
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,"State Senator, District No. 24",REP,Raul Reyes,38,35
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,"State Senator, District No. 24",REP,Pete Flores,76,57
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Lieutenant Governor,DEM,Mike Collier,1,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Lieutenant Governor,DEM,Michelle Beckley,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Attorney General,DEM,Rochelle Mercedes Garza,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Attorney General,DEM,Joe Jaworski,1,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Commissioner of the General Land Office,DEM,Jay Kleberg,1,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,2
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Attorney General,REP,George P. Bush,6,13
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Attorney General,REP,Ken Paxton,7,33
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Commissioner of the General Land Office,REP,Tim Westley,4,9
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Commissioner of the General Land Office,REP,Dawn Buckingham,9,36
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Railroad Commissioner,REP,Wayne Christian,8,31
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,Railroad Commissioner,REP,Sarah Stogner,5,10
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,"State Senator, District No. 24",REP,Raul Reyes,5,19
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,103,373,"State Senator, District No. 24",REP,Pete Flores,8,25
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Lieutenant Governor,DEM,Mike Collier,20,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Lieutenant Governor,DEM,Michelle Beckley,18,17
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Attorney General,DEM,Rochelle Mercedes Garza,23,18
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Attorney General,DEM,Joe Jaworski,15,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Comptroller of Public Accounts,DEM,Angel Luis Vega,14,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Comptroller of Public Accounts,DEM,Janet T. Dudding,24,18
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Commissioner of the General Land Office,DEM,Jay Kleberg,19,14
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Commissioner of the General Land Office,DEM,Sandragrace Martinez,19,14
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Attorney General,REP,George P. Bush,45,60
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Attorney General,REP,Ken Paxton,85,84
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Commissioner of the General Land Office,REP,Tim Westley,26,24
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Commissioner of the General Land Office,REP,Dawn Buckingham,103,120
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Railroad Commissioner,REP,Wayne Christian,88,80
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,Railroad Commissioner,REP,Sarah Stogner,39,61
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,"State Senator, District No. 24",REP,Raul Reyes,40,56
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,104,5337,"State Senator, District No. 24",REP,Pete Flores,89,88
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Lieutenant Governor,DEM,Mike Collier,12,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Lieutenant Governor,DEM,Michelle Beckley,2,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Attorney General,DEM,Rochelle Mercedes Garza,6,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Attorney General,DEM,Joe Jaworski,8,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Comptroller of Public Accounts,DEM,Angel Luis Vega,2,5
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Comptroller of Public Accounts,DEM,Janet T. Dudding,12,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Commissioner of the General Land Office,DEM,Jay Kleberg,7,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,205,2448,Commissioner of the General Land Office,DEM,Sandragrace Martinez,7,2
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Attorney General,REP,George P. Bush,27,32
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Attorney General,REP,Ken Paxton,88,81
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Commissioner of the General Land Office,REP,Tim Westley,28,22
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Commissioner of the General Land Office,REP,Dawn Buckingham,88,92
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Railroad Commissioner,REP,Wayne Christian,77,67
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,Railroad Commissioner,REP,Sarah Stogner,37,46
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,"State Senator, District No. 24",REP,Raul Reyes,35,41
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",1,0,205,2448,"State Senator, District No. 24",REP,Pete Flores,77,73
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Lieutenant Governor,DEM,Mike Collier,7,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Lieutenant Governor,DEM,Michelle Beckley,5,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Attorney General,DEM,Rochelle Mercedes Garza,10,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Attorney General,DEM,Joe Jaworski,2,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Comptroller of Public Accounts,DEM,Angel Luis Vega,4,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Comptroller of Public Accounts,DEM,Janet T. Dudding,8,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Commissioner of the General Land Office,DEM,Jay Kleberg,3,7
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Commissioner of the General Land Office,DEM,Sandragrace Martinez,9,7
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Attorney General,REP,George P. Bush,22,16
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Attorney General,REP,Ken Paxton,25,17
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Commissioner of the General Land Office,REP,Tim Westley,14,4
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Commissioner of the General Land Office,REP,Dawn Buckingham,32,31
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Railroad Commissioner,REP,Wayne Christian,29,22
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,Railroad Commissioner,REP,Sarah Stogner,17,11
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,"State Senator, District No. 24",REP,Raul Reyes,23,10
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,206,3850,"State Senator, District No. 24",REP,Pete Flores,23,23
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Lieutenant Governor,DEM,Mike Collier,24,12
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Lieutenant Governor,DEM,Michelle Beckley,23,22
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Attorney General,DEM,Rochelle Mercedes Garza,31,24
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Attorney General,DEM,Joe Jaworski,17,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Comptroller of Public Accounts,DEM,Angel Luis Vega,12,15
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Comptroller of Public Accounts,DEM,Janet T. Dudding,35,18
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Commissioner of the General Land Office,DEM,Jay Kleberg,24,15
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Commissioner of the General Land Office,DEM,Sandragrace Martinez,23,19
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Attorney General,REP,George P. Bush,50,44
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Attorney General,REP,Ken Paxton,83,67
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Commissioner of the General Land Office,REP,Tim Westley,37,27
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Commissioner of the General Land Office,REP,Dawn Buckingham,96,84
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Railroad Commissioner,REP,Wayne Christian,77,57
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,Railroad Commissioner,REP,Sarah Stogner,53,51
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,"State Senator, District No. 24",REP,Raul Reyes,46,45
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,207,4983,"State Senator, District No. 24",REP,Pete Flores,86,65
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Lieutenant Governor,DEM,Mike Collier,16,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Lieutenant Governor,DEM,Michelle Beckley,11,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Attorney General,DEM,Rochelle Mercedes Garza,14,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Attorney General,DEM,Joe Jaworski,13,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Comptroller of Public Accounts,DEM,Angel Luis Vega,8,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Comptroller of Public Accounts,DEM,Janet T. Dudding,19,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Commissioner of the General Land Office,DEM,Jay Kleberg,18,5
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Commissioner of the General Land Office,DEM,Sandragrace Martinez,8,2
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Attorney General,REP,George P. Bush,76,67
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Attorney General,REP,Ken Paxton,147,139
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Commissioner of the General Land Office,REP,Tim Westley,46,49
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Commissioner of the General Land Office,REP,Dawn Buckingham,175,155
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Railroad Commissioner,REP,Wayne Christian,144,109
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,Railroad Commissioner,REP,Sarah Stogner,71,90
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,"State Senator, District No. 24",REP,Raul Reyes,65,76
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,308,4302,"State Senator, District No. 24",REP,Pete Flores,155,124
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Lieutenant Governor,DEM,Mike Collier,0,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Lieutenant Governor,DEM,Michelle Beckley,0,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Attorney General,DEM,Rochelle Mercedes Garza,0,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Attorney General,DEM,Joe Jaworski,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Commissioner of the General Land Office,DEM,Jay Kleberg,0,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,2
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Attorney General,REP,George P. Bush,11,17
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Attorney General,REP,Ken Paxton,18,31
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Commissioner of the General Land Office,REP,Tim Westley,3,10
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Commissioner of the General Land Office,REP,Dawn Buckingham,26,37
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Railroad Commissioner,REP,Wayne Christian,17,29
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,Railroad Commissioner,REP,Sarah Stogner,12,17
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,"State Senator, District No. 24",REP,Raul Reyes,14,17
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,309,710,"State Senator, District No. 24",REP,Pete Flores,15,31
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Lieutenant Governor,DEM,Mike Collier,3,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Lieutenant Governor,DEM,Michelle Beckley,3,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Attorney General,DEM,Rochelle Mercedes Garza,5,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Attorney General,DEM,Joe Jaworski,1,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Comptroller of Public Accounts,DEM,Angel Luis Vega,4,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Comptroller of Public Accounts,DEM,Janet T. Dudding,2,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Commissioner of the General Land Office,DEM,Jay Kleberg,3,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Commissioner of the General Land Office,DEM,Sandragrace Martinez,3,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Attorney General,REP,George P. Bush,5,10
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Attorney General,REP,Ken Paxton,12,28
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Commissioner of the General Land Office,REP,Tim Westley,7,13
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Commissioner of the General Land Office,REP,Dawn Buckingham,10,25
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Railroad Commissioner,REP,Wayne Christian,13,24
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,Railroad Commissioner,REP,Sarah Stogner,4,14
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,"State Senator, District No. 24",REP,Raul Reyes,9,13
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,310,863,"State Senator, District No. 24",REP,Pete Flores,8,25
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Lieutenant Governor,DEM,Mike Collier,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Lieutenant Governor,DEM,Michelle Beckley,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Attorney General,DEM,Rochelle Mercedes Garza,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Attorney General,DEM,Joe Jaworski,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Attorney General,REP,George P. Bush,1,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Attorney General,REP,Ken Paxton,4,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Commissioner of the General Land Office,REP,Tim Westley,1,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Commissioner of the General Land Office,REP,Dawn Buckingham,4,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Railroad Commissioner,REP,Wayne Christian,3,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,Railroad Commissioner,REP,Sarah Stogner,1,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,"State Senator, District No. 24",REP,Raul Reyes,0,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,311,677,"State Senator, District No. 24",REP,Pete Flores,4,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Lieutenant Governor,DEM,Mike Collier,18,5
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Lieutenant Governor,DEM,Michelle Beckley,15,13
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Attorney General,DEM,Rochelle Mercedes Garza,19,16
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Attorney General,DEM,Joe Jaworski,14,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Comptroller of Public Accounts,DEM,Angel Luis Vega,9,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Comptroller of Public Accounts,DEM,Janet T. Dudding,24,12
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Commissioner of the General Land Office,DEM,Jay Kleberg,15,3
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Commissioner of the General Land Office,DEM,Sandragrace Martinez,18,15
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Attorney General,REP,George P. Bush,27,25
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Attorney General,REP,Ken Paxton,62,39
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Commissioner of the General Land Office,REP,Tim Westley,16,14
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Commissioner of the General Land Office,REP,Dawn Buckingham,73,50
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Railroad Commissioner,REP,Wayne Christian,51,37
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,Railroad Commissioner,REP,Sarah Stogner,35,26
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,"State Senator, District No. 24",REP,Raul Reyes,32,18
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,"State Senator, District No. 24",REP,Pete Flores,55,46
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,"County Commissioner, Precinct No. 4",REP,Keith Taylor,38,29
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,412,3493,"County Commissioner, Precinct No. 4",REP,Ray Ashby Jr,50,32
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Lieutenant Governor,DEM,Mike Collier,6,13
