political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted ,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes 
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Attorney General,Ken Paxton,,35,23
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Attorney General,George P. Bush,,7,8
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Commissioner of the General Land Office,Dawn Buckingham,,25,19
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Commissioner of the General Land Office,Tim Westley,,11,8
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Railroad Commissioner,Wayne Christian,,29,15
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,Railroad Commissioner,Sarah Stogner,,10,15
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,"Precinct Chairman, Precinct 4",Shaydie Jo Meza,,24,8
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - A,1142,0,"Precinct Chairman, Precinct 4",L. Brooks McKenzie,,16,15
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,"United States Representative, District No. 1",Victor D. Dunn,,7,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,,12,7
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Lieutenant Governor,Michelle Beckley,,5,5
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Lieutenant Governor,Mike Collier,,17,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Attorney General,Rochelle Mercedes Garza,,15,7
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Attorney General,Joe Jaworski,,7,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Comptroller of Public Accounts,Janet T. Dudding,,14,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Comptroller of Public Accounts,Angel Luis Vega,,7,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Commissioner of the General Land Office,Jay Kleberg,,13,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Commissioner of the General Land Office,Sandragrace Martinez,,8,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Attorney General,Ken Paxton,,14,35
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Attorney General,George P. Bush,,4,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Commissioner of the General Land Office,Dawn Buckingham,,15,22
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Commissioner of the General Land Office,Tim Westley,,3,13
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Railroad Commissioner,Wayne Christian,,17,25
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,4 - B,958,0,Railroad Commissioner,Sarah Stogner,,2,11
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,"United States Representative, District No. 1",Victor D. Dunn,,2,2
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,,3,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Lieutenant Governor,Michelle Beckley,,3,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Lieutenant Governor,Mike Collier,,2,2
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Attorney General,Rochelle Mercedes Garza,,2,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Attorney General,Joe Jaworski,,3,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Comptroller of Public Accounts,Janet T. Dudding,,3,5
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Comptroller of Public Accounts,Angel Luis Vega,,2,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Commissioner of the General Land Office,Jay Kleberg,,4,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Commissioner of the General Land Office,Sandragrace Martinez,,1,2
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Attorney General,Ken Paxton,,23,66
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Attorney General,George P. Bush,,6,14
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Commissioner of the General Land Office,Dawn Buckingham,,17,48
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Commissioner of the General Land Office,Tim Westley,,10,23
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Railroad Commissioner,Wayne Christian,,14,39
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,5,2126,0,Railroad Commissioner,Sarah Stogner,,14,36
