political_subdivison,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,,,early_votes,election_votes,,
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Attorney General,JOE JAWORSKI,DEM,,,2,2,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,1,0,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,1,2,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,0,2,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,2,0,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Attorney General,KEN PAXTON,REP,,,60,123,41,19
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Attorney General,GEORGE P. BUSH,REP,,,15,12,11,4
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,56,82,35,21
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Commissioner of the General Land Office,TIM WESTLEY,REP,,,19,52,16,3
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Railroad Commissioner,SARAH STOGNER,REP,,,23,25,16,7
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,50,107,33,17
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Lieutenant Governor,MIKE COLLIER,DEM,,,8,5,7,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,1,1,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,3,5,2,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Attorney General,JOE JAWORSKI,DEM,,,6,1,6,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,2,3,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,7,3,7,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,7,3,7,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,7-Rising Star,2126,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,2,3,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Attorney General,KEN PAXTON,REP,,,58,125,39,19
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Attorney General,GEORGE P. BUSH,REP,,,18,26,12,6
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,48,78,31,17
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Commissioner of the General Land Office,TIM WESTLEY,REP,,,26,64,18,8
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Railroad Commissioner,SARAH STOGNER,REP,,,18,40,13,5
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,55,106,35,20
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Lieutenant Governor,MIKE COLLIER,DEM,,,10,4,8,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,6,2,6,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,6,4,4,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Attorney General,JOE JAWORSKI,DEM,,,10,2,10,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,4,3,4,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,12,3,10,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,11,4,9,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,8-Cisco,2942,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,5,2,5,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Attorney General,KEN PAXTON,REP,,,6,45,4,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Attorney General,GEORGE P. BUSH,REP,,,3,4,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,5,29,2,3
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Commissioner of the General Land Office,TIM WESTLEY,REP,,,3,17,3,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Railroad Commissioner,SARAH STOGNER,REP,,,3,6,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,5,40,4,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Lieutenant Governor,MIKE COLLIER,DEM,,,2,1,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,1,1,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Attorney General,JOE JAWORSKI,DEM,,,1,0,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,0,1,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,2,0,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,2,1,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,9-Lake Leon,603,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,0,0,0,0
