,,,,,#FormatVersion 1,,,,,,,
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Lieutenant Governor,Michelle Beckley,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Attorney General,Joe Jaworski,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Attorney General,Rochelle Mercedes Garza,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Comptroller of Public Accounts,Janet T. Dudding,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Commissioner of the General Land Office,Jay Kleberg,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Attorney General,Ken Paxton,,7,10
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Attorney General,George P. Bush,,5,1
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Commissioner of the General Land Office,Tim Westley,,5,4
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Commissioner of the General Land Office,Dawn Buckingham,,5,5
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Railroad Commissioner,Wayne Christian,,9,6
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Railroad Commissioner,Sarah Stogner,,3,3
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Lieutenant Governor,Mike Collier,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Lieutenant Governor,Michelle Beckley,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Attorney General,Joe Jaworski,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Attorney General,Rochelle Mercedes Garza,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Comptroller of Public Accounts,Janet T. Dudding,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Comptroller of Public Accounts,Angel Luis Vega,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Commissioner of the General Land Office,Jay Kleberg,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Attorney General,Ken Paxton,,11,13
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Attorney General,George P. Bush,,2,5
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Commissioner of the General Land Office,Tim Westley,,4,9
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Commissioner of the General Land Office,Dawn Buckingham,,9,8
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Railroad Commissioner,Wayne Christian,,5,11
Reagan,5/24/2022,Primary Runoff,0,0,4,0,0,Railroad Commissioner,Sarah Stogner,,8,7
