political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
,11/8/2022,General Election,116,29,2,1467,Governor,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,2,1467,Lieutenant Governor,Dan Patrick,REP,134,294
,11/8/2022,General Election,116,29,2,1467,Lieutenant Governor,Mike Collier,DEM,58,138
,11/8/2022,General Election,116,29,2,1467,Lieutenant Governor,Shanna Steele,LIB,5,7
,11/8/2022,General Election,116,29,2,1467,Attorney General,Ken Paxton,REP,135,291
,11/8/2022,General Election,116,29,2,1467,Attorney General,Rochelle Mercedes Garza,DEM,59,136
,11/8/2022,General Election,116,29,2,1467,Attorney General,Mark Ash,LIB,2,12
,11/8/2022,General Election,116,29,2,1467,Comptroller of Public Accounts,Glenn Hegar,REP,137,294
,11/8/2022,General Election,116,29,2,1467,Comptroller of Public Accounts,Janet T. Dudding,DEM,54,125
,11/8/2022,General Election,116,29,2,1467,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,6,18
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,Dawn Buckingham,REP,128,290
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,Jay Kleberg,DEM,63,140
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,3,6
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,Carrie Evelyn Menger,,2,0
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,2,1467,Commissioner of the General Land Office,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,2,1467,Commissioner of Agriculture,Sid Miller,REP,134,294
,11/8/2022,General Election,116,29,2,1467,Commissioner of Agriculture,Susan Hays,DEM,62,142
,11/8/2022,General Election,116,29,2,1467,Railroad Commissioner,Wayne Christian,REP,133,293
,11/8/2022,General Election,116,29,2,1467,Railroad Commissioner,Luke Warford,DEM,57,124
,11/8/2022,General Election,116,29,2,1467,Railroad Commissioner,Jaime Andres Diez,LIB,5,14
,11/8/2022,General Election,116,29,2,1467,Railroad Commissioner,Hunter Wayne Crow,GRN,2,2
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,139,298
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,55,129
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,3,8
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,140,299
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,57,132
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 9",Evan Young,REP,137,291
,11/8/2022,General Election,116,29,2,1467,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,59,141
,11/8/2022,General Election,116,29,2,1467,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,138,294
,11/8/2022,General Election,116,29,2,1467,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,59,138
,11/8/2022,General Election,116,29,2,1467,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,139,297
,11/8/2022,General Election,116,29,2,1467,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,57,137
,11/8/2022,General Election,116,29,2,1467,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,139,285
,11/8/2022,General Election,116,29,2,1467,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,57,150
,11/8/2022,General Election,116,29,2,1467,"State Senator, District No. 19",Robert Garza,REP,137,288
,11/8/2022,General Election,116,29,2,1467,"State Senator, District No. 19",Roland Gutierrez,DEM,58,148
,11/8/2022,General Election,116,29,2,1467,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,138,289
,11/8/2022,General Election,116,29,2,1467,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,58,143
,11/8/2022,General Election,116,29,2,1467,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,REP,141,293
,11/8/2022,General Election,116,29,2,1467,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",DEM,54,140
,11/8/2022,General Election,116,29,2,1467,County Judge,Patrick McGrew,REP,81,209
,11/8/2022,General Election,116,29,2,1467,County Judge,Bill Mitchell,DEM,111,229
,11/8/2022,General Election,116,29,2,1467,County Clerk,Donna M. Williams,REP,113,264
,11/8/2022,General Election,116,29,2,1467,County Clerk,Valerie Del Toro Romero,DEM,81,177
,11/8/2022,General Election,116,29,3,591,"United States Representative, District No. 23",Tony Gonzales,REP,75,267
,11/8/2022,General Election,116,29,3,591,"United States Representative, District No. 23",John Lira,DEM,6,14
,11/8/2022,General Election,116,29,3,591,"United States Representative, District No. 23",Frank Lopez Jr.,IND,10,34
,11/8/2022,General Election,116,29,3,591,Governor,Greg Abbott,REP,82,297
,11/8/2022,General Election,116,29,3,591,Governor,Beto O'Rourke,DEM,7,19
,11/8/2022,General Election,116,29,3,591,Governor,Mark Tippetts,LIB,0,6
,11/8/2022,General Election,116,29,3,591,Governor,Delilah Barrios,GRN,1,0
,11/8/2022,General Election,116,29,3,591,Governor,Jacqueline Abernathy,,1,0
,11/8/2022,General Election,116,29,3,591,Governor,Mark V. Goloby,,0,0
,11/8/2022,General Election,116,29,3,591,Governor,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,3,591,Governor,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,3,591,Lieutenant Governor,Dan Patrick,REP,82,293
,11/8/2022,General Election,116,29,3,591,Lieutenant Governor,Mike Collier,DEM,7,17
,11/8/2022,General Election,116,29,3,591,Lieutenant Governor,Shanna Steele,LIB,2,11
,11/8/2022,General Election,116,29,3,591,Attorney General,Ken Paxton,REP,83,287
,11/8/2022,General Election,116,29,3,591,Attorney General,Rochelle Mercedes Garza,DEM,7,21
,11/8/2022,General Election,116,29,3,591,Attorney General,Mark Ash,LIB,1,12
,11/8/2022,General Election,116,29,3,591,Comptroller of Public Accounts,Glenn Hegar,REP,85,295
,11/8/2022,General Election,116,29,3,591,Comptroller of Public Accounts,Janet T. Dudding,DEM,4,15
,11/8/2022,General Election,116,29,3,591,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,2,7
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,Dawn Buckingham,REP,82,294
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,Jay Kleberg,DEM,8,18
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,1,1
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,1
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,3,591,Commissioner of the General Land Office,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,3,591,Commissioner of Agriculture,Sid Miller,REP,83,300
,11/8/2022,General Election,116,29,3,591,Commissioner of Agriculture,Susan Hays,DEM,7,17
,11/8/2022,General Election,116,29,3,591,Railroad Commissioner,Wayne Christian,REP,81,294
,11/8/2022,General Election,116,29,3,591,Railroad Commissioner,Luke Warford,DEM,6,13
,11/8/2022,General Election,116,29,3,591,Railroad Commissioner,Jaime Andres Diez,LIB,3,7
,11/8/2022,General Election,116,29,3,591,Railroad Commissioner,Hunter Wayne Crow,GRN,1,3
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,83,287
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,7,15
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,1,10
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,85,295
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,6,17
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 9",Evan Young,REP,84,294
,11/8/2022,General Election,116,29,3,591,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,7,18
,11/8/2022,General Election,116,29,3,591,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,85,294
,11/8/2022,General Election,116,29,3,591,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,6,17
,11/8/2022,General Election,116,29,3,591,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,85,294
,11/8/2022,General Election,116,29,3,591,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,6,17
,11/8/2022,General Election,116,29,3,591,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,85,300
,11/8/2022,General Election,116,29,3,591,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,6,18
,11/8/2022,General Election,116,29,3,591,"State Senator, District No. 19",Robert Garza,REP,84,296
,11/8/2022,General Election,116,29,3,591,"State Senator, District No. 19",Roland Gutierrez,DEM,6,19
,11/8/2022,General Election,116,29,3,591,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,85,297
,11/8/2022,General Election,116,29,3,591,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,6,16
,11/8/2022,General Election,116,29,3,591,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,REP,85,294
,11/8/2022,General Election,116,29,3,591,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",DEM,6,16
,11/8/2022,General Election,116,29,3,591,County Judge,Patrick McGrew,REP,73,203
,11/8/2022,General Election,116,29,3,591,County Judge,Bill Mitchell,DEM,17,115
,11/8/2022,General Election,116,29,3,591,County Clerk,Donna M. Williams,REP,76,258
,11/8/2022,General Election,116,29,3,591,County Clerk,Valerie Del Toro Romero,DEM,11,58
,11/8/2022,General Election,116,29,4,529,"United States Representative, District No. 23",Tony Gonzales,REP,150,146
,11/8/2022,General Election,116,29,4,529,"United States Representative, District No. 23",John Lira,DEM,30,9
,11/8/2022,General Election,116,29,4,529,"United States Representative, District No. 23",Frank Lopez Jr.,IND,11,20
,11/8/2022,General Election,116,29,4,529,Governor,Greg Abbott,REP,154,167
,11/8/2022,General Election,116,29,4,529,Governor,Beto O'Rourke,DEM,35,11
,11/8/2022,General Election,116,29,4,529,Governor,Mark Tippetts,LIB,0,0
,11/8/2022,General Election,116,29,4,529,Governor,Delilah Barrios,GRN,0,1
,11/8/2022,General Election,116,29,4,529,Governor,Jacqueline Abernathy,,0,0
,11/8/2022,General Election,116,29,4,529,Governor,Mark V. Goloby,,0,0
,11/8/2022,General Election,116,29,4,529,Governor,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,4,529,Governor,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,4,529,Lieutenant Governor,Dan Patrick,REP,154,163
,11/8/2022,General Election,116,29,4,529,Lieutenant Governor,Mike Collier,DEM,35,10
,11/8/2022,General Election,116,29,4,529,Lieutenant Governor,Shanna Steele,LIB,1,6
,11/8/2022,General Election,116,29,4,529,Attorney General,Ken Paxton,REP,152,163
,11/8/2022,General Election,116,29,4,529,Attorney General,Rochelle Mercedes Garza,DEM,35,10
,11/8/2022,General Election,116,29,4,529,Attorney General,Mark Ash,LIB,2,4
,11/8/2022,General Election,116,29,4,529,Comptroller of Public Accounts,Glenn Hegar,REP,155,165
,11/8/2022,General Election,116,29,4,529,Comptroller of Public Accounts,Janet T. Dudding,DEM,34,8
,11/8/2022,General Election,116,29,4,529,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,2,6
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,Dawn Buckingham,REP,153,166
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,Jay Kleberg,DEM,35,11
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,2,2
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,4,529,Commissioner of the General Land Office,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,4,529,Commissioner of Agriculture,Sid Miller,REP,157,168
,11/8/2022,General Election,116,29,4,529,Commissioner of Agriculture,Susan Hays,DEM,33,11
,11/8/2022,General Election,116,29,4,529,Railroad Commissioner,Wayne Christian,REP,156,163
,11/8/2022,General Election,116,29,4,529,Railroad Commissioner,Luke Warford,DEM,30,9
,11/8/2022,General Election,116,29,4,529,Railroad Commissioner,Jaime Andres Diez,LIB,3,5
,11/8/2022,General Election,116,29,4,529,Railroad Commissioner,Hunter Wayne Crow,GRN,2,2
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,153,165
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,37,11
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,1,2
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,158,167
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,33,12
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 9",Evan Young,REP,157,167
,11/8/2022,General Election,116,29,4,529,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,34,12
,11/8/2022,General Election,116,29,4,529,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,156,167
,11/8/2022,General Election,116,29,4,529,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,35,12
,11/8/2022,General Election,116,29,4,529,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,154,167
,11/8/2022,General Election,116,29,4,529,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,37,10
,11/8/2022,General Election,116,29,4,529,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,153,166
,11/8/2022,General Election,116,29,4,529,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,37,11
,11/8/2022,General Election,116,29,4,529,"State Senator, District No. 19",Robert Garza,REP,156,167
,11/8/2022,General Election,116,29,4,529,"State Senator, District No. 19",Roland Gutierrez,DEM,34,11
,11/8/2022,General Election,116,29,4,529,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,153,168
,11/8/2022,General Election,116,29,4,529,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,37,10
,11/8/2022,General Election,116,29,4,529,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,REP,155,165
,11/8/2022,General Election,116,29,4,529,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",DEM,36,14
,11/8/2022,General Election,116,29,4,529,County Judge,Patrick McGrew,REP,99,117
,11/8/2022,General Election,116,29,4,529,County Judge,Bill Mitchell,DEM,89,59
,11/8/2022,General Election,116,29,4,529,County Clerk,Donna M. Williams,REP,134,157
,11/8/2022,General Election,116,29,4,529,County Clerk,Valerie Del Toro Romero,DEM,54,21
,11/8/2022,General Election,116,29,4,529,Uvalde County Emergency Services District No. 2 Proposition A,For,,137,112
,11/8/2022,General Election,116,29,4,529,Uvalde County Emergency Services District No. 2 Proposition A,Against,,48,66
,11/8/2022,General Election,116,29,5,1812,"United States Representative, District No. 23",Tony Gonzales,REP,508,156
,11/8/2022,General Election,116,29,5,1812,"United States Representative, District No. 23",John Lira,DEM,155,36
,11/8/2022,General Election,116,29,5,1812,"United States Representative, District No. 23",Frank Lopez Jr.,IND,51,24
,11/8/2022,General Election,116,29,5,1812,Governor,Greg Abbott,REP,516,165
,11/8/2022,General Election,116,29,5,1812,Governor,Beto O'Rourke,DEM,197,51
,11/8/2022,General Election,116,29,5,1812,Governor,Mark Tippetts,LIB,7,2
,11/8/2022,General Election,116,29,5,1812,Governor,Delilah Barrios,GRN,2,1
,11/8/2022,General Election,116,29,5,1812,Governor,Jacqueline Abernathy,,0,0
,11/8/2022,General Election,116,29,5,1812,Governor,Mark V. Goloby,,0,0
,11/8/2022,General Election,116,29,5,1812,Governor,Rejected write-ins,,1,0
,11/8/2022,General Election,116,29,5,1812,Governor,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,5,1812,Lieutenant Governor,Dan Patrick,REP,501,164
,11/8/2022,General Election,116,29,5,1812,Lieutenant Governor,Mike Collier,DEM,194,44
,11/8/2022,General Election,116,29,5,1812,Lieutenant Governor,Shanna Steele,LIB,19,9
,11/8/2022,General Election,116,29,5,1812,Attorney General,Ken Paxton,REP,501,162
,11/8/2022,General Election,116,29,5,1812,Attorney General,Rochelle Mercedes Garza,DEM,194,45
,11/8/2022,General Election,116,29,5,1812,Attorney General,Mark Ash,LIB,17,11
,11/8/2022,General Election,116,29,5,1812,Comptroller of Public Accounts,Glenn Hegar,REP,509,172
,11/8/2022,General Election,116,29,5,1812,Comptroller of Public Accounts,Janet T. Dudding,DEM,174,38
,11/8/2022,General Election,116,29,5,1812,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,26,7
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,Dawn Buckingham,REP,485,165
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,Jay Kleberg,DEM,208,44
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,9,6
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,Carrie Evelyn Menger,,1,0
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,Rejected write-ins,,3,0
,11/8/2022,General Election,116,29,5,1812,Commissioner of the General Land Office,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,5,1812,Commissioner of Agriculture,Sid Miller,REP,501,168
,11/8/2022,General Election,116,29,5,1812,Commissioner of Agriculture,Susan Hays,DEM,204,47
,11/8/2022,General Election,116,29,5,1812,Railroad Commissioner,Wayne Christian,REP,510,165
,11/8/2022,General Election,116,29,5,1812,Railroad Commissioner,Luke Warford,DEM,177,38
,11/8/2022,General Election,116,29,5,1812,Railroad Commissioner,Jaime Andres Diez,LIB,11,9
,11/8/2022,General Election,116,29,5,1812,Railroad Commissioner,Hunter Wayne Crow,GRN,8,3
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,506,167
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,186,40
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,10,8
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,512,171
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,189,44
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 9",Evan Young,REP,507,166
,11/8/2022,General Election,116,29,5,1812,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,192,47
,11/8/2022,General Election,116,29,5,1812,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,513,170
,11/8/2022,General Election,116,29,5,1812,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,192,45
,11/8/2022,General Election,116,29,5,1812,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,520,170
,11/8/2022,General Election,116,29,5,1812,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,180,43
,11/8/2022,General Election,116,29,5,1812,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,498,164
,11/8/2022,General Election,116,29,5,1812,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,201,49
,11/8/2022,General Election,116,29,5,1812,"State Senator, District No. 19",Robert Garza,REP,500,171
,11/8/2022,General Election,116,29,5,1812,"State Senator, District No. 19",Roland Gutierrez,DEM,210,47
,11/8/2022,General Election,116,29,5,1812,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,514,170
,11/8/2022,General Election,116,29,5,1812,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,186,45
