COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Governor,Governor,Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","State Representative, District 87","State Representative, District 87","State Representative, District 87","State Representative, District 87",
HUTCH,0003,Precinct 21,3322,585,0,537,46,0,2,533,41,11,0,0,0,0,511,50,19,0,5,520,44,17,0,4,526,37,15,0,7,526,45,3,0,0,11,536,42,0,7,518,40,15,3,0,9,521,38,15,0,11,528,45,0,12,525,49,0,11,528,44,0,13,528,45,0,12,535,38,0,12,
HUTCH,0004,Precinct 23,644,14,0,12,1,0,1,13,1,0,0,0,0,0,12,1,1,0,0,12,1,1,0,0,12,1,1,0,0,10,2,1,0,0,1,12,1,0,1,12,1,1,0,0,0,11,1,2,0,0,12,1,0,1,12,1,0,1,11,1,1,1,12,1,0,1,12,2,0,0,
HUTCH,0004,Precinct 23,644,127,0,112,14,0,1,112,12,3,0,0,0,0,112,11,3,0,1,112,11,3,0,1,113,11,1,0,2,109,13,3,0,0,2,111,13,0,3,110,10,3,0,0,4,107,12,4,0,4,108,13,0,6,109,13,0,5,109,14,0,4,108,14,0,5,110,11,0,6,
HUTCH,0004,Precinct 23,644,120,0,110,9,0,1,109,8,3,0,0,0,0,105,7,6,0,2,105,9,3,0,3,101,10,4,0,5,107,8,0,0,0,5,110,8,0,2,106,7,3,1,0,3,107,8,2,0,3,106,10,0,4,106,11,0,3,109,8,0,3,108,9,0,3,110,7,0,3,
HUTCH,0005,Precinct 31,1596,45,0,38,7,0,0,41,3,0,0,0,0,1,35,8,2,0,0,36,7,2,0,0,41,4,0,0,0,40,4,0,0,0,1,36,9,0,0,40,4,1,0,0,0,40,5,0,0,0,41,4,0,0,40,5,0,0,40,4,0,1,40,3,0,2,36,7,0,2,
HUTCH,0005,Precinct 31,1596,446,0,412,29,0,5,410,28,3,2,0,0,3,389,38,12,0,7,393,32,15,0,6,407,26,7,0,6,403,32,6,0,0,5,409,30,0,7,402,29,9,1,0,5,401,27,12,0,6,411,28,0,7,405,32,0,9,406,31,0,9,409,30,0,7,420,21,0,5,
HUTCH,0005,Precinct 31,1596,353,0,330,19,0,4,328,19,3,0,1,0,2,320,25,7,0,1,323,18,9,0,3,324,19,5,0,5,322,20,1,1,0,9,328,19,0,6,323,17,6,3,0,4,325,17,5,0,6,324,21,0,8,320,20,0,13,324,19,0,10,325,17,0,11,329,20,0,4,
HUTCH,0006,Precinct 33,1525,21,0,15,5,0,1,16,3,1,0,0,0,1,15,3,3,0,0,15,3,3,0,0,17,3,0,0,1,14,6,1,0,0,0,18,3,0,0,18,3,0,0,0,0,15,3,1,0,2,16,3,0,2,16,3,0,2,14,5,0,2,15,4,0,2,18,3,0,0,
HUTCH,0006,Precinct 33,1525,351,0,323,25,0,2,327,20,2,1,0,0,1,324,23,4,0,0,322,23,4,0,2,322,22,5,0,2,325,24,1,0,0,1,328,23,0,0,323,19,7,2,0,0,326,22,3,0,0,330,20,0,1,327,23,0,1,323,26,0,2,327,23,0,1,326,21,0,3,
HUTCH,0006,Precinct 33,1525,220,0,189,30,0,1,183,31,3,1,1,0,1,187,26,5,0,2,188,26,5,0,1,183,28,5,0,4,186,29,3,0,0,2,189,29,0,2,186,23,7,3,0,1,189,25,4,0,2,189,28,0,3,191,27,0,2,191,28,0,1,188,29,0,3,192,23,0,5,
HUTCH,0007,Precinct 41,69,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
HUTCH,0007,Precinct 41,69,17,0,15,2,0,0,15,2,0,0,0,0,0,14,3,0,0,0,14,3,0,0,0,15,2,0,0,0,15,2,0,0,0,0,15,2,0,0,15,2,0,0,0,0,14,3,0,0,0,15,2,0,0,15,2,0,0,14,2,0,1,14,2,0,1,15,2,0,0,
HUTCH,0007,Precinct 41,69,23,0,22,1,0,0,22,1,0,0,0,0,0,22,1,0,0,0,22,1,0,0,0,22,1,0,0,0,22,1,0,0,0,0,22,1,0,0,22,1,0,0,0,0,22,1,0,0,0,22,1,0,0,22,1,0,0,22,1,0,0,21,1,0,1,21,2,0,0,
HUTCH,0008,Precinct 42,2591,27,0,19,7,0,1,19,6,0,0,0,0,2,19,5,1,0,2,19,7,0,0,1,19,7,1,0,0,18,7,0,0,0,2,17,7,0,3,16,7,1,0,0,3,16,7,1,0,3,18,7,0,2,17,8,0,2,18,7,0,2,17,7,0,3,20,3,0,4,
HUTCH,0008,Precinct 42,2591,404,0,334,61,0,9,337,56,5,2,0,0,4,339,56,6,0,3,332,56,10,0,6,329,61,4,0,10,335,58,5,0,0,6,330,64,0,10,329,55,4,3,0,13,333,52,9,0,10,332,59,0,13,330,59,0,15,332,61,0,11,334,55,0,15,346,37,0,21,
HUTCH,0008,Precinct 42,2591,320,2,246,69,0,5,240,65,9,2,0,0,4,242,68,8,0,2,239,67,8,0,6,239,65,9,0,7,240,63,7,0,0,10,244,69,0,7,239,61,12,2,0,6,235,68,11,0,6,246,69,0,5,247,66,0,7,243,70,0,7,244,70,0,6,251,51,0,18,
HUTCH,ZZZ,COUNTY TOTALS,13343,6095,3,5445,585,0,64,5437,540,72,12,4,0,30,5332,579,136,0,48,5329,560,144,0,62,5382,530,95,0,88,5386,558,49,1,0,101,5438,568,0,89,5343,505,117,36,0,94,5342,536,125,0,92,5427,559,0,109,5400,572,0,123,5405,574,1,115,5405,562,0,128,5506,448,0,138,
