Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
212,90,"Member, State Board of Education, Disrict 12",Alex Cornwallis,19,10,7
212,90,"Member, State Board of Education, Disrict 12",Christy Mowrey,1,1,0
212,90,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
212,90,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
212,90,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
212,90,"State Senator, District 8",Angela Paxton,69,31,36
212,90,"State Senator, District 8",Jonathan Cocks,19,11,6
212,90,"State Senator, District 8",Edward Kless,0,0,0
212,90,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,69,31,36
212,90,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,19,11,6
212,90,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,69,31,36
212,90,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,19,11,6
212,90,"Hunt County, Proposition A",FOR,77,33,41
212,90,"Hunt County, Proposition A",AGAINST,6,4,2
212 - SGR,320,"United States Representative, District 3",Keith Self,262,148,108
212 - SGR,320,"United States Representative, District 3",Sandeep Srivastava,52,34,15
212 - SGR,320,"United States Representative, District 3",Christopher Claytor,3,1,2
212 - SGR,320,Governor,Greg Abbott,262,145,111
212 - SGR,320,Governor,Beto O'Rourke,56,37,16
212 - SGR,320,Governor,Mark Tippetts,1,1,0
212 - SGR,320,Governor,Delilah Barrios,1,1,0
212 - SGR,320,Governor,Jacqueline Abernathy,0,0,0
212 - SGR,320,Governor,Mark V. Goloby,0,0,0
212 - SGR,320,Governor,Rejected write-ins,0,0,0
212 - SGR,320,Governor,Unassigned write-ins,0,0,0
212 - SGR,320,Lieutenant Governor,Dan Patrick,260,146,108
212 - SGR,320,Lieutenant Governor,Mike Collier,54,35,16
212 - SGR,320,Lieutenant Governor,Shanna Steele,5,3,2
212 - SGR,320,Attorney General,Ken Paxton,257,143,108
212 - SGR,320,Attorney General,Rochelle Mercedes Garza,53,35,16
212 - SGR,320,Attorney General,Mark Ash,9,6,2
212 - SGR,320,Comptroller of Public Accounts,Glenn Hegar,266,150,110
212 - SGR,320,Comptroller of Public Accounts,Janet T. Dudding,50,33,14
212 - SGR,320,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,2,1,1
212 - SGR,320,Commissioner of the General Land Office,Dawn Buckingham,261,146,109
212 - SGR,320,Commissioner of the General Land Office,Jay Kleberg,51,33,15
212 - SGR,320,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,4,0
212 - SGR,320,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
212 - SGR,320,Commissioner of the General Land Office,Rejected write-ins,0,0,0
212 - SGR,320,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
212 - SGR,320,Commissioner of Agriculture,Sid Miller,259,147,106
212 - SGR,320,Commissioner of Agriculture,Susan Hays,56,36,17
212 - SGR,320,Railroad Commissioner,Wayne Christian,257,143,108
212 - SGR,320,Railroad Commissioner,Luke Warford,49,32,14
212 - SGR,320,Railroad Commissioner,Jaime Andres Diez,2,1,1
212 - SGR,320,Railroad Commissioner,Hunter Wayne Crow,7,6,1
212 - SGR,320,"Justice, Supreme Court, Place 3",Debra Lehrmann,263,148,109
212 - SGR,320,"Justice, Supreme Court, Place 3",Erin A. Nowell,50,33,14
212 - SGR,320,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,3,2,1
212 - SGR,320,"Justice, Supreme Court, Place 5",Rebeca Huddle,266,150,110
212 - SGR,320,"Justice, Supreme Court, Place 5",Amanda Reichek,50,33,14
212 - SGR,320,"Justice, Supreme Court, Place 9",Evan Young,258,146,106
212 - SGR,320,"Justice, Supreme Court, Place 9",Julia Maldonado,55,35,17
212 - SGR,320,"Judge, Court of Criminal Appeals Place 5",Scott Walker,264,148,110
212 - SGR,320,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,51,34,14
212 - SGR,320,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",265,150,109
212 - SGR,320,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,51,33,15
212 - SGR,320,"Member, State Board of Education, Disrict 12",Pam Little,258,143,109
212 - SGR,320,"Member, State Board of Education, Disrict 12",Alex Cornwallis,51,32,16
212 - SGR,320,"Member, State Board of Education, Disrict 12",Christy Mowrey,6,6,0
212 - SGR,320,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
212 - SGR,320,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
212 - SGR,320,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
212 - SGR,320,"State Senator, District 8",Angela Paxton,253,141,106
212 - SGR,320,"State Senator, District 8",Jonathan Cocks,53,36,14
212 - SGR,320,"State Senator, District 8",Edward Kless,4,2,2
212 - SGR,320,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,261,146,109
212 - SGR,320,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,53,36,14
212 - SGR,320,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,260,147,107
212 - SGR,320,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,54,35,16
212 - SGR,320,"Hunt County, Proposition A",FOR,259,147,104
212 - SGR,320,"Hunt County, Proposition A",AGAINST,44,27,16
212 - SGR,320,"GREENVILLE ISD, PROPOSITION A",FOR,135,82,51
212 - SGR,320,"GREENVILLE ISD, PROPOSITION A",AGAINST,163,89,71
213,315,"United States Representative, District 3",Keith Self,275,129,141
213,315,"United States Representative, District 3",Sandeep Srivastava,31,14,14
213,315,"United States Representative, District 3",Christopher Claytor,4,1,3
213,315,Governor,Greg Abbott,276,131,140
213,315,Governor,Beto O'Rourke,32,17,12
213,315,Governor,Mark Tippetts,3,0,3
213,315,Governor,Delilah Barrios,3,0,3
213,315,Governor,Jacqueline Abernathy,0,0,0
213,315,Governor,Mark V. Goloby,0,0,0
213,315,Governor,Rejected write-ins,0,0,0
213,315,Governor,Unassigned write-ins,0,0,0
213,315,Lieutenant Governor,Dan Patrick,271,123,143
213,315,Lieutenant Governor,Mike Collier,33,17,14
213,315,Lieutenant Governor,Shanna Steele,7,5,2
213,315,Attorney General,Ken Paxton,264,119,140
213,315,Attorney General,Rochelle Mercedes Garza,32,16,14
213,315,Attorney General,Mark Ash,11,6,5
213,315,Comptroller of Public Accounts,Glenn Hegar,273,126,142
213,315,Comptroller of Public Accounts,Janet T. Dudding,29,14,13
213,315,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,5,2,3
213,315,Commissioner of the General Land Office,Dawn Buckingham,278,129,144
213,315,Commissioner of the General Land Office,Jay Kleberg,29,14,12
213,315,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,1,1
213,315,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
213,315,Commissioner of the General Land Office,Rejected write-ins,0,0,0
213,315,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
213,315,Commissioner of Agriculture,Sid Miller,278,128,145
213,315,Commissioner of Agriculture,Susan Hays,33,17,13
213,315,Railroad Commissioner,Wayne Christian,275,128,142
213,315,Railroad Commissioner,Luke Warford,27,13,11
213,315,Railroad Commissioner,Jaime Andres Diez,2,1,1
213,315,Railroad Commissioner,Hunter Wayne Crow,4,2,2
213,315,"Justice, Supreme Court, Place 3",Debra Lehrmann,272,125,142
213,315,"Justice, Supreme Court, Place 3",Erin A. Nowell,32,17,12
213,315,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,6,3,3
213,315,"Justice, Supreme Court, Place 5",Rebeca Huddle,279,128,146
213,315,"Justice, Supreme Court, Place 5",Amanda Reichek,31,17,11
213,315,"Justice, Supreme Court, Place 9",Evan Young,278,129,144
213,315,"Justice, Supreme Court, Place 9",Julia Maldonado,32,16,13
213,315,"Judge, Court of Criminal Appeals Place 5",Scott Walker,276,128,143
213,315,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,33,16,14
213,315,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",276,129,142
213,315,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,33,15,15
213,315,"Member, State Board of Education, Disrict 12",Pam Little,269,126,138
213,315,"Member, State Board of Education, Disrict 12",Alex Cornwallis,33,14,16
213,315,"Member, State Board of Education, Disrict 12",Christy Mowrey,4,2,2
213,315,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
213,315,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
213,315,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
213,315,"State Senator, District 8",Angela Paxton,263,121,137
213,315,"State Senator, District 8",Jonathan Cocks,33,16,14
213,315,"State Senator, District 8",Edward Kless,10,5,5
213,315,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,275,127,143
213,315,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,30,15,12
213,315,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,274,126,143
213,315,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,31,16,12
213,315,"Hunt County, Proposition A",FOR,279,130,143
213,315,"Hunt County, Proposition A",AGAINST,16,8,8
213 - SGR,170,"United States Representative, District 3",Keith Self,158,61,91
213 - SGR,170,"United States Representative, District 3",Sandeep Srivastava,8,2,6
213 - SGR,170,"United States Representative, District 3",Christopher Claytor,2,1,1
213 - SGR,170,Governor,Greg Abbott,159,63,90
213 - SGR,170,Governor,Beto O'Rourke,9,3,6
213 - SGR,170,Governor,Mark Tippetts,1,0,1
213 - SGR,170,Governor,Delilah Barrios,0,0,0
213 - SGR,170,Governor,Jacqueline Abernathy,0,0,0
213 - SGR,170,Governor,Mark V. Goloby,0,0,0
213 - SGR,170,Governor,Rejected write-ins,0,0,0
213 - SGR,170,Governor,Unassigned write-ins,0,0,0
213 - SGR,170,Lieutenant Governor,Dan Patrick,157,63,88
213 - SGR,170,Lieutenant Governor,Mike Collier,12,3,9
213 - SGR,170,Lieutenant Governor,Shanna Steele,1,0,1
213 - SGR,170,Attorney General,Ken Paxton,158,62,90
213 - SGR,170,Attorney General,Rochelle Mercedes Garza,10,3,7
213 - SGR,170,Attorney General,Mark Ash,2,1,1
213 - SGR,170,Comptroller of Public Accounts,Glenn Hegar,160,62,92
213 - SGR,170,Comptroller of Public Accounts,Janet T. Dudding,9,3,6
213 - SGR,170,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
213 - SGR,170,Commissioner of the General Land Office,Dawn Buckingham,160,62,92
213 - SGR,170,Commissioner of the General Land Office,Jay Kleberg,9,3,6
213 - SGR,170,Commissioner of the General Land Office,"Alfred Molison, Jr.",1,1,0
213 - SGR,170,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
213 - SGR,170,Commissioner of the General Land Office,Rejected write-ins,0,0,0
213 - SGR,170,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
213 - SGR,170,Commissioner of Agriculture,Sid Miller,162,64,92
213 - SGR,170,Commissioner of Agriculture,Susan Hays,8,2,6
213 - SGR,170,Railroad Commissioner,Wayne Christian,162,63,93
213 - SGR,170,Railroad Commissioner,Luke Warford,8,3,5
213 - SGR,170,Railroad Commissioner,Jaime Andres Diez,0,0,0
213 - SGR,170,Railroad Commissioner,Hunter Wayne Crow,0,0,0
213 - SGR,170,"Justice, Supreme Court, Place 3",Debra Lehrmann,162,63,93
213 - SGR,170,"Justice, Supreme Court, Place 3",Erin A. Nowell,8,3,5
213 - SGR,170,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
213 - SGR,170,"Justice, Supreme Court, Place 5",Rebeca Huddle,161,63,92
213 - SGR,170,"Justice, Supreme Court, Place 5",Amanda Reichek,8,3,5
213 - SGR,170,"Justice, Supreme Court, Place 9",Evan Young,161,63,92
213 - SGR,170,"Justice, Supreme Court, Place 9",Julia Maldonado,8,3,5
213 - SGR,170,"Judge, Court of Criminal Appeals Place 5",Scott Walker,160,63,91
213 - SGR,170,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,10,3,7
213 - SGR,170,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",157,62,89
213 - SGR,170,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,11,3,8
213 - SGR,170,"Member, State Board of Education, Disrict 12",Pam Little,160,61,93
213 - SGR,170,"Member, State Board of Education, Disrict 12",Alex Cornwallis,6,2,4
213 - SGR,170,"Member, State Board of Education, Disrict 12",Christy Mowrey,3,2,1
213 - SGR,170,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
213 - SGR,170,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
213 - SGR,170,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
213 - SGR,170,"State Senator, District 8",Angela Paxton,156,61,89
213 - SGR,170,"State Senator, District 8",Jonathan Cocks,9,2,7
213 - SGR,170,"State Senator, District 8",Edward Kless,4,2,2
213 - SGR,170,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,160,63,91
213 - SGR,170,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,10,3,7
213 - SGR,170,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,160,63,91
213 - SGR,170,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,10,3,7
213 - SGR,170,"Hunt County, Proposition A",FOR,145,56,84
213 - SGR,170,"Hunt County, Proposition A",AGAINST,20,6,13
213 - SGR,170,"GREENVILLE ISD, PROPOSITION A",FOR,41,19,19
213 - SGR,170,"GREENVILLE ISD, PROPOSITION A",AGAINST,119,43,73
213 - SQL,96,"United States Representative, District 3",Keith Self,85,36,48
213 - SQL,96,"United States Representative, District 3",Sandeep Srivastava,9,5,3
213 - SQL,96,"United States Representative, District 3",Christopher Claytor,0,0,0
213 - SQL,96,Governor,Greg Abbott,86,36,49
213 - SQL,96,Governor,Beto O'Rourke,9,5,3
213 - SQL,96,Governor,Mark Tippetts,1,0,1
213 - SQL,96,Governor,Delilah Barrios,0,0,0
213 - SQL,96,Governor,Jacqueline Abernathy,0,0,0
213 - SQL,96,Governor,Mark V. Goloby,0,0,0
213 - SQL,96,Governor,Rejected write-ins,0,0,0
213 - SQL,96,Governor,Unassigned write-ins,0,0,0
213 - SQL,96,Lieutenant Governor,Dan Patrick,83,35,47
213 - SQL,96,Lieutenant Governor,Mike Collier,11,5,5
213 - SQL,96,Lieutenant Governor,Shanna Steele,2,1,1
213 - SQL,96,Attorney General,Ken Paxton,85,35,49
213 - SQL,96,Attorney General,Rochelle Mercedes Garza,9,5,3
213 - SQL,96,Attorney General,Mark Ash,2,1,1
213 - SQL,96,Comptroller of Public Accounts,Glenn Hegar,84,36,47
213 - SQL,96,Comptroller of Public Accounts,Janet T. Dudding,9,5,3
213 - SQL,96,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,2,0,2
213 - SQL,96,Commissioner of the General Land Office,Dawn Buckingham,85,36,48
213 - SQL,96,Commissioner of the General Land Office,Jay Kleberg,9,5,3
213 - SQL,96,Commissioner of the General Land Office,"Alfred Molison, Jr.",1,0,1
213 - SQL,96,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
213 - SQL,96,Commissioner of the General Land Office,Rejected write-ins,0,0,0
213 - SQL,96,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
213 - SQL,96,Commissioner of Agriculture,Sid Miller,84,36,47
213 - SQL,96,Commissioner of Agriculture,Susan Hays,11,5,5
213 - SQL,96,Railroad Commissioner,Wayne Christian,85,36,48
213 - SQL,96,Railroad Commissioner,Luke Warford,9,5,3
213 - SQL,96,Railroad Commissioner,Jaime Andres Diez,1,0,1
213 - SQL,96,Railroad Commissioner,Hunter Wayne Crow,1,0,1
213 - SQL,96,"Justice, Supreme Court, Place 3",Debra Lehrmann,83,35,47
213 - SQL,96,"Justice, Supreme Court, Place 3",Erin A. Nowell,10,5,4
213 - SQL,96,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,1,1
213 - SQL,96,"Justice, Supreme Court, Place 5",Rebeca Huddle,85,36,48
213 - SQL,96,"Justice, Supreme Court, Place 5",Amanda Reichek,10,5,4
213 - SQL,96,"Justice, Supreme Court, Place 9",Evan Young,85,36,48
213 - SQL,96,"Justice, Supreme Court, Place 9",Julia Maldonado,10,5,4
213 - SQL,96,"Judge, Court of Criminal Appeals Place 5",Scott Walker,84,36,47
213 - SQL,96,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,11,5,5
213 - SQL,96,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",86,36,49
213 - SQL,96,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,9,5,3
213 - SQL,96,"Member, State Board of Education, Disrict 12",Pam Little,84,35,48
213 - SQL,96,"Member, State Board of Education, Disrict 12",Alex Cornwallis,9,5,3
213 - SQL,96,"Member, State Board of Education, Disrict 12",Christy Mowrey,2,1,1
213 - SQL,96,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
213 - SQL,96,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
213 - SQL,96,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
213 - SQL,96,"State Senator, District 8",Angela Paxton,82,35,46
213 - SQL,96,"State Senator, District 8",Jonathan Cocks,11,5,5
213 - SQL,96,"State Senator, District 8",Edward Kless,2,1,1
213 - SQL,96,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,86,36,49
213 - SQL,96,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,9,5,3
213 - SQL,96,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,85,36,48
213 - SQL,96,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,10,5,4
213 - SQL,96,"Hunt County, Proposition A",FOR,81,35,46
213 - SQL,96,"Hunt County, Proposition A",AGAINST,10,4,5
213 - SQL,96,"Quinlan Independent School District, Proposition A",FOR,31,14,17
213 - SQL,96,"Quinlan Independent School District, Proposition A",AGAINST,56,22,33
214A,353,"United States Representative, District 3",Keith Self,301,117,178
214A,353,"United States Representative, District 3",Sandeep Srivastava,42,16,26
214A,353,"United States Representative, District 3",Christopher Claytor,5,1,4
214A,353,Governor,Greg Abbott,303,119,178
214A,353,Governor,Beto O'Rourke,46,17,29
214A,353,Governor,Mark Tippetts,3,0,3
214A,353,Governor,Delilah Barrios,0,0,0
214A,353,Governor,Jacqueline Abernathy,0,0,0
214A,353,Governor,Mark V. Goloby,0,0,0
214A,353,Governor,Rejected write-ins,0,0,0
214A,353,Governor,Unassigned write-ins,0,0,0
214A,353,Lieutenant Governor,Dan Patrick,293,117,170
214A,353,Lieutenant Governor,Mike Collier,49,16,33
214A,353,Lieutenant Governor,Shanna Steele,10,3,7
214A,353,Attorney General,Ken Paxton,294,115,173
214A,353,Attorney General,Rochelle Mercedes Garza,41,14,27
214A,353,Attorney General,Mark Ash,16,7,9
214A,353,Comptroller of Public Accounts,Glenn Hegar,301,121,174
214A,353,Comptroller of Public Accounts,Janet T. Dudding,37,12,25
214A,353,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,10,2,8
214A,353,Commissioner of the General Land Office,Dawn Buckingham,304,119,179
214A,353,Commissioner of the General Land Office,Jay Kleberg,39,13,26
214A,353,Commissioner of the General Land Office,"Alfred Molison, Jr.",1,1,0
214A,353,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
214A,353,Commissioner of the General Land Office,Rejected write-ins,1,0,1
214A,353,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
214A,353,Commissioner of Agriculture,Sid Miller,306,120,180
214A,353,Commissioner of Agriculture,Susan Hays,38,12,26
214A,353,Railroad Commissioner,Wayne Christian,298,117,175
214A,353,Railroad Commissioner,Luke Warford,36,14,22
214A,353,Railroad Commissioner,Jaime Andres Diez,8,2,6
214A,353,Railroad Commissioner,Hunter Wayne Crow,3,1,2
214A,353,"Justice, Supreme Court, Place 3",Debra Lehrmann,301,118,177
214A,353,"Justice, Supreme Court, Place 3",Erin A. Nowell,37,13,24
214A,353,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,9,2,7
214A,353,"Justice, Supreme Court, Place 5",Rebeca Huddle,302,120,176
214A,353,"Justice, Supreme Court, Place 5",Amanda Reichek,42,14,28
214A,353,"Justice, Supreme Court, Place 9",Evan Young,302,119,177
214A,353,"Justice, Supreme Court, Place 9",Julia Maldonado,42,14,28
214A,353,"Judge, Court of Criminal Appeals Place 5",Scott Walker,303,118,179
214A,353,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,38,14,24
214A,353,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",298,114,178
214A,353,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,43,17,26
214A,353,"Member, State Board of Education, Disrict 12",Pam Little,295,114,175
214A,353,"Member, State Board of Education, Disrict 12",Alex Cornwallis,39,16,23
214A,353,"Member, State Board of Education, Disrict 12",Christy Mowrey,10,3,7
214A,353,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
214A,353,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
214A,353,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
214A,353,"State Senator, District 8",Angela Paxton,293,115,172
214A,353,"State Senator, District 8",Jonathan Cocks,38,13,25
214A,353,"State Senator, District 8",Edward Kless,12,4,8
214A,353,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,302,120,176
214A,353,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,42,15,27
214A,353,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,300,119,175
214A,353,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,41,14,27
214A,353,"Hunt County, Proposition A",FOR,309,117,188
214A,353,"Hunt County, Proposition A",AGAINST,29,11,18
214A - SQL,1226,"United States Representative, District 3",Keith Self,1024,497,488
214A - SQL,1226,"United States Representative, District 3",Sandeep Srivastava,168,83,64
214A - SQL,1226,"United States Representative, District 3",Christopher Claytor,19,5,14
214A - SQL,1226,Governor,Greg Abbott,1025,496,489
214A - SQL,1226,Governor,Beto O'Rourke,178,88,70
214A - SQL,1226,Governor,Mark Tippetts,14,7,7
214A - SQL,1226,Governor,Delilah Barrios,6,2,2
214A - SQL,1226,Governor,Jacqueline Abernathy,0,0,0
214A - SQL,1226,Governor,Mark V. Goloby,0,0,0
214A - SQL,1226,Governor,Rejected write-ins,0,0,0
214A - SQL,1226,Governor,Unassigned write-ins,0,0,0
214A - SQL,1226,Lieutenant Governor,Dan Patrick,999,486,475
214A - SQL,1226,Lieutenant Governor,Mike Collier,194,91,79
214A - SQL,1226,Lieutenant Governor,Shanna Steele,26,13,13
214A - SQL,1226,Attorney General,Ken Paxton,1001,492,473
214A - SQL,1226,Attorney General,Rochelle Mercedes Garza,186,88,74
214A - SQL,1226,Attorney General,Mark Ash,31,13,17
214A - SQL,1226,Comptroller of Public Accounts,Glenn Hegar,1031,501,489
214A - SQL,1226,Comptroller of Public Accounts,Janet T. Dudding,165,83,63
214A - SQL,1226,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,18,4,14
214A - SQL,1226,Commissioner of the General Land Office,Dawn Buckingham,1026,498,489
214A - SQL,1226,Commissioner of the General Land Office,Jay Kleberg,167,83,63
214A - SQL,1226,Commissioner of the General Land Office,"Alfred Molison, Jr.",15,5,9
214A - SQL,1226,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
214A - SQL,1226,Commissioner of the General Land Office,Rejected write-ins,2,0,2
214A - SQL,1226,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
214A - SQL,1226,Commissioner of Agriculture,Sid Miller,1022,496,487
214A - SQL,1226,Commissioner of Agriculture,Susan Hays,183,88,72
214A - SQL,1226,Railroad Commissioner,Wayne Christian,1017,494,483
214A - SQL,1226,Railroad Commissioner,Luke Warford,168,81,65
214A - SQL,1226,Railroad Commissioner,Jaime Andres Diez,14,4,10
214A - SQL,1226,Railroad Commissioner,Hunter Wayne Crow,10,5,5
214A - SQL,1226,"Justice, Supreme Court, Place 3",Debra Lehrmann,1025,498,486
214A - SQL,1226,"Justice, Supreme Court, Place 3",Erin A. Nowell,169,85,66
214A - SQL,1226,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,15,5,10
214A - SQL,1226,"Justice, Supreme Court, Place 5",Rebeca Huddle,1038,502,495
214A - SQL,1226,"Justice, Supreme Court, Place 5",Amanda Reichek,168,87,63
214A - SQL,1226,"Justice, Supreme Court, Place 9",Evan Young,1025,495,489
214A - SQL,1226,"Justice, Supreme Court, Place 9",Julia Maldonado,177,90,69
214A - SQL,1226,"Judge, Court of Criminal Appeals Place 5",Scott Walker,1026,495,492
214A - SQL,1226,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,174,88,66
214A - SQL,1226,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",1028,492,495
214A - SQL,1226,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,167,83,66
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Pam Little,999,479,479
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Alex Cornwallis,164,79,66
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Christy Mowrey,25,13,12
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,0,1
214A - SQL,1226,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
214A - SQL,1226,"State Senator, District 8",Angela Paxton,991,476,476
214A - SQL,1226,"State Senator, District 8",Jonathan Cocks,176,82,73
214A - SQL,1226,"State Senator, District 8",Edward Kless,29,15,13
214A - SQL,1226,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,1025,496,488
214A - SQL,1226,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,161,78,65
214A - SQL,1226,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,1021,493,489
214A - SQL,1226,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,170,84,66
214A - SQL,1226,"Hunt County, Proposition A",FOR,1035,505,477
214A - SQL,1226,"Hunt County, Proposition A",AGAINST,111,41,65
214A - SQL,1226,"Quinlan Independent School District, Proposition A",FOR,505,226,258
214A - SQL,1226,"Quinlan Independent School District, Proposition A",AGAINST,668,338,292
214B - SQL,338,"United States Representative, District 4",Pat Fallon,295,109,184
214B - SQL,338,"United States Representative, District 4",Iro Omere,37,20,17
214B - SQL,338,"United States Representative, District 4",John Simmons,1,1,0
214B - SQL,338,Governor,Greg Abbott,296,108,184
214B - SQL,338,Governor,Beto O'Rourke,39,22,17
214B - SQL,338,Governor,Mark Tippetts,2,1,1
214B - SQL,338,Governor,Delilah Barrios,1,1,0
214B - SQL,338,Governor,Jacqueline Abernathy,0,0,0
214B - SQL,338,Governor,Mark V. Goloby,0,0,0
214B - SQL,338,Governor,Rejected write-ins,0,0,0
214B - SQL,338,Governor,Unassigned write-ins,0,0,0
214B - SQL,338,Lieutenant Governor,Dan Patrick,293,108,181
214B - SQL,338,Lieutenant Governor,Mike Collier,40,20,20
214B - SQL,338,Lieutenant Governor,Shanna Steele,3,2,1
214B - SQL,338,Attorney General,Ken Paxton,292,105,183
214B - SQL,338,Attorney General,Rochelle Mercedes Garza,39,22,17
214B - SQL,338,Attorney General,Mark Ash,5,3,2
214B - SQL,338,Comptroller of Public Accounts,Glenn Hegar,298,109,185
214B - SQL,338,Comptroller of Public Accounts,Janet T. Dudding,33,18,15
214B - SQL,338,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,2,1,1
214B - SQL,338,Commissioner of the General Land Office,Dawn Buckingham,294,107,183
