,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,#Provisional Ballots,# Provisional Ballots Counted,#Precinct,Precinct ID,Registered Voters,Contest Title,Choice Name,Total Votes,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 3",Debra Lehrmann,34,2,7,25
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 3",Erin A. Nowell,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 5",Rebeca Huddle,32,2,7,23
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 5",Amanda Reichek,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 9",Evan Young,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Justice, Supreme Court, Place 9",Julia Maldonado,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4006,5,218,"United States Representative, District No. 19",Jodey C. Arrington,109,2,38,69
Throckmorton,11/22/2022,General,3,3,4006,5,218,"United States Representative, District No. 19",Nathan Lewis,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Greg Abbott,111,2,39,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Beto O'Rourke,8,1,2,5
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Mark Tippetts,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Delilah Barrios,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Governor,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Lieutenant Governor,Dan Patrick,111,2,39,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,Lieutenant Governor,Mike Collier,6,1,2,3
Throckmorton,11/22/2022,General,3,3,4006,5,218,Lieutenant Governor,Shanna Steele,1,0,0,1
Throckmorton,11/22/2022,General,3,3,4006,5,218,Attorney General,Ken Paxton,109,2,39,68
