political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,27,15
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,940,460
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,229,62
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 9",Evan Young,REP,932,460
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,233,64
Bandera County,11/8/2022,General Election,12,3,102,2843,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,939,455
Bandera County,11/8/2022,General Election,12,3,102,2843,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,228,66
Bandera County,11/8/2022,General Election,12,3,102,2843,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,938,459
Bandera County,11/8/2022,General Election,12,3,102,2843,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,226,63
Bandera County,11/8/2022,General Election,12,3,102,2843,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,936,451
Bandera County,11/8/2022,General Election,12,3,102,2843,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,229,70
Bandera County,11/8/2022,General Election,12,3,102,2843,"State Senator, District No. 24",Pete Flores,REP,934,461
Bandera County,11/8/2022,General Election,12,3,102,2843,"State Senator, District No. 24",Kathy Jones-Hospod,DEM,232,62
Bandera County,11/8/2022,General Election,12,3,102,2843,"State Representative,  District No. 53",Andrew S. Murr,REP,933,457
Bandera County,11/8/2022,General Election,12,3,102,2843,"State Representative,  District No. 53",Joe P. Herrera,DEM,230,65
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,940,457
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,222,65
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,REP,931,459
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",DEM,230,61
Bandera County,11/8/2022,General Election,8,1,203,2439,"United States Representative, District No. 21",Chip Roy,REP,777,284
Bandera County,11/8/2022,General Election,8,1,203,2439,"United States Representative, District No. 21",Claudia Andreana Zapata,DEM,208,88
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Greg Abbott,REP,767,279
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Beto O'Rourke,DEM,210,89
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Mark Tippetts,LIB,10,6
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Delilah Barrios,GRN,0,1
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Jacqueline Abernathy,,0,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Mark V Goloby,,0,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Rejected write-ins,,1,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Governor,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Lieutenant Governor,Dan Patrick,REP,757,273
Bandera County,11/8/2022,General Election,8,1,203,2439,Lieutenant Governor,Mike Collier,DEM,212,83
Bandera County,11/8/2022,General Election,8,1,203,2439,Lieutenant Governor,Shanna Steele,LIB,18,16
Bandera County,11/8/2022,General Election,8,1,203,2439,Attorney General,Ken Paxton,REP,754,267
Bandera County,11/8/2022,General Election,8,1,203,2439,Attorney General,Rochelle Mercedes Garza,DEM,211,88
Bandera County,11/8/2022,General Election,8,1,203,2439,Attorney General,Mark Ash,LIB,22,16
Bandera County,11/8/2022,General Election,8,1,203,2439,Comptroller of Public Accounts,Glenn Hegar,REP,770,278
Bandera County,11/8/2022,General Election,8,1,203,2439,Comptroller of Public Accounts,Janet T. Dudding,DEM,202,83
Bandera County,11/8/2022,General Election,8,1,203,2439,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,12,11
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,Dawn Buckingham,REP,772,282
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,Jay Kleberg,DEM,202,76
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,7,12
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,Rejected write-ins,,0,0
